step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,93632.41974788648
1,3700.0,91758.24197478865,339505495.306718,93632.41974788648
2,3700.0,91945.65975209844,340198941.0827642,93632.41974788648
3,3700.0,92114.33575167724,340823042.2812058,93632.41974788648
4,3700.0,92266.14415129815,341384733.3598032,93632.41974788648
5,3700.0,92402.771710957,341890255.3305409,93632.41974788648
6,3700.0,92525.73651464994,342345225.1042048,93632.41974788648
7,3700.0,92636.40483797359,342754697.90050226,93632.41974788648
8,3700.0,92736.00632896488,343123223.41717005,93632.41974788648
9,3700.0,92825.64767085704,343454896.38217103,93632.41974788648
10,3700.0,92906.32487855999,343753402.05067194,93632.41974788648
11,3700.0,92978.93436549263,344022057.15232277,93632.41974788648
12,3700.0,93044.28290373202,344263846.74380845,93632.41974788648
13,3700.0,93103.09658814747,344481457.37614566,93632.41974788648
14,3700.0,93156.02890412137,344677306.9452491,93632.41974788648
15,3700.0,93203.66798849788,344853571.5574421,93632.41974788648
16,3700.0,93246.54316443673,345012209.7084159,93632.41974788648
17,3700.0,93285.1308227817,345154984.04429233,93632.41974788648
18,3700.0,93319.85971529219,345283480.94658107,93632.41974788648
19,3700.0,93351.11571855162,345399128.158641,93632.41974788648
20,3700.0,93379.2461214851,345503210.6494949,93632.41974788648
21,3700.0,93404.56348412525,345596884.8912634,93632.41974788648
22,3700.0,93427.34911050137,345681191.70885503,93632.41974788648
23,3700.0,93447.85617423987,345757067.8446875,93632.41974788648
24,3700.0,93466.31253160453,345825356.3669368,93632.41974788648
25,3700.0,93482.92325323273,345886816.0369611,93632.41974788648
26,3700.0,93497.8729026981,345942129.73998296,93632.41974788648
27,3700.0,93511.32758721695,345991912.0727027,93632.41974788648
28,3700.0,93523.4368032839,346036716.17215043,93632.41974788648
29,3700.0,93534.33509774416,346077039.8616534,93632.41974788648
30,3700.0,93544.14356275839,346113331.18220603,93632.41974788648
31,3700.0,93552.97118127119,346145993.3707034,93632.41974788648
32,3700.0,93560.91603793272,346175389.34035105,93632.41974788648
33,3700.0,93568.0664089281,346201845.713034,93632.41974788648
34,3700.0,93574.50174282394,346225656.44844854,93632.41974788648
35,3700.0,93580.29354333019,346247086.1103217,93632.41974788648
36,3700.0,93585.50616378582,346266372.8060075,93632.41974788648
37,3700.0,93590.19752219589,346283730.83212477,93632.41974788648
38,3700.0,93594.41974476495,346299353.0556303,93632.41974788648
39,3700.0,93598.2197450771,346313413.0567853,93632.41974788648
40,3700.0,93601.63974535804,346326067.05782473,93632.41974788648
41,3700.0,93604.71774561089,346337455.6587603,93632.41974788648
42,3700.0,93607.48794583845,346347705.3996023,93632.41974788648
43,3700.0,93609.98112604326,346356930.1663601,93632.41974788648
44,3700.0,93612.22498822758,346365232.45644206,93632.41974788648
45,3700.0,93614.24446419347,346372704.51751584,93632.41974788648
46,3700.0,93616.06199256277,346379429.37248224,93632.41974788648
47,3700.0,93617.69776809514,346385481.741952,93632.41974788648
48,3700.0,93619.16996607427,346390928.8744748,93632.41974788648
49,3700.0,93620.4949442555,346395831.29374534,93632.41974788648
50,3700.0,93621.68742461859,346400243.47108877,93632.41974788648
51,3700.0,93622.76065694538,346404214.4306979,93632.41974788648
52,3700.0,93623.72656603949,346407788.2943461,93632.41974788648
53,3700.0,93624.5958842242,346411004.7716295,93632.41974788648
54,3700.0,93625.37827059043,346413899.6011846,93632.41974788648
55,3700.0,93626.08241832003,346416504.9477841,93632.41974788648
56,3700.0,93626.71615127668,346418849.7597237,93632.41974788648
57,3700.0,93627.28651093766,346420960.09046936,93632.41974788648
58,3700.0,93627.79983463255,346422859.38814044,93632.41974788648
59,3700.0,93628.26182595795,346424568.7560444,93632.41974788648
60,3700.0,93628.6776181508,346426107.187158,93632.41974788648
61,3700.0,93629.05183112436,346427491.77516013,93632.41974788648
62,3700.0,93629.38862280057,346428737.90436214,93632.41974788648
63,3700.0,93629.69173530917,346429859.4206439,93632.41974788648
64,3700.0,93629.9645365669,346430868.7852975,93632.41974788648
65,3700.0,93630.21005769886,346431777.2134858,93632.41974788648
66,3700.0,93630.43102671762,346432594.7988552,93632.41974788648
67,3700.0,93630.62989883451,346433330.62568766,93632.41974788648
68,3700.0,93630.80888373971,346433992.8698369,93632.41974788648
69,3700.0,93630.96997015439,346434588.88957125,93632.41974788648
70,3700.0,93631.11494792759,346435125.3073321,93632.41974788648
71,3700.0,93631.24542792348,346435608.08331686,93632.41974788648
72,3700.0,93631.36285991978,346436042.5817032,93632.41974788648
73,3700.0,93631.46854871645,346436433.6302509,93632.41974788648
74,3700.0,93631.56366863346,346436785.5739438,93632.41974788648
75,3700.0,93631.64927655876,346437102.3232674,93632.41974788648
76,3700.0,93631.72632369153,346437387.39765865,93632.41974788648
77,3700.0,93631.79566611102,346437643.96461076,93632.41974788648
78,3700.0,93631.85807428857,346437874.8748677,93632.41974788648
79,3700.0,93631.91424164837,346438082.69409895,93632.41974788648
80,3700.0,93631.96479227218,346438269.73140705,93632.41974788648
81,3700.0,93632.0102878336,346438438.0649843,93632.41974788648
82,3700.0,93632.0512338389,346438589.5652039,93632.41974788648
83,3700.0,93632.08808524365,346438725.9154015,93632.41974788648
84,3700.0,93632.12125150794,346438848.63057935,93632.41974788648
85,3700.0,93632.15110114579,346438959.07423943,93632.41974788648
86,3700.0,93632.17796581986,346439058.4735335,93632.41974788648
87,3700.0,93632.20214402652,346439147.93289816,93632.41974788648
88,3700.0,93632.22390441252,346439228.4463263,93632.41974788648
89,3700.0,93632.24348875991,346439300.9084117,93632.41974788648
90,3700.0,93632.26111467257,346439366.1242885,93632.41974788648
91,3700.0,93632.27697799396,346439424.81857765,93632.41974788648
92,3700.0,93632.29125498321,346439477.64343786,93632.41974788648
93,3700.0,93632.30410427354,346439525.1858121,93632.41974788648
94,3700.0,93632.31566863484,346439567.9739489,93632.41974788648
95,3700.0,93632.32607656,346439606.483272,93632.41974788648
96,3700.0,93632.33544369265,346439641.1416628,93632.41974788648
97,3700.0,93632.34387411203,346439672.3342145,93632.41974788648
98,3700.0,93632.35146148948,346439700.40751106,93632.41974788648
99,3700.0,93632.35829012918,346439725.67347795,93632.41974788648
100,3700.0,93632.3644359049,346439748.4128482,93632.41974788648
