step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,2621.5380892017856
1,3700.0,82657.15380892018,305831469.09300464,2621.5380892017856
2,3700.0,74653.59223694835,276218291.2767089,2621.5380892017856
3,3700.0,67450.38682217369,249566431.24204266,2621.5380892017856
4,3700.0,60967.5019488765,225579757.21084306,2621.5380892017856
5,3700.0,55132.90556290903,203991750.5827634,2621.5380892017856
6,3700.0,49881.76881553831,184562544.61749175,2621.5380892017856
7,3700.0,45155.745742904655,167076259.24874723,2621.5380892017856
8,3700.0,40902.32497753437,151338602.41687718,2621.5380892017856
9,3700.0,37074.24628870111,137174711.2681941,2621.5380892017856
10,3700.0,33628.97546875118,124427209.23437937,2621.5380892017856
11,3700.0,30528.23173079624,112954457.40394609,2621.5380892017856
12,3700.0,27737.562366636794,102628980.75655614,2621.5380892017856
13,3700.0,25225.95993889329,93336051.77390517,2621.5380892017856
14,3700.0,22965.51775392414,84972415.68951932,2621.5380892017856
15,3700.0,20931.119787451906,77445143.21357206,2621.5380892017856
16,3700.0,19100.161617626894,70670597.98521951,2621.5380892017856
17,3700.0,17452.299264784382,64573507.27970222,2621.5380892017856
18,3700.0,15969.223147226123,59086125.644736655,2621.5380892017856
19,3700.0,14634.454641423688,54147482.17326765,2621.5380892017856
20,3700.0,13433.162986201498,49702703.04894554,2621.5380892017856
21,3700.0,12352.000496501527,45702401.837055646,2621.5380892017856
22,3700.0,11378.954255771552,42102130.746354744,2621.5380892017856
23,3700.0,10503.212639114576,38861886.76472393,2621.5380892017856
24,3700.0,9715.045184123297,35945667.1812562,2621.5380892017856
25,3700.0,9005.694474631146,33321069.556135237,2621.5380892017856
26,3700.0,8367.27883608821,30958931.693526376,2621.5380892017856
27,3700.0,7792.704761399567,28833007.6171784,2621.5380892017856
28,3700.0,7275.58809417979,26919675.94846522,2621.5380892017856
29,3700.0,6810.183093681989,25197677.44662336,2621.5380892017856
30,3700.0,6391.318593233968,23647878.794965684,2621.5380892017856
31,3700.0,6014.340542830751,22253060.008473776,2621.5380892017856
32,3700.0,5675.060297467854,20997723.10063106,2621.5380892017856
33,3700.0,5369.708076641247,19867919.883572616,2621.5380892017856
34,3700.0,5094.891077897301,18851096.988220014,2621.5380892017856
35,3700.0,4847.55577902775,17935956.382402673,2621.5380892017856
36,3700.0,4624.954010045153,17112329.837167066,2621.5380892017856
37,3700.0,4424.612417960816,16371065.946455019,2621.5380892017856
38,3700.0,4244.304985084913,15703928.444814177,2621.5380892017856
39,3700.0,4082.0282954966,15103504.69333742,2621.5380892017856
40,3700.0,3935.979274867119,14563123.31700834,2621.5380892017856
41,3700.0,3804.5351563005856,14076780.078312166,2621.5380892017856
42,3700.0,3686.2354495907057,13639071.16348561,2621.5380892017856
43,3700.0,3579.765713551814,13245133.14014171,2621.5380892017856
44,3700.0,3483.942951116811,12890588.919132201,2621.5380892017856
45,3700.0,3397.7024649253085,12571499.120223641,2621.5380892017856
46,3700.0,3320.086027352956,12284318.301205937,2621.5380892017856
47,3700.0,3250.231233537839,12025855.564090004,2621.5380892017856
48,3700.0,3187.361919104234,11793239.100685665,2621.5380892017856
49,3700.0,3130.7795361139893,11583884.28362176,2621.5380892017856
50,3700.0,3079.8553914227687,11395464.948264245,2621.5380892017856
51,3700.0,3034.02366120067,11225887.546442479,2621.5380892017856
52,3700.0,2992.7751040007815,11073267.884802891,2621.5380892017856
53,3700.0,2955.651402520882,10935910.189327264,2621.5380892017856
54,3700.0,2922.2400711889723,10812288.263399197,2621.5380892017856
55,3700.0,2892.1698729902537,10701028.530063938,2621.5380892017856
56,3700.0,2865.106694611407,10600894.770062206,2621.5380892017856
57,3700.0,2840.7498340704446,10510774.386060646,2621.5380892017856
58,3700.0,2818.828659583579,10429666.040459242,2621.5380892017856
59,3700.0,2799.0996025453996,10356668.529417979,2621.5380892017856
60,3700.0,2781.3434512110384,10290970.769480843,2621.5380892017856
61,3700.0,2765.3629150101133,10231842.78553742,2621.5380892017856
62,3700.0,2750.9804324292804,10178627.599988338,2621.5380892017856
63,3700.0,2738.0361981065307,10130733.932994165,2621.5380892017856
64,3700.0,2726.3863872160564,10087629.63269941,2621.5380892017856
65,3700.0,2715.901557414629,10048835.762434129,2621.5380892017856
66,3700.0,2706.4652105933446,10013921.279195376,2621.5380892017856
67,3700.0,2697.9724984541886,9982498.244280498,2621.5380892017856
68,3700.0,2690.3290575289484,9954217.51285711,2621.5380892017856
69,3700.0,2683.449960696232,9928764.854576059,2621.5380892017856
70,3700.0,2677.258773546788,9905857.462123115,2621.5380892017856
71,3700.0,2671.6867051122877,9885240.808915464,2621.5380892017856
72,3700.0,2666.6718435212374,9866685.821028579,2621.5380892017856
73,3700.0,2662.158468089292,9849986.33193038,2621.5380892017856
74,3700.0,2658.0964302005414,9834956.791742003,2621.5380892017856
75,3700.0,2654.440596100666,9821430.205572464,2621.5380892017856
76,3700.0,2651.150345410778,9809256.278019877,2621.5380892017856
77,3700.0,2648.1891197898785,9798299.743222551,2621.5380892017856
78,3700.0,2645.5240167310694,9788438.861904956,2621.5380892017856
79,3700.0,2643.125423978141,9779564.068719123,2621.5380892017856
80,3700.0,2640.9666905005056,9771576.75485187,2621.5380892017856
81,3700.0,2639.0238303706337,9764388.172371345,2621.5380892017856
