Prefecture_Code,Prefecture_Name,Price,Demand,Revenue,f_values
JP-01,北海道,3255.912423377164,87576.45474704508,285141267.0062321,103072.37951174367
JP-02,青森県,3233.7662794611456,13646.795572219611,44130547.34414345,17482.29287920978
JP-03,岩手県,3240.032939435376,13118.245922640584,42503548.89696931,16671.685496300677
JP-04,宮城県,3245.862058933084,28984.58232274107,94079956.05540779,35520.79078762836
JP-05,秋田県,3234.8756895274146,9852.942724684524,31873044.890387975,12967.271353810705
JP-06,山形県,3254.757823741443,10651.639932912805,34668508.40732473,14344.96300892823
JP-07,福島県,3289.232098165364,20315.921920140463,66823782.48354732,24664.253089634905
JP-08,茨城県,3225.347761861809,40707.44381358425,131295662.7952593,48316.97033940055
JP-09,栃木県,3284.007094150005,21669.39720476646,71162454.14640734,26616.23952866078
JP-10,群馬県,3266.3757297962024,22304.891105930954,72856154.96416004,27570.40548561496
JP-11,埼玉県,3422.5547653391254,124786.93857006186,427090131.25504595,136380.13451448258
JP-12,千葉県,3400.4886431980112,97106.27907028639,330208799.1617256,109877.50126200583
JP-13,東京都,3354.740847276994,363958.64999565465,1220986949.8602133,398683.29230380326
JP-14,神奈川県,3422.1121278825967,180807.68764431722,618744180.7020262,195834.73312369327
JP-15,新潟県,3125.7648146119172,33133.85876780082,103568649.90871237,40836.72876472975
JP-16,富山県,3267.5245779644756,10724.91634074796,35043927.74000678,13402.219569187917
JP-17,石川県,3261.016152211312,11628.004821422466,37919111.540649675,14917.581809269192
JP-18,福井県,3267.1025212056184,7386.95416968806,24133936.591818213,9350.150607587464
JP-19,山梨県,3256.9268296103046,7780.752760294763,25341342.41956845,10169.348671586573
JP-20,長野県,3168.571511553146,28002.47688460317,88727850.5094791,34951.42283587833
JP-21,岐阜県,3223.775686974012,24426.43804288034,78745357.08201471,30570.257378721028
JP-22,静岡県,3504.202424334634,28168.445938814482,98707936.54853278,40372.16187782714
JP-23,愛知県,3425.5452206758264,128193.2861488712,439131898.68999434,142720.3319646396
JP-24,三重県,3233.7397772297263,20994.990565976157,67892336.11575994,26646.48713465946
JP-25,滋賀県,3247.597000333167,15272.924338851712,49600303.26917024,19418.169335081533
JP-26,京都府,3252.7686053895036,32868.85573949099,106914782.04449289,39922.55332007527
JP-27,大阪府,3481.65479878019,130577.20736200946,454624760.6232562,170696.4139597339
JP-28,兵庫県,3426.648425856979,65052.7757033212,222912991.4614127,85242.50897405035
JP-29,奈良県,3279.1067060380346,13208.543063088793,43312222.13516662,16672.371768410274
JP-30,和歌山県,3277.27309228283,9132.696852054829,29930341.653215397,11445.50227900772
JP-31,鳥取県,3299.1719966880814,4588.917554679194,15139628.291507944,5958.254103285275
JP-32,島根県,3289.3718895161446,5930.960808499515,19509135.76130025,7529.726863775846
JP-33,岡山県,3266.8671310038326,21652.511350405795,70735877.6343281,26282.168814353965
JP-34,広島県,3257.082216373031,36523.14798899348,118958895.80091108,43949.58187189486
JP-35,山口県,3231.973278218697,15471.854509582801,50004620.339459054,19279.662157086437
JP-36,徳島県,3284.4643662294075,6280.240262522579,20627225.35361463,8176.84719272748
JP-37,香川県,3272.0455018147964,8799.052344725807,28790899.644793015,11661.432578576234
JP-38,愛媛県,3241.6424987302184,15255.859146065533,49454041.36252813,18879.00262517693
JP-39,高知県,3266.624795082778,6537.0530303100895,21354099.515581947,8359.257754491082
JP-40,福岡県,3277.30409699388,79322.51078347895,259963989.5745368,95045.54108831781
JP-41,佐賀県,3283.298975930592,7486.0071681611025,24578799.669032417,9484.761828627685
JP-42,長崎県,3249.8140244899823,13683.359179168756,44468372.56259636,17270.453846305376
JP-43,熊本県,3319.2082970845413,17423.263726282752,57831441.522569835,21325.723111709813
JP-44,大分県,3222.375026048978,12223.065165128499,39387299.9298793,15726.64057947522
JP-45,宮崎県,3292.9018011209505,10189.74623197678,33553833.72024176,12721.341119509045
JP-46,鹿児島県,3221.953806042656,19008.308201959062,61243890.95773384,23409.466786038683
JP-47,沖縄県,3244.7008337394745,16196.495924812178,52552783.83089607,20227.890634559837
