step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,45523.898432354326
1,3700.0,86947.38984323543,321705342.4199711,45523.898432354326
2,3700.0,82805.04070214732,306378650.5979451,45523.898432354326
3,3700.0,79076.92647516802,292584627.95812166,45523.898432354326
4,3700.0,75721.62367088665,280170007.5822806,45523.898432354326
5,3700.0,72701.85114703342,268996849.2440237,45523.898432354326
6,3700.0,69984.05587556551,258941006.73959237,45523.898432354326
7,3700.0,67538.04013124439,249890748.48560423,45523.898432354326
8,3700.0,65336.62596135538,241745516.05701488,45523.898432354326
9,3700.0,63355.35320845527,234414806.8712845,45523.898432354326
10,3700.0,61572.20773084518,227817168.60412717,45523.898432354326
11,3700.0,59967.37680099609,221879294.16368553,45523.898432354326
12,3700.0,58523.02896413192,216535207.1672881,45523.898432354326
13,3700.0,57223.11591095416,211725528.8705304,45523.898432354326
14,3700.0,56053.19416309418,207396818.40344846,45523.898432354326
15,3700.0,55000.2645900202,203500978.98307472,45523.898432354326
16,3700.0,54052.62797425361,199994723.50473836,45523.898432354326
17,3700.0,53199.75502006368,196839093.57423562,45523.898432354326
18,3700.0,52432.16936129275,193999026.63678318,45523.898432354326
19,3700.0,51741.342268398905,191442966.39307594,45523.898432354326
20,3700.0,51119.59788479445,189142512.17373946,45523.898432354326
21,3700.0,50560.02793955044,187072103.37633663,45523.898432354326
22,3700.0,50056.41498883083,185208735.45867407,45523.898432354326
23,3700.0,49603.16333318318,183531704.33277777,45523.898432354326
24,3700.0,49195.2368431003,182022376.3194711,45523.898432354326
25,3700.0,48828.1030020257,180663981.1074951,45523.898432354326
26,3700.0,48497.68254505857,179441425.4167167,45523.898432354326
27,3700.0,48200.304133788144,178341125.29501614,45523.898432354326
28,3700.0,47932.66356364476,177350855.1854856,45523.898432354326
29,3700.0,47691.78705051572,176459612.08690816,45523.898432354326
30,3700.0,47474.99818869958,175657493.29818845,45523.898432354326
31,3700.0,47279.88821306505,174935586.38834068,45523.898432354326
32,3700.0,47104.28923499398,174285870.16947773,45523.898432354326
33,3700.0,46946.25015473001,173701125.57250103,45523.898432354326
34,3700.0,46804.014982492445,173174855.43522206,45523.898432354326
35,3700.0,46676.00332747863,172701212.31167093,45523.898432354326
36,3700.0,46560.792837966204,172274933.50047496,45523.898432354326
37,3700.0,46457.103397405015,171891282.57039857,45523.898432354326
38,3700.0,46363.78290089995,171545996.7333298,45523.898432354326
39,3700.0,46279.79445404538,171235239.47996792,45523.898432354326
40,3700.0,46204.20485187628,170955557.95194224,45523.898432354326
41,3700.0,46136.17420992408,170703844.5767191,45523.898432354326
42,3700.0,46074.94663216711,170477302.53901833,45523.898432354326
43,3700.0,46019.84181218583,170273414.70508757,45523.898432354326
44,3700.0,45970.24747420268,170089915.65454993,45523.898432354326
45,3700.0,45925.61257001784,169924766.50906602,45523.898432354326
46,3700.0,45885.44115625149,169776132.2781305,45523.898432354326
47,3700.0,45849.28688386177,169642361.47028854,45523.898432354326
48,3700.0,45816.74803871103,169521967.74323082,45523.898432354326
49,3700.0,45787.46307807536,169413613.38887882,45523.898432354326
50,3700.0,45761.10661350325,169316094.46996203,45523.898432354326
51,3700.0,45737.38579538836,169228327.44293696,45523.898432354326
52,3700.0,45716.03705908496,169149337.11861438,45523.898432354326
53,3700.0,45696.82319641189,169078245.826724,45523.898432354326
54,3700.0,45679.530720006136,169014263.6640227,45523.898432354326
55,3700.0,45663.96749124096,168956679.71759155,45523.898432354326
56,3700.0,45649.96058535229,168904854.16580346,45523.898432354326
57,3700.0,45637.35437005249,168858211.16919422,45523.898432354326
58,3700.0,45626.00877628267,168816232.4722459,45523.898432354326
59,3700.0,45615.79774188984,168778451.6449924,45523.898432354326
60,3700.0,45606.607810936286,168744448.90046427,45523.898432354326
61,3700.0,45598.33687307809,168713846.43038896,45523.898432354326
62,3700.0,45590.89302900572,168686304.20732117,45523.898432354326
63,3700.0,45584.193569340576,168661516.20656013,45523.898432354326
64,3700.0,45578.16405564195,168639207.00587523,45523.898432354326
65,3700.0,45572.73749331319,168619128.7252588,45523.898432354326
66,3700.0,45567.8535872173,168601058.272704,45523.898432354326
67,3700.0,45563.458071731,168584794.8654047,45523.898432354326
68,3700.0,45559.50210779333,168570157.7988353,45523.898432354326
69,3700.0,45555.94174024944,168556984.4389229,45523.898432354326
70,3700.0,45552.73740945992,168545128.41500172,45523.898432354326
71,3700.0,45549.85351174936,168534457.99347264,45523.898432354326
72,3700.0,45547.25800380985,168524854.61409646,45523.898432354326
73,3700.0,45544.9220466643,168516211.5726579,45523.898432354326
74,3700.0,45542.819685233306,168508432.83536324,45523.898432354326
75,3700.0,45540.927559945405,168501431.971798,45523.898432354326
76,3700.0,45539.224647186296,168495131.1945893,45523.898432354326
77,3700.0,45537.6920257031,168489460.49510148,45523.898432354326
78,3700.0,45536.31266636823,168484356.86556244,45523.898432354326
79,3700.0,45535.07124296684,168479763.59897733,45523.898432354326
80,3700.0,45533.95396190559,168475629.65905067,45523.898432354326
81,3700.0,45532.94840895046,168471909.1131167,45523.898432354326
82,3700.0,45532.04341129085,168468560.62177613,45523.898432354326
83,3700.0,45531.22891339719,168465546.9795696,45523.898432354326
84,3700.0,45530.495865292905,168462834.70158374,45523.898432354326
85,3700.0,45529.83612199905,168460393.65139648,45523.898432354326
86,3700.0,45529.24235303458,168458196.70622793,45523.898432354326
87,3700.0,45528.70796096655,168456219.45557624,45523.898432354326
88,3700.0,45528.22700810533,168454439.92998973,45523.898432354326
89,3700.0,45527.79415053023,168452838.35696185,45523.898432354326
