step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,22010.05655148049
1,3700.0,84596.00565514805,313005220.92404777,22010.05655148049
2,3700.0,78337.4107447813,289848419.7556908,22010.05655148049
3,3700.0,72704.67532545122,269007298.7041695,22010.05655148049
4,3700.0,67635.21344805414,250250289.75780034,22010.05655148049
5,3700.0,63072.697758396775,233368981.70606807,22010.05655148049
6,3700.0,58966.43363770514,218175804.45950902,22010.05655148049
7,3700.0,55270.79592908268,204501944.93760592,22010.05655148049
8,3700.0,51944.72199132245,192195471.36789304,22010.05655148049
9,3700.0,48951.255447338255,181119645.15515155,22010.05655148049
10,3700.0,46257.13555775248,171151401.56368417,22010.05655148049
11,3700.0,43832.427657125285,162179982.33136356,22010.05655148049
12,3700.0,41650.19054656081,154105705.02227497,22010.05655148049
13,3700.0,39686.177147052775,146838855.44409525,22010.05655148049
14,3700.0,37918.565087495546,140298690.8237335,22010.05655148049
15,3700.0,36327.71423389404,134412542.66540796,22010.05655148049
16,3700.0,34895.948465652684,129115009.32291493,22010.05655148049
17,3700.0,33607.35927423547,124347229.31467123,22010.05655148049
18,3700.0,32447.62900195997,120056227.30725189,22010.05655148049
19,3700.0,31403.87175691202,116194325.50057447,22010.05655148049
20,3700.0,30464.490236368867,112718613.87456481,22010.05655148049
21,3700.0,29619.046867880028,109590473.4111561,22010.05655148049
22,3700.0,28858.147836240078,106775146.99408829,22010.05655148049
23,3700.0,28173.33870776412,104241353.21872725,22010.05655148049
24,3700.0,27557.010492135752,101960938.82090229,22010.05655148049
25,3700.0,27002.315098070227,99908565.86285985,22010.05655148049
26,3700.0,26503.08924341125,98061430.20062162,22010.05655148049
27,3700.0,26053.78597421818,96399008.10460727,22010.05655148049
28,3700.0,25649.41303194441,94902828.2181943,22010.05655148049
29,3700.0,25285.477383898015,93556266.32042265,22010.05655148049
30,3700.0,24957.935300656267,92344360.61242819,22010.05655148049
31,3700.0,24663.14742573869,91253645.47523315,22010.05655148049
32,3700.0,24397.83833831287,90272001.85175763,22010.05655148049
33,3700.0,24159.060159629636,89388522.59062965,22010.05655148049
34,3700.0,23944.15979881472,88593391.25561446,22010.05655148049
35,3700.0,23750.74947408129,87877773.05410078,22010.05655148049
36,3700.0,23576.68018182121,87233716.67273848,22010.05655148049
37,3700.0,23420.017818787142,86654065.92951243,22010.05655148049
38,3700.0,23279.02169205648,86132380.26060899,22010.05655148049
39,3700.0,23152.12517799888,85662863.15859586,22010.05655148049
40,3700.0,23037.91831534704,85240297.76678404,22010.05655148049
41,3700.0,22935.132138960384,84859988.91415341,22010.05655148049
42,3700.0,22842.6245802124,84517710.94678588,22010.05655148049
43,3700.0,22759.367777339205,84209660.77615505,22010.05655148049
44,3700.0,22684.43665475333,83932415.62258731,22010.05655148049
45,3700.0,22616.998644426047,83682894.98437637,22010.05655148049
46,3700.0,22556.30443513149,83458326.40998651,22010.05655148049
47,3700.0,22501.679646766388,83256214.69303563,22010.05655148049
48,3700.0,22452.5173372378,83074314.14777987,22010.05655148049
49,3700.0,22408.271258662066,82910603.65704964,22010.05655148049
50,3700.0,22368.449787943908,82763264.21539246,22010.05655148049
51,3700.0,22332.61046429757,82630658.717901,22010.05655148049
52,3700.0,22300.35507301586,82511313.77015868,22010.05655148049
53,3700.0,22271.325220862323,82403903.3171906,22010.05655148049
54,3700.0,22245.19835392414,82307233.90951931,22010.05655148049
55,3700.0,22221.684173679776,82220231.44261517,22010.05655148049
56,3700.0,22200.52141145985,82141929.22240144,22010.05655148049
57,3700.0,22181.474925461916,82071457.22420909,22010.05655148049
58,3700.0,22164.33308806377,82008032.42583595,22010.05655148049
59,3700.0,22148.90543440544,81950950.10730012,22010.05655148049
60,3700.0,22135.020546112948,81899576.0206179,22010.05655148049
61,3700.0,22122.524146649703,81853339.3426039,22010.05655148049
62,3700.0,22111.27738713278,81811726.33239129,22010.05655148049
63,3700.0,22101.155303567557,81774274.62319995,22010.05655148049
64,3700.0,22092.045428358848,81740568.08492774,22010.05655148049
65,3700.0,22083.846540671013,81710232.20048274,22010.05655148049
66,3700.0,22076.46754175196,81682929.90448226,22010.05655148049
67,3700.0,22069.82644272481,81658357.83808179,22010.05655148049
68,3700.0,22063.849453600385,81636242.97832143,22010.05655148049
69,3700.0,22058.470163388392,81616339.60453705,22010.05655148049
70,3700.0,22053.628802197603,81598426.56813113,22010.05655148049
71,3700.0,22049.27157712589,81582304.8353658,22010.05655148049
72,3700.0,22045.350074561356,81567795.27587701,22010.05655148049
73,3700.0,22041.820722253266,81554736.67233709,22010.05655148049
74,3700.0,22038.64430517599,81542983.92915116,22010.05655148049
75,3700.0,22035.78552980644,81532406.46028382,22010.05655148049
76,3700.0,22033.212631973845,81522886.73830323,22010.05655148049
77,3700.0,22030.89702392451,81514318.98852068,22010.05655148049
78,3700.0,22028.812976680107,81506608.0137164,22010.05655148049
79,3700.0,22026.937334160142,81499668.13639252,22010.05655148049
80,3700.0,22025.24925589218,81493422.24680106,22010.05655148049
81,3700.0,22023.729985451013,81487800.94616875,22010.05655148049
82,3700.0,22022.36264205396,81482741.77559964,22010.05655148049
83,3700.0,22021.13203299661,81478188.52208745,22010.05655148049
84,3700.0,22020.024484845,81474090.59392649,22010.05655148049
85,3700.0,22019.027691508552,81470402.45858164,22010.05655148049
86,3700.0,22018.130577505748,81467083.13677126,22010.05655148049
87,3700.0,22017.323174903224,81464095.74714193,22010.05655148049
88,3700.0,22016.59651256095,81461407.09647551,22010.05655148049
89,3700.0,22015.942516452906,81458987.31087574,22010.05655148049
