step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,93632.41974788648
1,3700.0,91758.24197478865,339505495.306718,93632.41974788648
2,3700.0,91945.65975209844,340198941.0827642,93632.41974788648
3,3700.0,92114.33575167724,340823042.2812058,93632.41974788648
4,3700.0,92266.14415129815,341384733.3598032,93632.41974788648
5,3700.0,92402.771710957,341890255.3305409,93632.41974788648
6,3700.0,92525.73651464994,342345225.1042048,93632.41974788648
7,3700.0,92636.4048379736,342754697.9005023,93632.41974788648
8,3700.0,92736.00632896488,343123223.41717005,93632.41974788648
9,3700.0,92825.64767085704,343454896.38217103,93632.41974788648
10,3700.0,92906.32487856,343753402.050672,93632.41974788648
11,3700.0,92978.93436549263,344022057.15232277,93632.41974788648
12,3700.0,93044.28290373202,344263846.74380845,93632.41974788648
13,3700.0,93103.09658814748,344481457.3761457,93632.41974788648
14,3700.0,93156.02890412135,344677306.945249,93632.41974788648
15,3700.0,93203.66798849788,344853571.5574421,93632.41974788648
16,3700.0,93246.54316443672,345012209.70841587,93632.41974788648
17,3700.0,93285.1308227817,345154984.04429233,93632.41974788648
18,3700.0,93319.8597152922,345283480.9465811,93632.41974788648
19,3700.0,93351.11571855162,345399128.158641,93632.41974788648
20,3700.0,93379.2461214851,345503210.6494949,93632.41974788648
21,3700.0,93404.56348412525,345596884.8912634,93632.41974788648
22,3700.0,93427.34911050137,345681191.70885503,93632.41974788648
23,3700.0,93447.85617423987,345757067.8446875,93632.41974788648
24,3700.0,93466.31253160452,345825356.36693674,93632.41974788648
25,3700.0,93482.92325323272,345886816.036961,93632.41974788648
26,3700.0,93497.8729026981,345942129.73998296,93632.41974788648
27,3700.0,93511.32758721696,345991912.07270277,93632.41974788648
28,3700.0,93523.4368032839,346036716.17215043,93632.41974788648
29,3700.0,93534.33509774416,346077039.8616534,93632.41974788648
30,3700.0,93544.1435627584,346113331.1822061,93632.41974788648
31,3700.0,93552.9711812712,346145993.37070346,93632.41974788648
32,3700.0,93560.91603793272,346175389.34035105,93632.41974788648
33,3700.0,93568.0664089281,346201845.713034,93632.41974788648
34,3700.0,93574.50174282394,346225656.44844854,93632.41974788648
35,3700.0,93580.2935433302,346247086.11032176,93632.41974788648
36,3700.0,93585.50616378582,346266372.8060075,93632.41974788648
37,3700.0,93590.19752219589,346283730.83212477,93632.41974788648
38,3700.0,93594.41974476496,346299353.0556304,93632.41974788648
39,3700.0,93598.2197450771,346313413.0567853,93632.41974788648
40,3700.0,93601.63974535804,346326067.05782473,93632.41974788648
41,3700.0,93604.71774561088,346337455.65876025,93632.41974788648
42,3700.0,93607.48794583844,346347705.39960223,93632.41974788648
43,3700.0,93609.98112604326,346356930.1663601,93632.41974788648
44,3700.0,93612.22498822758,346365232.45644206,93632.41974788648
45,3700.0,93614.24446419349,346372704.5175159,93632.41974788648
46,3700.0,93616.06199256275,346379429.3724822,93632.41974788648
47,3700.0,93617.69776809514,346385481.741952,93632.41974788648
48,3700.0,93619.16996607427,346390928.8744748,93632.41974788648
49,3700.0,93620.4949442555,346395831.29374534,93632.41974788648
50,3700.0,93621.6874246186,346400243.4710888,93632.41974788648
51,3700.0,93622.76065694538,346404214.4306979,93632.41974788648
52,3700.0,93623.72656603948,346407788.2943461,93632.41974788648
53,3700.0,93624.5958842242,346411004.7716295,93632.41974788648
54,3700.0,93625.37827059045,346413899.60118467,93632.41974788648
55,3700.0,93626.08241832005,346416504.9477842,93632.41974788648
56,3700.0,93626.71615127668,346418849.7597237,93632.41974788648
57,3700.0,93627.28651093766,346420960.09046936,93632.41974788648
58,3700.0,93627.79983463256,346422859.3881405,93632.41974788648
59,3700.0,93628.26182595796,346424568.75604445,93632.41974788648
60,3700.0,93628.6776181508,346426107.187158,93632.41974788648
61,3700.0,93629.05183112436,346427491.77516013,93632.41974788648
62,3700.0,93629.38862280056,346428737.9043621,93632.41974788648
63,3700.0,93629.69173530916,346429859.42064387,93632.41974788648
64,3700.0,93629.9645365669,346430868.7852975,93632.41974788648
65,3700.0,93630.21005769886,346431777.2134858,93632.41974788648
66,3700.0,93630.43102671762,346432594.7988552,93632.41974788648
67,3700.0,93630.62989883452,346433330.6256877,93632.41974788648
68,3700.0,93630.80888373972,346433992.869837,93632.41974788648
69,3700.0,93630.9699701544,346434588.8895713,93632.41974788648
70,3700.0,93631.1149479276,346435125.30733216,93632.41974788648
71,3700.0,93631.24542792348,346435608.08331686,93632.41974788648
72,3700.0,93631.36285991978,346436042.5817032,93632.41974788648
73,3700.0,93631.46854871644,346436433.6302508,93632.41974788648
74,3700.0,93631.56366863346,346436785.5739438,93632.41974788648
75,3700.0,93631.64927655876,346437102.3232674,93632.41974788648
76,3700.0,93631.72632369152,346437387.3976586,93632.41974788648
77,3700.0,93631.79566611102,346437643.96461076,93632.41974788648
78,3700.0,93631.85807428855,346437874.8748676,93632.41974788648
79,3700.0,93631.91424164837,346438082.69409895,93632.41974788648
80,3700.0,93631.96479227218,346438269.73140705,93632.41974788648
81,3700.0,93632.0102878336,346438438.0649843,93632.41974788648
82,3700.0,93632.0512338389,346438589.5652039,93632.41974788648
83,3700.0,93632.08808524364,346438725.91540146,93632.41974788648
84,3700.0,93632.12125150794,346438848.63057935,93632.41974788648
85,3700.0,93632.1511011458,346438959.0742395,93632.41974788648
86,3700.0,93632.17796581986,346439058.4735335,93632.41974788648
87,3700.0,93632.20214402652,346439147.93289816,93632.41974788648
88,3700.0,93632.22390441252,346439228.4463263,93632.41974788648
89,3700.0,93632.24348875992,346439300.90841174,93632.41974788648
90,3700.0,93632.26111467255,346439366.12428844,93632.41974788648
91,3700.0,93632.27697799396,346439424.81857765,93632.41974788648
92,3700.0,93632.2912549832,346439477.6434378,93632.41974788648
93,3700.0,93632.30410427354,346439525.1858121,93632.41974788648
94,3700.0,93632.31566863484,346439567.9739489,93632.41974788648
95,3700.0,93632.32607656,346439606.483272,93632.41974788648
96,3700.0,93632.33544369265,346439641.1416628,93632.41974788648
97,3700.0,93632.34387411203,346439672.3342145,93632.41974788648
98,3700.0,93632.35146148948,346439700.40751106,93632.41974788648
99,3700.0,93632.35829012918,346439725.67347795,93632.41974788648
100,3700.0,93632.3644359049,346439748.4128482,93632.41974788648
101,3700.0,93632.36996710306,346439768.87828135,93632.41974788648
102,3490.969230690676,97371.01782096707,339919227.1740295,131018.84850574308
103,3490.969230690676,100735.80088944467,351665581.3340338,131018.84850574308
104,3490.969230690676,103764.10565107451,362237300.0780376,131018.84850574308
105,3483.2814110753725,106627.0812820612,371412130.1470266,132393.86196094146
106,3474.619712513796,109358.67911475917,379979822.18661296,133943.05960904085
107,3427.989886268183,112651.12006370451,386166900.2551619,142283.08860421262
108,3427.989886268183,115614.31691775532,396324709.1018697,142283.08860421262
109,3427.989886268183,118281.19408640105,405466737.06390685,142283.08860421262
110,3427.989886268183,120681.38353818221,413694562.2297402,142283.08860421262
111,3427.989886268183,122841.55404478525,421099604.87899023,142283.08860421262
112,3427.989886268183,124785.707500728,427764143.2633153,142283.08860421262
113,3425.5452206758264,126579.16994711915,433602670.64946723,142720.3319646396
114,3425.5452206758264,128193.2861488712,439131898.68999434,142720.3319646396
115,3425.5452206758264,129645.99073044803,444108203.92646873,142720.3319646396
116,3381.9663784857557,131732.85904160535,445516100.22051257,150514.67384202115
117,3047.682351203289,139589.9143554753,425425718.3871607,210303.41218030488
118,2829.3273126070744,150566.67726032782,426002412.34114003,249357.5434040004
119,2829.3273126070744,160445.76387469508,453953581.9227803,249357.5434040004
120,2829.3273126070744,169336.94182762562,479109634.5462565,249357.5434040004
121,2829.3273126070744,177339.0019852631,501750081.9073851,249357.5434040004
122,2829.3273126070744,184540.85612713685,522126484.53240085,249357.5434040004
123,2829.3273126070744,191022.52485482322,540465246.8949151,249357.5434040004
124,2829.3273126070744,196856.02670974092,556970133.0211778,249357.5434040004
125,2829.3273126070744,202106.17837916687,571824530.5348142,249357.5434040004
126,2829.3273126070744,206831.31488165024,585193488.2970871,249357.5434040004
127,2829.3273126070744,211083.93773388525,597225550.2831326,249357.5434040004
128,2769.9969122546977,215972.45871918276,598243043.7841914,259969.14758686023
129,2769.9969122546977,220372.12760595052,610430113.0154811,259969.14758686023
130,2769.9969122546977,224331.8296040415,621398475.3236419,259969.14758686023
131,2769.9969122546977,227895.56140232336,631270001.4009866,259969.14758686023
132,2769.9969122546977,231102.92002077706,640154374.8705968,259969.14758686023
133,2769.9969122546977,233989.5427773854,648150310.9932461,259969.14758686023
134,2686.483560592195,238081.19051910148,639601204.4157845,274906.02019454626
135,2474.0198823814867,245563.7160331585,607529515.8575156,312906.4456596717
136,2301.0662242668204,255391.3707208448,587672457.1349422,343840.2629100214
137,2301.0662242668204,264236.2599397625,608025132.9739753,343840.2629100214
138,2301.0662242668204,272196.6602367884,626342541.2291052,343840.2629100214
139,2301.0662242668204,279361.0205041117,642828208.6587222,343840.2629100214
140,2301.0662242668204,285808.94474470266,657665309.3453772,343840.2629100214
141,2243.500823518174,292641.66888446896,656541825.1380389,354136.186142366
142,2225.171275941051,299118.95575477835,665590908.435015,357414.5375875629
143,2187.7226457958504,305618.3055422445,668608088.0045238,364112.45362944016
144,2107.8423191955862,312896.4287413426,659536334.0261681,378399.5375332254
145,2105.545546798974,319487.81879651186,672696154.1235131,378810.3292930351
146,2105.545546798974,325420.0698461642,685186778.9036021,378810.3292930351
147,2107.8423191955862,330718.01661487034,697101431.1412528,378399.5375332254
148,2110.1390915921984,335445.08953072486,707835796.5014274,377988.7457734157
149,2110.1390915921984,339699.4551549939,716813099.7151237,377988.7457734157
150,2110.1390915921984,343528.3842168361,724892672.6074501,377988.7457734157
151,2110.1390915921984,346974.42037249403,732164288.2105441,377988.7457734157
152,2110.1390915921984,350075.8529125862,738708742.2533287,377988.7457734157
153,2110.1390915921984,352867.14219866914,744598750.8918349,377988.7457734157
154,2110.1390915921984,355379.3025561438,749899758.6664903,377988.7457734157
155,2110.1390915921984,357640.246877871,754670665.6636802,377988.7457734157
156,2110.1390915921984,359675.0967674255,758964481.9611512,377988.7457734157
157,2110.1390915921984,361506.4616680245,762828916.628875,377988.7457734157
158,2110.1390915921984,363154.6900785636,766306907.8298265,377988.7457734157
159,2110.1390915921984,364638.0956480488,769437099.9106828,377988.7457734157
160,2110.1390915921984,365973.1606605855,772254272.7834536,377988.7457734157
161,2110.1390915921984,367174.7191718685,774789728.3689471,377988.7457734157
162,2110.1390915921984,368256.12183202326,777071638.3958915,377988.7457734157
163,2110.1390915921984,369229.3842261625,779125357.4201413,377988.7457734157
