step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,4894.07672497406
1,3700.0,82884.4076724974,306672308.3882404,4894.07672497406
2,3700.0,75085.37457774507,277815885.93765676,4894.07672497406
3,3700.0,68066.24479246797,251845105.7321315,4894.07672497406
4,3700.0,61749.02798571858,228471403.54715875,4894.07672497406
5,3700.0,56063.532859644125,207435071.58068326,4894.07672497406
6,3700.0,50946.58724617712,188502372.81085536,4894.07672497406
7,3700.0,46341.336194056814,171462943.9180102,4894.07672497406
8,3700.0,42196.610247148536,156127457.91444957,4894.07672497406
9,3700.0,38466.35689493109,142325520.511245,4894.07672497406
10,3700.0,35109.128877935385,129903776.84836093,4894.07672497406
11,3700.0,32087.623662639253,118724207.55176523,4894.07672497406
12,3700.0,29368.268968872733,108662595.18482912,4894.07672497406
13,3700.0,26920.849744482864,99607144.0545866,4894.07672497406
14,3700.0,24718.172442531984,91457238.03736834,4894.07672497406
15,3700.0,22735.76287077619,84122322.6218719,4894.07672497406
16,3700.0,20951.59425619598,77520898.74792512,4894.07672497406
17,3700.0,19345.842503073785,71579617.261373,4894.07672497406
18,3700.0,17900.665925263813,66232463.92347611,4894.07672497406
19,3700.0,16600.00700523484,61420025.9193689,4894.07672497406
20,3700.0,15429.41397720876,57088831.71567241,4894.07672497406
21,3700.0,14375.88025198529,53190756.93234558,4894.07672497406
22,3700.0,13427.699899284167,49682489.62735142,4894.07672497406
23,3700.0,12574.337581853157,46525049.05285668,4894.07672497406
24,3700.0,11806.311496165246,43683352.53581141,4894.07672497406
25,3700.0,11115.088019046128,41125825.67047068,4894.07672497406
26,3700.0,10492.986889638922,38824051.49166401,4894.07672497406
27,3700.0,9933.095873172437,36752454.730738014,4894.07672497406
28,3700.0,9429.193958352598,34888017.645904616,4894.07672497406
29,3700.0,8975.682235014745,33210024.269554555,4894.07672497406
30,3700.0,8567.521684010677,31699830.230839506,4894.07672497406
31,3700.0,8200.177188107014,30340655.595995955,4894.07672497406
32,3700.0,7869.567141793719,29117398.424636763,4894.07672497406
33,3700.0,7572.0181001117535,28016466.970413487,4894.07672497406
34,3700.0,7304.223962597984,27025628.66161254,4894.07672497406
35,3700.0,7063.209238835591,26133874.183691688,4894.07672497406
36,3700.0,6846.295987449438,25331295.153562922,4894.07672497406
37,3700.0,6651.0740612019,24608974.026447028,4894.07672497406
38,3700.0,6475.374327579116,23958885.012042727,4894.07672497406
39,3700.0,6317.24456731861,23373804.899078857,4894.07672497406
40,3700.0,6174.927783084156,22847232.797411375,4894.07672497406
41,3700.0,6046.842677273146,22373317.90591064,4894.07672497406
42,3700.0,5931.566082043238,21946794.50355998,4894.07672497406
43,3700.0,5827.81714633632,21562923.441444382,4894.07672497406
44,3700.0,5734.443104200093,21217439.485540345,4894.07672497406
45,3700.0,5650.40646627749,20906503.925226714,4894.07672497406
46,3700.0,5574.773492147147,20626661.920944445,4894.07672497406
47,3700.0,5506.703815429839,20374804.117090404,4894.07672497406
48,3700.0,5445.441106384261,20148132.093621764,4894.07672497406
49,3700.0,5390.3046682432405,19944127.27249999,4894.07672497406
50,3700.0,5340.681873916323,19760522.933490396,4894.07672497406
51,3700.0,5296.0213590220965,19595279.028381757,4894.07672497406
52,3700.0,5255.826895617292,19446559.51378398,4894.07672497406
53,3700.0,5219.651878552969,19312711.950645983,4894.07672497406
54,3700.0,5187.094363195078,19192249.143821787,4894.07672497406
55,3700.0,5157.792599372976,19083832.61768001,4894.07672497406
56,3700.0,5131.421011933085,18986257.74415241,4894.07672497406
57,3700.0,5107.686583237182,18898440.357977573,4894.07672497406
58,3700.0,5086.32559741087,18819404.710420217,4894.07672497406
59,3700.0,5067.1007101671885,18748272.627618596,4894.07672497406
60,3700.0,5049.798311647875,18684253.75309714,4894.07672497406
61,3700.0,5034.226152980494,18626636.766027827,4894.07672497406
62,3700.0,5020.21121017985,18574781.477665447,4894.07672497406
63,3700.0,5007.597761659271,18528111.718139302,4894.07672497406
64,3700.0,4996.24565799075,18486108.934565775,4894.07672497406
65,3700.0,4986.028764689081,18448306.4293496,4894.07672497406
66,3700.0,4976.833560717579,18414284.174655043,4894.07672497406
67,3700.0,4968.5578771432265,18383664.14542994,4894.07672497406
68,3700.0,4961.10976192631,18356106.119127348,4894.07672497406
69,3700.0,4954.406458231085,18331303.895455014,4894.07672497406
70,3700.0,4948.373484905383,18308981.894149914,4894.07672497406
71,3700.0,4942.9438089122505,18288892.092975326,4894.07672497406
72,3700.0,4938.057100518431,18270811.271918196,4894.07672497406
73,3700.0,4933.659062963994,18254538.532966778,4894.07672497406
74,3700.0,4929.700829165001,18239893.067910504,4894.07672497406
75,3700.0,4926.138418745907,18226712.149359856,4894.07672497406
76,3700.0,4922.932249368722,18214849.322664272,4894.07672497406
77,3700.0,4920.046696929256,18204172.778638247,4894.07672497406
78,3700.0,4917.449699733736,18194563.889014825,4894.07672497406
79,3700.0,4915.112402257769,18185915.888353743,4894.07672497406
80,3700.0,4913.008834529398,18178132.687758774,4894.07672497406
81,3700.0,4911.1156235738645,18171127.807223298,4894.07672497406
82,3700.0,4909.411733713884,18164823.41474137,4894.07672497406
83,3700.0,4907.878232839902,18159149.461507637,4894.07672497406
84,3700.0,4906.498082053318,18154042.903597277,4894.07672497406
85,3700.0,4905.255946345393,18149447.001477953,4894.07672497406
86,3700.0,4904.13802420826,18145310.68957056,4894.07672497406
87,3700.0,4903.131894284839,18141588.008853905,4894.07672497406
88,3700.0,4902.226377353762,18138237.59620892,4894.07672497406
89,3700.0,4901.411412115792,18135222.22482843,4894.07672497406
90,3700.0,4900.677943401619,18132508.39058599,4894.07672497406
91,3700.0,4900.017821558863,18130065.939767793,4894.07672497406
92,3700.0,4899.423711900383,18127867.734031416,4894.07672497406
93,3700.0,4898.88901320775,18125889.348868676,4894.07672497406
94,3700.0,4898.407784384382,18124108.80222221,4894.07672497406
95,3700.0,4897.974678443349,18122506.31024039,4894.07672497406
96,3700.0,4897.5848830964205,18121064.067456756,4894.07672497406
97,3700.0,4897.234067284185,18119766.048951484,4894.07672497406
98,3700.0,4896.918333053172,18118597.832296737,4894.07672497406
99,3700.0,4896.634172245261,18117546.437307466,4894.07672497406
100,3467.4287346129886,6044.814853728277,20959964.719232835,16378.440987075417
101,3266.8671310038326,8068.550249790846,26358881.605894476,26282.168814353965
102,3266.8671310038326,9889.912106247157,32309028.78841572,26282.168814353965
103,3266.8671310038326,11529.137777057838,37664161.25268485,26282.168814353965
104,3266.8671310038326,13004.440880787452,42483780.47052705,26282.168814353965
105,3266.8671310038326,14332.213674144103,46821437.766585045,26282.168814353965
106,3266.8671310038326,15527.209188165089,50725329.333037235,26282.168814353965
107,3266.8671310038326,16602.705150783975,54238831.7428442,26282.168814353965
108,3266.8671310038326,17570.651517140974,57400983.91167047,26282.168814353965
109,3266.8671310038326,18441.803246862273,60246920.86361412,26282.168814353965
110,3266.8671310038326,19225.83980361144,62808264.1203634,26282.168814353965
111,3266.8671310038326,19931.472704685693,65113473.05143775,26282.168814353965
112,3266.8671310038326,20566.54231565252,67188161.08940467,26282.168814353965
113,3266.8671310038326,21138.104965522667,69055380.3235749,26282.168814353965
114,3266.8671310038326,21652.511350405795,70735877.6343281,26282.168814353965
115,3051.777091233097,23177.59126716749,70732842.05910604,36903.310518022714
116,2707.43862049761,26250.50584670808,71071633.33697577,53906.73706257343
117,2572.328590781315,29683.302014863042,76355206.44162883,60578.46752825769
118,2572.328590781315,32772.818566202506,84302458.19833142,60578.46752825769
119,2572.328590781315,35553.38346240803,91454984.77936375,60578.46752825769
120,2572.328590781315,38055.89186899299,97892258.70229286,60578.46752825769
121,2572.328590781315,40308.14943491946,103685805.23292904,60578.46752825769
122,2535.358517349261,42517.73939019785,107797712.70137429,62404.048987703354
123,2535.358517349261,44506.3703499484,112839605.1430423,62404.048987703354
124,2535.358517349261,46296.1382137239,117377308.3405435,62404.048987703354
125,2535.358517349261,47906.92929112184,121461241.21829456,62404.048987703354
126,2535.358517349261,49356.641260779994,125136780.80827053,62404.048987703354
127,2535.358517349261,50661.38203347233,128444766.43924889,62404.048987703354
128,2535.358517349261,51835.64872889543,131421953.50712943,62404.048987703354
129,2535.358517349261,52892.48875477622,134101421.8682219,62404.048987703354
130,2525.2235243551813,53893.69135245729,136093617.21756256,62904.51473158694
131,2456.5471708886457,55133.89738137743,135439019.63228762,66295.75164165866
132,2368.7148658202877,56683.79854769983,134267756.27109903,70632.9090446014
133,2353.0507814831662,58156.05881336489,136844159.63876924,71406.40120435049
134,2259.4328219119625,59943.37834269537,135438036.4837726,76029.25410666963
135,2210.7965339931984,61792.13180798111,136609830.8291355,78430.91299555282
136,2200.0093317993637,63509.27710880258,139721002.2951974,78963.58481619578
137,2174.634917101031,65180.00668670466,141742718.43778664,80216.57288782342
138,2174.634917101031,66683.66330681654,145012622.62721205,80216.57288782342
139,2174.634917101031,68036.95426491722,147955536.39769492,80216.57288782342
140,2126.8989572121422,69490.6361981516,147799561.66585696,82573.773597261
141,2109.5848540892725,70884.44694337991,149536755.66224888,83428.74365043476
142,2109.5848540892725,72138.8766140854,152183081.49608937,83428.74365043476
143,2109.5848540892725,73267.86331772033,154564774.7465458,83428.74365043476
144,2100.868357129252,74326.99339490541,156151228.5039117,83859.1640895711
145,2090.514506755478,75331.33775604743,157481254.39231384,84370.43700632565
146,2069.34944237348,76339.76072510467,157973641.28742024,85415.5674466198
147,2053.381335869189,77326.19187406215,158780159.16803896,86204.07221467939
148,2036.708977079711,78296.30798125372,159466793.33761728,87027.35294597778
149,2005.2240595440658,79324.8849352285,159064167.7926848,88582.07752100159
150,1995.6627009245385,80297.81816284214,160247360.67320502,89054.21721136493
151,1995.6627009245385,81173.45806769442,161994842.5707598,89054.21721136493
152,1980.305506916062,82037.3677742299,162459051.17620575,89812.55513304936
153,1948.386480440889,82972.50259665743,161662502.3076739,91388.71599850517
154,1927.1548901226859,83918.96548580665,161724844.7100092,92437.13148814961
155,1884.0256874872994,84983.7539992197,160111575.55363142,94566.85061993716
156,1852.835600179125,86096.08024774195,159521882.51889506,96107.01648444221
157,1852.835600179125,87097.17387141197,161376744.42394322,96107.01648444221
158,1884.0256874872994,87844.1415462645,165500619.1684326,94566.85061993716
159,1915.2157747954736,88362.39586718126,169233054.46354792,93026.68475543213
160,1915.2157747954736,88828.82475600635,170126366.42924604,93026.68475543213
161,1884.0256874872994,89402.62734239943,168436846.4419349,94566.85061993716
162,1852.835600179125,90073.0662566037,166890583.77752843,96107.01648444221
163,1852.835600179125,90676.46127938756,168008575.55671325,96107.01648444221
164,1884.0256874872994,91065.50021344252,171569741.64600584,94566.85061993716
165,1915.2157747954736,91261.61866764148,174785691.70563602,93026.68475543213
166,1915.2157747954736,91438.12527642054,175123739.94712535,93026.68475543213
167,1884.0256874872994,91750.9978107722,172861236.7280858,94566.85061993716
168,1852.835600179125,92186.5996781392,170806613.74311778,96107.01648444221
169,1852.835600179125,92578.6413587695,171533002.52574366,96107.01648444221
170,1884.0256874872994,92777.46228488626,174795122.16460982,94566.85061993716
171,1915.2157747954736,92802.38453194086,177736590.7942086,93026.68475543213
172,1915.2157747954736,92824.81455428999,177779549.12684065,93026.68475543213
173,1884.0256874872994,92999.0181608547,175212539.1261481,94566.85061993716
174,1852.835600179125,93309.81799321345,172887752.62406057,96107.01648444221
175,1852.835600179125,93589.53784233633,173406027.51859218,96107.01648444221
176,1884.0256874872994,93687.26912009642,176509221.6127973,94566.85061993716
177,1915.2157747954736,93621.21068363,179304819.5567387,93026.68475543213
178,1915.2157747954736,93561.75809081021,179190955.01311776,93026.68475543213
179,1884.0256874872994,93662.26734372291,176462117.62387678,94566.85061993716
180,1852.835600179125,93906.74225779485,173993755.15208772,96107.01648444221
181,1852.835600179125,94126.76968045958,174401429.7938166,96107.01648444221
182,1884.0256874872994,94170.77777440734,177420164.33764148,94566.85061993716
183,1915.2157747954736,94056.36847250981,180138240.61852643,93026.68475543213
184,1915.2157747954736,93953.40010080204,179941033.96872672,93026.68475543213
185,1884.0256874872994,94014.74515271555,177126194.87028816,94566.85061993716
186,1852.835600179125,94223.97228588822,174581530.24158496,96107.01648444221
187,1852.835600179125,94412.27670574361,174930427.3743641,96107.01648444221
188,1884.0256874872994,94427.73409716297,177904276.65027538,94566.85061993716
189,1915.2157747954736,94287.62916298989,180581154.741024,93026.68475543213
190,1915.2157747954736,94161.53472223412,180339656.6789745,93026.68475543213
191,1884.0256874872994,94202.06631200443,177479112.74619833,94566.85061993716
192,1852.835600179125,94392.56132924822,174893898.0229225,96107.01648444221
193,1852.835600179125,94564.00684476762,175211558.3775679,96107.01648444221
194,1884.0256874872994,94564.29122228458,178161553.7818139,94566.85061993716
195,1915.2157747954736,94410.53057559933,180816537.46519822,93026.68475543213
