step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,228.74494334736664
1,3700.0,82417.87449433474,304946135.6290385,228.74494334736664
2,3700.0,74198.961539236,274536157.6951732,228.74494334736664
3,3700.0,66801.93987964714,247167177.5546944,228.74494334736664
4,3700.0,60144.62038601716,222535095.4282635,228.74494334736664
5,3700.0,54153.03284175018,200366221.51447567,228.74494334736664
6,3700.0,48760.6040519099,180414234.99206662,228.74494334736664
7,3700.0,43907.41814105364,162457447.12189847,228.74494334736664
8,3700.0,39539.55082128301,146296338.03874713,228.74494334736664
9,3700.0,35608.47023348945,131751339.86391096,228.74494334736664
10,3700.0,32070.49770447524,118660841.50655839,228.74494334736664
11,3700.0,28886.32242836245,106879392.98494107,228.74494334736664
12,3700.0,26020.56467986094,96276089.31548548,228.74494334736664
13,3700.0,23441.382706209584,86733116.01297547,228.74494334736664
14,3700.0,21120.118929923363,78144440.04071644,228.74494334736664
15,3700.0,19030.981531265763,70414631.66568333,228.74494334736664
16,3700.0,17150.75787247392,63457804.12815351,228.74494334736664
17,3700.0,15458.556579561266,57196659.34437668,228.74494334736664
18,3700.0,13935.575415939877,51561629.03897754,228.74494334736664
19,3700.0,12564.892368680625,46490101.764118314,228.74494334736664
20,3700.0,11331.277626147295,41925727.216745,228.74494334736664
21,3700.0,10221.024357867303,37817790.12410902,228.74494334736664
22,3700.0,9221.796416415307,34120646.74073663,228.74494334736664
23,3700.0,8322.491269108516,30793217.695701506,228.74494334736664
24,3700.0,7513.116636532401,27798531.555169884,228.74494334736664
25,3700.0,6784.679467213897,25103314.02869142,228.74494334736664
26,3700.0,6129.086014827244,22677618.254860803,228.74494334736664
27,3700.0,5539.051907679256,20494492.05841325,228.74494334736664
28,3700.0,5008.021211246067,18529678.481610447,228.74494334736664
29,3700.0,4530.093584456196,16761346.262487927,228.74494334736664
30,3700.0,4099.958720345314,15169847.265277661,228.74494334736664
31,3700.0,3712.837342645519,13737498.16778842,228.74494334736664
32,3700.0,3364.428102715704,12448383.980048105,228.74494334736664
33,3700.0,3050.8597867788703,11288181.21108182,228.74494334736664
34,3700.0,2768.64830243572,10243998.719012164,228.74494334736664
35,3700.0,2514.6579665268846,9304234.476149473,228.74494334736664
36,3700.0,2286.0666642089327,8458446.657573052,228.74494334736664
37,3700.0,2080.3344921227763,7697237.6208542725,228.74494334736664
38,3700.0,1895.1755372452355,7012149.487807372,228.74494334736664
39,3700.0,1728.5324778554484,6395570.168065159,228.74494334736664
40,3700.0,1578.5537244046402,5840648.7802971685,228.74494334736664
41,3700.0,1443.5728462989127,5341219.531305977,228.74494334736664
42,3700.0,1322.090056003758,4891733.207213905,228.74494334736664
43,3700.0,1212.755544738119,4487195.51553104,228.74494334736664
44,3700.0,1114.3544845990436,4123111.5930164615,228.74494334736664
45,3700.0,1025.793530473876,3795436.062753341,228.74494334736664
46,3700.0,946.088671761225,3500528.0855165324,228.74494334736664
47,3700.0,874.3542989198392,3235110.906003405,228.74494334736664
48,3700.0,809.7933633625919,2996235.44444159,228.74494334736664
49,3700.0,751.6885213610693,2781247.5290359566,228.74494334736664
50,3700.0,699.3941635596991,2587758.405170887,228.74494334736664
51,3700.0,652.3292415384659,2413618.1936923238,228.74494334736664
52,3700.0,609.970811719356,2256892.003361617,228.74494334736664
53,3700.0,571.8482248821571,2115838.432063981,228.74494334736664
54,3700.0,537.537896728678,1988890.2178961085,228.74494334736664
55,3700.0,506.6586013905468,1874636.8251450232,228.74494334736664
56,3700.0,478.8672355862288,1771808.7716690465,228.74494334736664
57,3700.0,453.8550063623426,1679263.5235406675,228.74494334736664
58,3700.0,431.344000060845,1595972.8002251266,228.74494334736664
59,3700.0,411.0840943894972,1521011.1492411396,228.74494334736664
60,3700.0,392.8501792852841,1453545.6633555512,228.74494334736664
61,3700.0,376.4396556914924,1392826.726058522,228.74494334736664
62,3700.0,361.6701844570798,1338179.6824911954,228.74494334736664
63,3700.0,348.3776603461085,1288997.3432806013,228.74494334736664
64,3700.0,336.4143886462344,1244733.237991067,228.74494334736664
65,3700.0,325.6474441163476,1204895.543230486,228.74494334736664
66,3700.0,315.95719403944946,1169041.617945963,228.74494334736664
67,3700.0,307.2359689702412,1136773.0851898924,228.74494334736664
68,3700.0,299.38686640795373,1107731.4057094287,228.74494334736664
69,3700.0,292.322674101895,1081593.8941770117,228.74494334736664
70,3700.0,285.9649010264422,1058070.133797836,228.74494334736664
71,3700.0,280.2429052585346,1036898.749456578,228.74494334736664
72,3700.0,275.0931090674178,1017844.5035494459,228.74494334736664
73,3700.0,270.4582924954127,1000695.6822330271,228.74494334736664
74,3700.0,266.2869575806081,985261.74304825,228.74494334736664
75,3700.0,262.5327561572839,971371.1977819506,228.74494334736664
76,3700.0,259.1539748762922,958869.707042281,228.74494334736664
77,3700.0,256.1130717233996,947618.3653765786,228.74494334736664
78,3700.0,253.37625888579632,937492.1578774464,228.74494334736664
79,3700.0,250.91312733195332,928378.5711282273,228.74494334736664
80,3700.0,248.69630893349463,920176.3430539302,228.74494334736664
81,3700.0,246.70117237488185,912794.3377870629,228.74494334736664
82,3700.0,244.90554947213036,906150.5330468824,228.74494334736664
83,3700.0,243.289488859654,900171.1087807198,228.74494334736664
84,3700.0,241.83503430842524,894789.6269411733,228.74494334736664
85,3700.0,240.52602521231935,889946.2932855816,228.74494334736664
86,3700.0,239.3479170258241,885587.2929955492,228.74494334736664
87,3700.0,238.28761965797835,881664.19273452,228.74494334736664
88,3700.0,237.3333520269172,878133.4024995937,228.74494334736664
89,3700.0,236.4745111589621,874955.6912881597,228.74494334736664
90,3700.0,235.70155437780255,872095.7511978694,228.74494334736664
91,3700.0,235.005893274759,869521.8051166083,228.74494334736664
92,3700.0,234.37979828201972,867205.2536434729,228.74494334736664
93,3700.0,233.81631278855443,865120.3573176514,228.74494334736664
94,3700.0,233.30917584443569,863243.950624412,228.74494334736664
95,3700.0,232.8527525947288,861555.1846004965,228.74494334736664
96,3700.0,232.44197166999257,860035.2951789725,228.74494334736664
97,3700.0,232.07226883773,858667.394699601,228.74494334736664
98,3700.0,231.73953628869364,857436.2842681665,228.74494334736664
99,3700.0,231.4400769945609,856328.2848798754,228.74494334736664
100,3518.7049507728702,577.9402438828577,2033601.1974014912,3696.441745877528
101,3336.816657679357,1237.6947936050344,4129960.6044242927,7175.485741104625
102,3295.212412352915,1911.0518520695105,6297321.783589478,7971.265378249795
103,3295.212412352915,2517.073204687539,8294290.866887309,7971.265378249795
104,3295.212412352915,3062.4924220437647,10091563.041855356,7971.265378249795
105,3295.212412352915,3553.3697176643677,11709107.999326598,7971.265378249795
106,3295.212412352915,3995.1592837229105,13164898.461050717,7971.265378249795
107,3295.212412352915,4392.769893175599,14475109.876602422,7971.265378249795
108,3295.212412352915,4750.6194416830185,15654300.150598958,7971.265378249795
109,3295.212412352915,5072.6840353396965,16715571.397195842,7971.265378249795
110,3295.212412352915,5362.542169630707,17670715.519133035,7971.265378249795
111,3295.212412352915,5623.414490492615,18530345.22887651,7971.265378249795
112,3295.212412352915,5858.199579268333,19304011.967645638,7971.265378249795
113,3295.212412352915,6069.506159166479,20000312.03253785,7971.265378249795
114,3284.4643662294075,6280.240262522579,20627225.35361463,8176.84719272748
115,3074.9747713309866,6870.599375874717,21126919.744737178,12183.831396043963
116,2769.085116704588,7987.008922939107,22116707.535497423,18034.694846518614
117,2702.1675253066824,9119.773243097006,24643155.095657535,19314.652124518092
118,2702.1675253066824,10139.261131239115,27397982.159438632,19314.652124518092
119,2702.1675253066824,11056.800230567012,29877326.51684162,19314.652124518092
120,2702.1675253066824,11882.58541996212,32108736.43850431,19314.652124518092
121,2702.1675253066824,12625.792090417717,34117005.36800072,19314.652124518092
122,2702.1675253066824,13294.678093827755,35924447.404547505,19314.652124518092
123,2702.1675253066824,13896.675496896789,37551145.23743961,19314.652124518092
124,2702.1675253066824,14438.473159658919,39015173.2870425,19314.652124518092
125,2702.1675253066824,14926.091056144836,40332798.5316851,19314.652124518092
126,2687.8653873389335,15392.303386062458,41372439.50281715,19588.214355321063
127,2679.948148069652,15827.038076492938,42415641.38252511,19739.65029036725
128,2679.948148069652,16218.299297880369,43464201.168193825,19739.65029036725
129,2662.954414925683,16602.93893287761,44212869.532047935,20064.695647852786
130,2662.954414925683,16949.114604375125,45134719.56480211,20064.695647852786
131,2516.8081756848933,17540.2119728548,44145348.89652701,22860.088289171843
132,2422.0184488421014,18253.507386517358,44210331.64622061,24673.166109480393
133,2422.0184488421014,18895.47325881366,45765184.83244927,24673.166109480393
134,2422.0184488421014,19473.242543880333,47164552.70005506,24673.166109480393
135,2418.553650351238,19999.86214740566,48370739.603129506,24739.438579133588
136,2399.8374247722886,20509.619000690498,49219751.24567788,25097.430680254038
137,2365.684629810743,21033.725470352827,49759161.05287243,25750.683697313798
138,2365.684629810743,21505.421293048923,50875044.61057051,25750.683697313798
139,2365.684629810743,21929.94753347541,51879339.81249879,25750.683697313798
140,2357.496235753132,22327.683391058046,52637429.54750707,25907.30610930179
141,2285.9805723488776,22822.436291404803,52171645.975821346,27275.21239452563
142,2260.3288123270363,23316.778962558987,52703587.29973298,27765.86300294665
143,2260.3288123270363,23761.687366597755,53709226.58422825,27765.86300294665
144,2260.3288123270363,24162.104930232643,54614301.94027398,27765.86300294665
145,2260.3288123270363,24522.480737504044,55428869.76071514,27765.86300294665
146,2260.3288123270363,24846.818964048303,56161980.799112186,27765.86300294665
147,2208.541647944808,25237.77857386126,55738685.08198171,28756.41506217786
148,2193.411004543667,25618.583158458146,56192082.22057915,29045.82441983014
149,2138.8177069918656,26065.72988420135,55749844.62199688,30090.050415890204
150,2043.7277567365686,26650.04396771732,54465434.57507384,31908.870719361024
151,1972.8285312883563,27311.53818794965,53880981.770558566,33264.986170040625
152,1972.8285312883563,27906.882986158747,55055494.97441958,33264.986170040625
153,1972.8285312883563,28442.693304546934,56112556.857894495,33264.986170040625
154,1972.8285312883563,28924.922591096303,57063912.553021915,33264.986170040625
155,1972.8285312883563,29358.928948990735,57920132.678636596,33264.986170040625
156,1972.8285312883563,29749.534671095724,58690730.79168981,33264.986170040625
157,1972.8285312883563,30101.079820990213,59384269.0934377,33264.986170040625
158,1972.8285312883563,30417.470455895254,60008453.56501081,33264.986170040625
159,1972.8285312883563,30702.222027309792,60570219.5894266,33264.986170040625
160,1972.8285312883563,30958.498441582877,61075809.01140081,33264.986170040625
161,1963.6716780895717,31206.6618628948,61279638.067884475,33440.13265470212
162,1906.113411234002,31540.10274705538,60119012.837860644,34541.070704500606
163,1869.1835336126617,31910.83667221479,59647210.45150695,35247.44199864948
164,1869.1835336126617,32244.49720485826,60270883.22494055,35247.44199864948
165,1869.1835336126617,32544.79168423738,60832188.721030794,35247.44199864948
166,1869.1835336126617,32815.05671567859,61337363.667512015,35247.44199864948
167,1869.1835336126617,33058.29524397568,61792021.119345106,35247.44199864948
168,1869.1835336126617,33277.209919443056,62201212.82599489,35247.44199864948
169,1869.1835336126617,33474.233127363696,62569485.36197969,35247.44199864948
170,1869.1835336126617,33651.55401449227,62900930.64436601,35247.44199864948
171,1869.1835336126617,33811.142812907994,63199231.39851371,35247.44199864948
172,1869.1835336126617,33954.772731482146,63467702.07724664,35247.44199864948
173,1869.1835336126617,34084.03965819888,63709325.68810628,35247.44199864948
174,1869.1835336126617,34200.379892243946,63926786.93787996,35247.44199864948
175,1869.1835336126617,34305.086102884496,64122502.06267625,35247.44199864948
176,1869.1835336126617,34399.321692460995,64298645.67499293,35247.44199864948
177,1869.1835336126617,34484.133723079845,64457174.92607794,35247.44199864948
178,1869.1835336126617,34560.46455063681,64599851.252054445,35247.44199864948
179,1869.1835336126617,34629.16229543808,64728259.9454333,35247.44199864948
180,1869.1835336126617,34690.99026575922,64843827.76947426,35247.44199864948
181,1869.1835336126617,34746.635439048245,64947838.81111114,35247.44199864948
182,1869.1835336126617,34796.71609500837,65041448.74858432,35247.44199864948
183,1869.1835336126617,34841.788685372485,65125697.6923102,35247.44199864948
184,1869.1835336126617,34882.354016700185,65201521.74166347,35247.44199864948
185,1869.1835336126617,34918.86281489512,65269763.38608143,35247.44199864948
186,1869.1835336126617,34951.72073327055,65331180.86605758,35247.44199864948
187,1869.1835336126617,34981.29285980845,65386456.598036125,35247.44199864948
188,1869.1835336126617,35007.907773692554,65436204.75681681,35247.44199864948
189,1869.1835336126617,35031.86119618825,65480978.099719435,35247.44199864948
190,1869.1835336126617,35053.419276434375,65521274.10833179,35247.44199864948
191,1869.1835336126617,35072.821548655884,65557540.51608291,35247.44199864948
192,1869.1835336126617,35090.283593655244,65590180.28305892,35247.44199864948
193,1869.1835336126617,35105.99943415467,65619556.073337324,35247.44199864948
194,1869.1835336126617,35120.14369060415,65645994.28458789,35247.44199864948
195,1869.1835336126617,35132.873521408685,65669788.6747134,35247.44199864948
196,1869.1835336126617,35144.33036913277,65691203.625826366,35247.44199864948
197,1869.1835336126617,35154.64153208444,65710477.08182803,35247.44199864948
198,1869.1835336126617,35163.92157874094,65727823.19222952,35247.44199864948
199,1869.1835336126617,35172.273620731794,65743434.69159086,35247.44199864948
200,1869.1835336126617,35179.79045852357,65757485.04101608,35247.44199864948
