step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,3993.930101447797
1,3700.0,82794.39301014478,306339254.1375357,3993.930101447797
2,3700.0,74914.34671927508,277183082.8613178,3993.930101447797
3,3700.0,67822.30505749235,250942528.7127217,3993.930101447797
4,3700.0,61439.4675618879,227326029.97898522,3993.930101447797
5,3700.0,55694.91381584389,206071181.1186224,3993.930101447797
6,3700.0,50524.815444404274,186941817.1442958,3993.930101447797
7,3700.0,45871.72691010863,169725389.56740192,3993.930101447797
8,3700.0,41683.94722924254,154230604.7481974,3993.930101447797
9,3700.0,37914.94551646306,140285298.41091335,3993.930101447797
10,3700.0,34522.843974961535,127734522.70735767,3993.930101447797
11,3700.0,31469.95258761016,116438824.5741576,3993.930101447797
12,3700.0,28722.350338993925,106272696.25427753,3993.930101447797
13,3700.0,26249.508315239316,97123180.76638547,3993.930101447797
14,3700.0,24023.95049386016,88888616.8272826,3993.930101447797
15,3700.0,22020.948454618923,81477509.28209002,3993.930101447797
16,3700.0,20218.24661930181,74807512.49141671,3993.930101447797
17,3700.0,18595.81496751641,68804515.37981072,3993.930101447797
18,3700.0,17135.62648090955,63401817.97936533,3993.930101447797
19,3700.0,15821.456842963373,58539390.31896448,3993.930101447797
20,3700.0,14638.704168811815,54163205.424603716,3993.930101447797
21,3700.0,13574.226762075414,50224639.01967903,3993.930101447797
22,3700.0,12616.197096012653,46679929.25524682,3993.930101447797
23,3700.0,11753.970396556168,43489690.46725782,3993.930101447797
24,3700.0,10977.96636704533,40618475.558067724,3993.930101447797
25,3700.0,10279.562740485577,38034382.13979664,3993.930101447797
26,3700.0,9650.9994765818,35708698.06335266,3993.930101447797
27,3700.0,9085.2925390684,33615582.39455308,3993.930101447797
28,3700.0,8576.156295306339,31731778.29263345,3993.930101447797
29,3700.0,8117.933675920484,30036354.60090579,3993.930101447797
30,3700.0,7705.533318473215,28510473.278350897,3993.930101447797
31,3700.0,7334.372996770673,27137180.08805149,3993.930101447797
32,3700.0,7000.3287072383855,25901216.216782026,3993.930101447797
33,3700.0,6699.688846659326,24788848.732639506,3993.930101447797
34,3700.0,6429.112972138173,23787717.99691124,3993.930101447797
35,3700.0,6185.594685069135,22886700.3347558,3993.930101447797
36,3700.0,5966.428226707001,22075784.438815903,3993.930101447797
37,3700.0,5769.17841418108,21345960.132469997,3993.930101447797
38,3700.0,5591.653582907752,20689118.256758682,3993.930101447797
39,3700.0,5431.881234761757,20097960.5686185,3993.930101447797
40,3700.0,5288.08612143036,19565918.649292335,3993.930101447797
41,3700.0,5158.670519432104,19087080.921898786,3993.930101447797
42,3700.0,5042.196477633674,18656126.96724459,3993.930101447797
43,3700.0,4937.369840015086,18268268.40805582,3993.930101447797
44,3700.0,4843.0258661583575,17919195.704785924,3993.930101447797
45,3700.0,4758.116289687301,17605030.271843012,3993.930101447797
46,3700.0,4681.697670863351,17322281.3821944,3993.930101447797
47,3700.0,4612.920913921796,17067807.381510645,3993.930101447797
48,3700.0,4551.021832674396,16838780.780895267,3993.930101447797
49,3700.0,4495.312659551736,16632656.840341423,3993.930101447797
50,3700.0,4445.174403741342,16447145.293842966,3993.930101447797
51,3700.0,4400.049973511987,16280184.901994353,3993.930101447797
52,3700.0,4359.437986305568,16129920.549330603,3993.930101447797
53,3700.0,4322.887197819791,15994682.631933227,3993.930101447797
54,3700.0,4289.991488182592,15872968.506275589,3993.930101447797
55,3700.0,4260.3853495091125,15763425.793183716,3993.930101447797
56,3700.0,4233.739824702981,15664837.351401031,3993.930101447797
57,3700.0,4209.758852377463,15576107.753796613,3993.930101447797
58,3700.0,4188.175977284496,15496251.115952635,3993.930101447797
59,3700.0,4168.751389700827,15424380.141893059,3993.930101447797
60,3700.0,4151.269260875523,15359696.265239436,3993.930101447797
61,3700.0,4135.53534493275,15301480.776251176,3993.930101447797
62,3700.0,4121.374820584255,15249086.836161744,3993.930101447797
63,3700.0,4108.630348670609,15201932.290081253,3993.930101447797
64,3700.0,4097.160323948328,15159493.198608816,3993.930101447797
65,3700.0,4086.837301698275,15121298.016283618,3993.930101447797
66,3700.0,4077.546581673227,15086922.35219094,3993.930101447797
67,3700.0,4069.184933650684,15055984.25450753,3993.930101447797
68,3700.0,4061.6594504303953,15028139.966592463,3993.930101447797
69,3700.0,4054.886515532136,15003080.107468903,3993.930101447797
70,3700.0,4048.7908741237015,14980526.234257696,3993.930101447797
71,3700.0,4043.304796856111,14960227.74836761,3993.930101447797
72,3700.0,4038.36732731528,14941959.111066535,3993.930101447797
73,3700.0,4033.9236047285312,14925517.337495565,3993.930101447797
74,3700.0,4029.924254400458,14910719.741281694,3993.930101447797
75,3700.0,4026.324839105192,14897401.904689211,3993.930101447797
76,3700.0,4023.085365339452,14885415.851755973,3993.930101447797
77,3700.0,4020.1698389502862,14874628.404116059,3993.930101447797
78,3700.0,4017.5458652000375,14864919.70124014,3993.930101447797
79,3700.0,4015.184288824813,14856181.868651807,3993.930101447797
80,3700.0,4013.058870087112,14848317.819322314,3993.930101447797
81,3700.0,4011.14599322318,14841240.174925767,3993.930101447797
82,3700.0,4009.424404045642,14834870.294968875,3993.930101447797
83,3700.0,4007.8749737858575,14829137.403007673,3993.930101447797
84,3700.0,4006.4804865520514,14823977.80024259,3993.930101447797
85,3700.0,4005.225448041626,14819334.157754015,3993.930101447797
86,3700.0,4004.095913382243,14815154.8795143,3993.930101447797
87,3700.0,4003.079332188799,14811393.529098557,3993.930101447797
88,3700.0,4002.164409114698,14808008.313724384,3993.930101447797
89,3700.0,4001.340978348008,14804961.61988763,3993.930101447797
90,3700.0,4000.599890657987,14802219.595434552,3993.930101447797
91,3700.0,3999.932911736968,14799751.773426782,3993.930101447797
92,3700.0,3999.332630708051,14797530.733619789,3993.930101447797
