step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1102.8522990125784
1,3700.0,82505.28522990126,305269555.35063463,1102.8522990125784
2,3700.0,74365.0419368124,275150655.1662059,1102.8522990125784
3,3700.0,67038.82297303242,248043645.00021997,1102.8522990125784
4,3700.0,60445.22590563044,223647335.8508326,1102.8522990125784
5,3700.0,54510.988544968655,201690657.61638403,1102.8522990125784
6,3700.0,49170.17492037304,181929647.20538026,1102.8522990125784
7,3700.0,44363.442658237,164144737.8354769,1102.8522990125784
8,3700.0,40037.38362231456,148138319.40256387,1102.8522990125784
9,3700.0,36143.93048998436,133732542.81294215,1102.8522990125784
10,3700.0,32639.822670887177,120767343.88228256,1102.8522990125784
11,3700.0,29486.12563369972,109098664.84468897,1102.8522990125784
12,3700.0,26647.798300231003,98596853.71085471,1102.8522990125784
13,3700.0,24093.30370010916,89145223.6904039,1102.8522990125784
14,3700.0,21794.258559999504,80638756.67199816,1102.8522990125784
15,3700.0,19725.11793390081,72982936.35543299,1102.8522990125784
16,3700.0,17862.891370411988,66092698.07052436,1102.8522990125784
17,3700.0,16186.887463272047,59891483.61410657,1102.8522990125784
18,3700.0,14678.4839468461,54310390.60333057,1102.8522990125784
19,3700.0,13320.920782062747,49287406.893632166,1102.8522990125784
20,3700.0,12099.11393375773,44766721.5549036,1102.8522990125784
21,3700.0,10999.487770283216,40698104.7500479,1102.8522990125784
22,3700.0,10009.82422315615,37036349.62567776,1102.8522990125784
23,3700.0,9119.127030741794,33740770.01374464,1102.8522990125784
24,3700.0,8317.499557568874,30774748.363004833,1102.8522990125784
25,3700.0,7596.034831713244,28105328.877339,1102.8522990125784
26,3700.0,6946.716578443177,25702851.340239756,1102.8522990125784
27,3700.0,6362.330150500117,23540621.556850433,1102.8522990125784
28,3700.0,5836.382365351364,21594614.751800045,1102.8522990125784
29,3700.0,5363.029358717486,19843208.6272547,1102.8522990125784
30,3700.0,4937.0116527469945,18266943.11516388,1102.8522990125784
31,3700.0,4553.595717373553,16848304.15428215,1102.8522990125784
32,3700.0,4208.521375537456,15571529.089488588,1102.8522990125784
33,3700.0,3897.954467884968,14422431.531174382,1102.8522990125784
34,3700.0,3618.444250997729,13388243.728691597,1102.8522990125784
35,3700.0,3366.885055799214,12457474.706457091,1102.8522990125784
36,3700.0,3140.4817801205504,11619782.586446036,1102.8522990125784
37,3700.0,2936.718832009753,10865859.678436086,1102.8522990125784
38,3700.0,2753.332178710036,10187329.061227132,1102.8522990125784
39,3700.0,2588.28419074029,9576651.505739072,1102.8522990125784
40,3700.0,2439.7410015675187,9027041.70579982,1102.8522990125784
41,3700.0,2306.052131312025,8532392.885854492,1102.8522990125784
42,3700.0,2185.73214808208,8087208.947903696,1102.8522990125784
43,3700.0,2077.44416317513,7686543.403747981,1102.8522990125784
44,3700.0,1979.984976758875,7325944.414007838,1102.8522990125784
45,3700.0,1892.2717089842452,7001405.323241707,1102.8522990125784
46,3700.0,1813.3297679870784,6709320.14155219,1102.8522990125784
47,3700.0,1742.2820210896286,6446443.478031626,1102.8522990125784
48,3700.0,1678.3390488819236,6209854.480863118,1102.8522990125784
49,3700.0,1620.7903738949892,5996924.383411461,1102.8522990125784
50,3700.0,1568.996566406748,5805287.295704967,1102.8522990125784
51,3700.0,1522.382139667331,5632813.9167691255,1102.8522990125784
52,3700.0,1480.429155601856,5477587.8757268675,1102.8522990125784
53,3700.0,1442.671469942928,5337884.438788834,1102.8522990125784
54,3700.0,1408.689552849893,5212151.345544605,1102.8522990125784
55,3700.0,1378.1058274661616,5098991.561624798,1102.8522990125784
56,3700.0,1350.5804746208032,4997147.756096972,1102.8522990125784
57,3700.0,1325.8076570599808,4905488.331121929,1102.8522990125784
58,3700.0,1303.5121212552406,4822994.84864439,1102.8522990125784
59,3700.0,1283.4461390309743,4748750.714414605,1102.8522990125784
60,3700.0,1265.3867550291347,4681930.993607799,1102.8522990125784
61,3700.0,1249.1333094274792,4621793.244881673,1102.8522990125784
62,3700.0,1234.5052083859891,4567669.27102816,1102.8522990125784
63,3700.0,1221.339917448648,4518957.694559998,1102.8522990125784
64,3700.0,1209.491155605041,4475117.275738652,1102.8522990125784
65,3700.0,1198.8272699457948,4435660.898799441,1102.8522990125784
66,3700.0,1189.2297728524732,4400150.159554151,1102.8522990125784
67,3700.0,1180.5920254684836,4368190.494233389,1102.8522990125784
68,3700.0,1172.8180528228932,4339426.795444705,1102.8522990125784
69,3700.0,1165.8214774418616,4313539.466534887,1102.8522990125784
70,3700.0,1159.5245595989334,4290240.870516053,1102.8522990125784
71,3700.0,1153.857333540298,4269272.134099103,1102.8522990125784
72,3700.0,1148.756830087526,4250400.271323846,1102.8522990125784
73,3700.0,1144.1663769800311,4233415.594826115,1102.8522990125784
74,3700.0,1140.034969183286,4218129.385978158,1102.8522990125784
75,3700.0,1136.3167021662152,4204371.798014997,1102.8522990125784
76,3700.0,1132.9702618508516,4191989.9688481507,1102.8522990125784
77,3700.0,1129.9584655670242,4180846.3225979893,1102.8522990125784
78,3700.0,1127.2478489115797,4170817.0409728447,1102.8522990125784
79,3700.0,1124.8082939216797,4161790.6875102147,1102.8522990125784
80,3700.0,1122.6126944307694,4153666.9693938466,1102.8522990125784
81,3700.0,1120.6366548889505,4146355.623089117,1102.8522990125784
82,3700.0,1118.858219301313,4139775.4114148584,1102.8522990125784
83,3700.0,1117.2576272724395,4133853.220908026,1102.8522990125784
84,3700.0,1115.8170944464534,4128523.2494518775,1102.8522990125784
85,3700.0,1114.520614903066,4123726.275141344,1102.8522990125784
86,3700.0,1113.3537833140172,4119408.9982618634,1102.8522990125784
87,3700.0,1112.3036348838732,4115523.4490703307,1102.8522990125784
88,3700.0,1111.3585012967435,4112026.454797951,1102.8522990125784
89,3700.0,1110.5078810683272,4108879.1599528105,1102.8522990125784
90,3700.0,1109.7423228627522,4106046.594592183,1102.8522990125784
91,3700.0,1109.0533204777348,4103497.285767619,1102.8522990125784
92,3700.0,1108.4332183312192,4101202.907825511,1102.8522990125784
93,3700.0,1107.8751263993552,4099137.967677614,1102.8522990125784
94,3700.0,1107.3728436606775,4097279.521544507,1102.8522990125784
95,3700.0,1106.9207891958677,4095606.9200247102,1102.8522990125784
96,3700.0,1106.5139401775386,4094101.5786568928,1102.8522990125784
97,3700.0,1106.1477760610426,4092746.7714258577,1102.8522990125784
98,3700.0,1105.8182283561962,4091527.444917926,1102.8522990125784
99,3700.0,1105.5216354218344,4090430.0510607874,1102.8522990125784
100,3507.3312843917743,1655.126777982026,5805077.9280509185,6601.5730610237515
101,3292.9018011209505,2761.7482121347275,9094165.661981009,12721.341119509045
102,3292.9018011209505,3757.7075028721592,12373761.804293443,12721.341119509045
103,3292.9018011209505,4654.070864535848,15325398.332374634,12721.341119509045
104,3292.9018011209505,5460.797890033168,17981871.207647707,12721.341119509045
105,3292.9018011209505,6186.852212980756,20372696.79539347,12721.341119509045
106,3292.9018011209505,6840.301103633585,22524439.824364655,12721.341119509045
107,3292.9018011209505,7428.405105221131,24461008.550438724,12721.341119509045
108,3292.9018011209505,7957.698706649922,26203920.403905388,12721.341119509045
109,3292.9018011209505,8434.062947935834,27772541.07202538,12721.341119509045
110,3292.9018011209505,8862.790765093156,29184299.67333338,12721.341119509045
111,3292.9018011209505,9248.645800534745,30454882.414510578,12721.341119509045
112,3292.9018011209505,9595.915332432174,31598406.881570052,12721.341119509045
113,3292.9018011209505,9908.457911139862,32627578.901923582,12721.341119509045
114,3292.9018011209505,10189.74623197678,33553833.72024176,12721.341119509045
115,3100.3762324453014,10992.369258882956,34080480.38850309,18215.976501038545
116,2815.283891738515,12528.376956342698,35270937.83481961,26352.44623348037
117,2721.404329048436,14178.713993448044,38586013.64210914,29031.74732739615
118,2721.404329048436,15664.017326842855,42628124.56355986,29031.74732739615
119,2721.404329048436,17000.790326898186,46266024.3928655,29031.74732739615
120,2721.404329048436,18203.886026947985,49540134.23924058,29031.74732739615
121,2721.404329048436,19286.6721569928,52486833.10097814,29031.74732739615
122,2721.404329048436,20261.179674033137,55138862.07654196,29031.74732739615
123,2721.404329048436,21138.236439369437,57525688.15454938,29031.74732739615
124,2721.404329048436,21927.58752817211,59673831.624756075,29031.74732739615
125,2721.404329048436,22638.003508094513,61607160.74794209,29031.74732739615
