step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,88088.82898283913
1,3700.0,91203.88289828392,337454366.7236505,88088.82898283913
2,3700.0,90892.37750673945,336301796.77493596,88088.82898283913
3,3700.0,90612.02265434942,335264483.82109284,88088.82898283913
4,3700.0,90359.7032871984,334330902.1626341,88088.82898283913
5,3700.0,90132.61585676248,333490678.6700212,88088.82898283913
6,3700.0,89928.23716937013,332734477.5266695,88088.82898283913
7,3700.0,89744.29635071702,332053896.49765295,88088.82898283913
8,3700.0,89578.74961392923,331441373.57153815,88088.82898283913
9,3700.0,89429.75755082023,330890102.93803483,88088.82898283913
10,3700.0,89295.66469402213,330393959.36788183,88088.82898283913
11,3700.0,89174.98112290383,329947430.15474415,88088.82898283913
12,3700.0,89066.36590889737,329545553.8629202,88088.82898283913
13,3700.0,88968.61221629154,329183865.2002787,88088.82898283913
14,3700.0,88880.6338929463,328858345.4039013,88088.82898283913
15,3700.0,88801.45340193558,328565377.58716166,88088.82898283913
16,3700.0,88730.19096002594,328301706.55209595,88088.82898283913
17,3700.0,88666.05476230726,328064402.62053686,88088.82898283913
18,3700.0,88608.33218436045,327850829.08213365,88088.82898283913
19,3700.0,88556.38186420832,327658612.8975708,88088.82898283913
20,3700.0,88509.6265760714,327485618.3314642,88088.82898283913
21,3700.0,88467.54681674817,327329923.22196823,88088.82898283913
22,3700.0,88429.67503335727,327189797.6234219,88088.82898283913
23,3700.0,88395.59042830546,327063684.5847302,88088.82898283913
24,3700.0,88364.91428375882,326950182.84990764,88088.82898283913
25,3700.0,88337.30575366685,326848031.28856736,88088.82898283913
26,3700.0,88312.45807658408,326756094.8833611,88088.82898283913
27,3700.0,88290.09516720958,326673352.1186755,88088.82898283913
28,3700.0,88269.96854877254,326598883.6304584,88088.82898283913
29,3700.0,88251.8545921792,326531861.991063,88088.82898283913
30,3700.0,88235.55203124518,326471542.5156072,88088.82898283913
31,3700.0,88220.87972640459,326417254.98769695,88088.82898283913
32,3700.0,88207.67465204804,326368396.21257776,88088.82898283913
33,3700.0,88195.79008512714,326324423.31497043,88088.82898283913
34,3700.0,88185.09397489834,326284847.7071238,88088.82898283913
35,3700.0,88175.46747569242,326249229.66006196,88088.82898283913
