step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,64514.87736701849
1,3700.0,88846.48773670185,328732004.62579685,64514.87736701849
2,3700.0,86413.32669973352,319729308.789014,64514.87736701849
3,3700.0,84223.481766462,311626882.5359094,64514.87736701849
4,3700.0,82252.62132651765,304334698.9081153,64514.87736701849
5,3700.0,80478.84693056773,297771733.6431006,64514.87736701849
6,3700.0,78882.44997421281,291865064.9045874,64514.87736701849
7,3700.0,77445.69271349338,286549063.0399255,64514.87736701849
8,3700.0,76152.6111788459,281764661.3617298,64514.87736701849
9,3700.0,74988.83779766316,277458699.8513537,64514.87736701849
10,3700.0,73941.4417545987,273583334.4920152,64514.87736701849
11,3700.0,72998.78531584068,270095505.6686105,64514.87736701849
12,3700.0,72150.39452095846,266956459.7275463,64514.87736701849
13,3700.0,71386.84280556446,264131318.3805885,64514.87736701849
14,3700.0,70699.64626170986,261588691.16832647,64514.87736701849
15,3700.0,70081.16937224072,259300326.67729068,64514.87736701849
16,3700.0,69524.5401717185,257240798.63535845,64514.87736701849
17,3700.0,69023.5738912485,255387223.39761943,64514.87736701849
18,3700.0,68572.70423882549,253719005.6836543,64514.87736701849
19,3700.0,68166.92155164479,252217609.7410857,64514.87736701849
20,3700.0,67801.71713318216,250866353.392774,64514.87736701849
21,3700.0,67473.0331565658,249650222.67929345,64514.87736701849
22,3700.0,67177.21757761107,248555705.03716096,64514.87736701849
23,3700.0,66910.98355655182,247570639.1592417,64514.87736701849
24,3700.0,66671.37293759848,246684079.8691144,64514.87736701849
25,3700.0,66455.72338054048,245886176.50799978,64514.87736701849
26,3700.0,66261.63877918829,245168063.48299667,64514.87736701849
27,3700.0,66086.9626379713,244521761.76049381,64514.87736701849
28,3700.0,65929.75411087602,243940090.21024126,64514.87736701849
29,3700.0,65788.26643649026,243416585.81501395,64514.87736701849
30,3700.0,65660.92752954309,242945431.8593094,64514.87736701849
31,3700.0,65546.32251329062,242521393.2991753,64514.87736701849
32,3700.0,65443.17799866341,242139758.5950546,64514.87736701849
33,3700.0,65350.34793549892,241796287.361346,64514.87736701849
34,3700.0,65266.80087865087,241487163.25100824,64514.87736701849
35,3700.0,65191.60852748763,241208951.55170423,64514.87736701849
36,3700.0,65123.93541144072,240958561.02233064,64514.87736701849
37,3700.0,65063.0296069985,240733209.54589444,64514.87736701849
38,3700.0,65008.21438300049,240530393.2171018,64514.87736701849
39,3700.0,64958.88068140229,240347858.52118847,64514.87736701849
40,3700.0,64914.48034996391,240183577.29486647,64514.87736701849
41,3700.0,64874.520051669366,240035724.19117665,64514.87736701849
42,3700.0,64838.55578320428,239902656.39785585,64514.87736701849
43,3700.0,64806.1879415857,239782895.38386708,64514.87736701849
44,3700.0,64777.05688412898,239675110.4712772,64514.87736701849
45,3700.0,64750.83893241793,239578104.04994634,64514.87736701849
46,3700.0,64727.24277587799,239490798.27074856,64514.87736701849
47,3700.0,64706.00623499204,239412223.06947055,64514.87736701849
48,3700.0,64686.89334819469,239341505.38832036,64514.87736701849
49,3700.0,64669.691750077065,239277859.47528514,64514.87736701849
50,3700.0,64654.21031177121,239220578.1535535,64514.87736701849
51,3700.0,64640.277017295935,239169024.96399495,64514.87736701849
52,3700.0,64627.73705226819,239122627.0933923,64514.87736701849
53,3700.0,64616.45108374322,239080869.0098499,64514.87736701849
54,3700.0,64606.29371207074,239043286.73466176,64514.87736701849
55,3700.0,64597.15207756552,239009462.68699244,64514.87736701849
56,3700.0,64588.92460651082,238979021.04409003,64514.87736701849
57,3700.0,64581.51988256158,238951623.56547785,64514.87736701849
58,3700.0,64574.85563100728,238926965.83472693,64514.87736701849
59,3700.0,64568.85780460839,238904773.87705106,64514.87736701849
60,3700.0,64563.4597608494,238884801.1151428,64514.87736701849
61,3700.0,64558.60152146631,238866825.62942535,64514.87736701849
62,3700.0,64554.22910602152,238850647.69227964,64514.87736701849
63,3700.0,64550.29393212122,238836087.5488485,64514.87736701849
64,3700.0,64546.75227561095,238822983.4197605,64514.87736701849
65,3700.0,64543.5647847517,238811189.7035813,64514.87736701849
66,3700.0,64540.69604297838,238800575.35902,64514.87736701849
67,3700.0,64538.11417538239,238791022.44891486,64514.87736701849
68,3700.0,64535.790494546,238782424.82982022,64514.87736701849
69,3700.0,64533.69918179325,238774686.97263503,64514.87736701849
70,3700.0,64531.81700031577,238767722.90116835,64514.87736701849
71,3700.0,64530.12303698604,238761455.23684835,64514.87736701849
72,3700.0,64528.59846998929,238755814.33896035,64514.87736701849
73,3700.0,64527.226359692206,238750737.53086117,64514.87736701849
74,3700.0,64525.99146042483,238746168.40357187,64514.87736701849
75,3700.0,64524.8800510842,238742056.18901154,64514.87736701849
76,3700.0,64523.87978267763,238738355.19590724,64514.87736701849
77,3700.0,64522.97954111172,238735024.30211338,64514.87736701849
78,3700.0,64522.1693237024,238732026.49769887,64514.87736701849
79,3700.0,64521.440128034,238729328.4737258,64514.87736701849
80,3700.0,64520.78385193245,238726900.25215006,64514.87736701849
81,3700.0,64520.19320344106,238724714.8527319,64514.87736701849
82,3700.0,64519.6616197988,238722747.99325556,64514.87736701849
83,3700.0,64519.18319452077,238720977.81972682,64514.87736701849
84,3700.0,64518.75261177054,238719384.663551,64514.87736701849
85,3700.0,64518.36508729534,238717950.82299274,64514.87736701849
86,3700.0,64518.01631526765,238716660.3664903,64514.87736701849
87,3700.0,64517.702420442736,238715498.9556381,64514.87736701849
88,3700.0,64517.41991510031,238714453.68587115,64514.87736701849
89,3700.0,64517.16566029213,238713512.94308087,64514.87736701849
90,3700.0,64516.93683096476,238712666.27456963,64514.87736701849
91,3700.0,64516.73088457013,238711904.27290946,64514.87736701849
92,3700.0,64516.54553281497,238711218.4714154,64514.87736701849
93,3700.0,64516.37871623532,238710601.2500707,64514.87736701849
94,3700.0,64516.22858131363,238710045.75086045,64514.87736701849
95,3700.0,64516.09345988412,238709545.80157125,64514.87736701849
96,3700.0,64515.971850597554,238709095.84721094,64514.87736701849
97,3700.0,64515.86240223965,238708690.88828668,64514.87736701849
98,3700.0,64515.76389871753,238708326.42525485,64514.87736701849
99,3700.0,64515.67524554762,238707998.4085262,64514.87736701849
100,3700.0,64515.59545769471,238707703.19347042,64514.87736701849
101,3700.0,64515.52364862709,238707437.49992022,64514.87736701849
102,3700.0,64515.45902046623,238707198.37572506,64514.87736701849
103,3478.706287867805,67867.0144770433,236089410.00010586,98031.01358623686
104,3478.706287867805,70883.41438796265,246582579.3369449,98031.01358623686
105,3478.706287867805,73598.17430779008,256026431.74010006,98031.01358623686
106,3467.1970887941798,76215.77131493964,264255100.4233617,99774.14437928575
107,3467.1970887941798,78571.60862137425,272423252.6739045,99774.14437928575
108,3467.1970887941798,80691.8621971654,279774589.69939303,99774.14437928575
109,3467.1970887941798,82600.09041537745,286390793.0223327,99774.14437928575
110,3465.422675160206,84344.37027127844,292288893.2601967,100042.88897438743
111,3458.048554863001,86025.90720394229,297481764.08737123,101159.73959791695
112,3458.048554863001,87539.29044333976,302715116.8113236,101159.73959791695
113,3458.048554863001,88901.33535879749,307425134.2628806,101159.73959791695
114,3410.874661767347,90841.65004939817,309849482.3866287,108304.4822648043
115,3410.874661767347,92587.93327093878,315805835.579251,108304.4822648043
116,3410.874661767347,94159.58817032534,321166553.45261115,108304.4822648043
117,3410.874661767347,95574.07757977323,325991199.5386352,108304.4822648043
118,3199.235450189334,100052.50900865722,320091533.70088387,140358.39186861302
119,3100.1287707098277,105584.12185502768,327324373.8929036,155368.6374723619
120,3032.9255514552437,111580.40272117492,338415054.45471764,165546.93051650008
121,3032.9255514552437,116977.05550070744,354782700.5620938,165546.93051650008
122,3032.9255514552437,121834.04300228671,369513582.0587323,165546.93051650008
123,3032.9255514552437,126205.33175370804,382771375.40570694,165546.93051650008
124,3032.9255514552437,130139.49162998724,394703389.4179841,165546.93051650008
125,2987.990447277288,134360.8021095923,401468793.19197583,172352.59642603778
126,2926.5715724213364,139090.20380388908,407057436.4547518,181654.81905255996
127,2897.2892613471117,143790.161855305,416601691.83073825,186089.78431804822
