step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,5645.072263780952
1,3700.0,82959.50722637809,306950176.73759896,5645.072263780952
2,3700.0,75228.06373011837,278343835.801438,5645.072263780952
3,3700.0,68269.76458348463,252598128.95889315,5645.072263780952
4,3700.0,62007.295351514265,229426992.8006028,5645.072263780952
5,3700.0,56371.073042740936,208572970.25814146,5645.072263780952
6,3700.0,51298.472964844936,189804349.96992627,5645.072263780952
7,3700.0,46733.13289473853,172912591.71053255,5645.072263780952
8,3700.0,42624.32683164278,157710009.27707827,5645.072263780952
9,3700.0,38926.40137485659,144027685.0869694,5645.072263780952
10,3700.0,35598.26846374903,131713593.31587142,5645.072263780952
11,3700.0,32602.948843752223,120630910.72188322,5645.072263780952
12,3700.0,29907.161185755096,110656496.38729386,5645.072263780952
13,3700.0,27480.95229355768,101679523.48616341,5645.072263780952
14,3700.0,25297.364290580008,93600247.87514603,5645.072263780952
15,3700.0,23332.135087900104,86328899.82523039,5645.072263780952
16,3700.0,21563.428805488187,79784686.58030629,5645.072263780952
17,3700.0,19971.593151317466,73894894.65987462,5645.072263780952
18,3700.0,18538.941062563816,68594081.93148611,5645.072263780952
19,3700.0,17249.55418268553,63823350.47593646,5645.072263780952
20,3700.0,16089.105990795071,59529692.16594176,5645.072263780952
21,3700.0,15044.70261809366,55665399.68694654,5645.072263780952
22,3700.0,14104.739582662389,52187536.45585084,5645.072263780952
23,3700.0,13258.772850774243,49057459.5478647,5645.072263780952
24,3700.0,12497.402792074916,46240390.33067719,5645.072263780952
25,3700.0,11812.16973924552,43705028.03520843,5645.072263780952
26,3700.0,11195.459991699065,41423201.96928654,5645.072263780952
27,3700.0,10640.421218907251,39369558.50995683,5645.072263780952
28,3700.0,10140.88632339462,37521279.396560095,5645.072263780952
29,3700.0,9691.304917433254,35857828.19450304,5645.072263780952
30,3700.0,9286.681652068024,34360722.11265169,5645.072263780952
31,3700.0,8922.520713239317,33013326.638985474,5645.072263780952
32,3700.0,8594.77586829348,31800670.712685876,5645.072263780952
33,3700.0,8299.805507842228,30709280.379016243,5645.072263780952
34,3700.0,8034.3321834361,29727029.07871357,5645.072263780952
35,3700.0,7795.406191470585,28843002.908441167,5645.072263780952
36,3700.0,7580.372798701622,28047379.355196,5645.072263780952
37,3700.0,7386.842745209555,27331318.157275353,5645.072263780952
38,3700.0,7212.6656970666945,26686863.07914677,5645.072263780952
39,3700.0,7055.906353738121,26106853.508831047,5645.072263780952
40,3700.0,6914.822944742404,25584844.895546895,5645.072263780952
41,3700.0,6787.847876646259,25115037.143591158,5645.072263780952
42,3700.0,6673.570315359728,24692210.166830994,5645.072263780952
43,3700.0,6570.720510201851,24311665.88774685,5645.072263780952
44,3700.0,6478.155685559761,23969176.036571115,5645.072263780952
45,3700.0,6394.84734338188,23660935.170512956,5645.072263780952
46,3700.0,6319.869835421787,23383518.39106061,5645.072263780952
47,3700.0,6252.390078257703,23133843.2895535,5645.072263780952
48,3700.0,6191.658296810028,22909135.698197104,5645.072263780952
49,3700.0,6136.99969350712,22706898.865976345,5645.072263780952
50,3700.0,6087.806950534504,22524885.716977663,5645.072263780952
51,3700.0,6043.533481859149,22361073.88287885,5645.072263780952
52,3700.0,6003.687360051329,22213643.232189916,5645.072263780952
53,3700.0,5967.825850424291,22080955.646569878,5645.072263780952
54,3700.0,5935.550491759957,21961536.819511842,5645.072263780952
55,3700.0,5906.502668962057,21854059.87515961,5645.072263780952
56,3700.0,5880.359628443946,21757330.625242602,5645.072263780952
57,3700.0,5856.830891977647,21670274.300317295,5645.072263780952
58,3700.0,5835.655029157978,21591923.60788452,5645.072263780952
59,3700.0,5816.596752620275,21521407.984695017,5645.072263780952
60,3700.0,5799.444303736343,21457943.923824467,5645.072263780952
61,3700.0,5784.007099740804,21400826.269040976,5645.072263780952
62,3700.0,5770.1136161448185,21349420.379735827,5645.072263780952
63,3700.0,5757.609480908432,21303155.079361197,5645.072263780952
64,3700.0,5746.355759195683,21261516.30902403,5645.072263780952
65,3700.0,5736.2274096542105,21224041.41572058,5645.072263780952
66,3700.0,5727.111895066884,21190314.011747472,5645.072263780952
67,3700.0,5718.907931938291,21159959.348171677,5645.072263780952
68,3700.0,5711.524365122557,21132640.15095346,5645.072263780952
69,3700.0,5704.879154988397,21108052.87345707,5645.072263780952
70,3700.0,5698.898465867653,21085924.323710315,5645.072263780952
71,3700.0,5693.515845658983,21066008.62893824,5645.072263780952
72,3700.0,5688.67148747118,21048084.503643364,5645.072263780952
73,3700.0,5684.311565102157,21031952.790877983,5645.072263780952
74,3700.0,5680.387634970037,21017434.249389134,5645.072263780952
75,3700.0,5676.856097851129,21004367.562049177,5645.072263780952
76,3700.0,5673.677714444111,20992607.54344321,5645.072263780952
77,3700.0,5670.817169377795,20982023.52669784,5645.072263780952
78,3700.0,5668.242678818111,20972497.91162701,5645.072263780952
79,3700.0,5665.925637314395,20963924.858063262,5645.072263780952
80,3700.0,5663.840299961051,20956209.109855887,5645.072263780952
81,3700.0,5661.963496343041,20949264.93646925,5645.072263780952
82,3700.0,5660.274373086832,20943015.18042128,5645.072263780952
83,3700.0,5658.754162156243,20937390.3999781,5645.072263780952
84,3700.0,5657.385972318714,20932328.097579245,5645.072263780952
85,3700.0,5656.154601464938,20927772.02542027,5645.072263780952
86,3700.0,5655.04636769654,20923671.560477197,5645.072263780952
87,3700.0,5654.048957304982,20919981.142028432,5645.072263780952
88,3700.0,5653.151287952579,20916659.765424542,5645.072263780952
89,3700.0,5652.343385535416,20913670.52648104,5645.072263780952
90,3700.0,5651.6162733599695,20910980.211431887,5645.072263780952
91,3700.0,5650.961872402068,20908558.927887652,5645.072263780952
92,3700.0,5650.372911539956,20906379.772697836,5645.072263780952
93,3700.0,5649.842846764055,20904418.533027004,5645.072263780952
94,3700.0,5649.365788465745,20902653.417323258,5645.072263780952
95,3700.0,5648.936435997266,20901064.813189883,5645.072263780952
96,3700.0,5648.550018775634,20899635.069469847,5645.072263780952
97,3700.0,5648.202243276166,20898348.300121814,5645.072263780952
98,3700.0,5647.889245326644,20897190.207708586,5645.072263780952
99,3700.0,5647.607547172075,20896147.92453668,5645.072263780952
100,3433.3383068448475,7043.039178778337,24181136.20910874,19601.923863234697
101,3196.3262430416767,9539.429109073033,30491127.604965817,32006.938481725287
102,3196.3262430416767,11786.180046338259,37672476.58732514,32006.938481725287
103,3196.3262430416767,13808.255889876962,44135690.671448536,32006.938481725287
104,3196.3262430416767,15628.124149061794,49952583.34715959,32006.938481725287
105,3196.3262430416767,17266.005582328144,55187786.75529953,32006.938481725287
106,3196.3262430416767,18740.09887226786,59899469.82262549,32006.938481725287
107,3196.3262430416767,20066.7828332136,64139984.58321884,32006.938481725287
108,3196.3262430416767,21260.79839806477,67956447.86775286,32006.938481725287
109,3196.3262430416767,22335.41240643082,71391264.82383348,32006.938481725287
110,3196.3262430416767,23302.565013960266,74482600.08430603,32006.938481725287
111,3196.3262430416767,24173.00236073677,77264801.81873134,32006.938481725287
112,3196.3262430416767,24956.39597283562,79768783.3797141,32006.938481725287
113,3196.3262430416767,25661.450223724587,82022366.7845986,32006.938481725287
114,3196.3262430416767,26295.999049524657,84050591.84899464,32006.938481725287
115,3088.3462378362346,27432.251373961382,84720290.32615152,37658.5222938919
116,2798.2117372175994,29973.418351118915,83871971.03463434,52843.921145536704
117,2635.504991859965,33112.06222554524,87267005.28620225,61359.85709538215
118,2635.504991859965,35936.84171252893,94711725.72505139,61359.85709538215
119,2635.504991859965,38479.143250814246,101411974.12001562,61359.85709538215
120,2635.504991859965,40767.21463527103,107442197.67548342,61359.85709538215
121,2635.504991859965,42826.47888128214,112869398.87540445,61359.85709538215
122,2635.504991859965,44679.816702692144,117753879.95533338,61359.85709538215
123,2633.8622711013827,46356.41860600963,122096421.98975092,61445.835735867004
124,2585.0788299924716,48120.68879906754,124395773.89912535,63999.120536588714
125,2527.877128924988,50007.920926511884,126413879.57521869,66993.01007351096
126,2527.877128924988,51706.42984121179,130707501.4139638,66993.01007351096
127,2527.877128924988,53235.08786444171,134571761.0688344,66993.01007351096
128,2527.877128924988,54610.88008534863,138049594.7582179,66993.01007351096
129,2527.877128924988,55849.093084164866,141179645.07866308,66993.01007351096
130,2527.877128924988,56963.48478309948,143996690.36706376,66993.01007351096
131,2491.9521620237833,58154.465605902216,144918146.29796576,68873.29301112687
132,2463.4265494943156,59375.64903380375,146267550.22332865,70366.29988491753
133,2414.1910533170353,60732.40861767913,146619637.53119537,72943.24487255757
134,2306.963758489655,62514.71100076553,144219172.65122062,78555.43244854313
135,2169.2407239957697,64839.61407236832,140652731.37395054,85763.74171679343
136,2122.71993325942,67175.51279271027,142594800.03200927,88198.6012757879
137,2122.71993325942,69277.82164101803,147057412.9301798,88198.6012757879
138,2122.71993325942,71169.89960449502,151073764.5385333,88198.6012757879
139,2122.71993325942,72872.76977162431,154688480.98605144,88198.6012757879
140,2122.71993325942,74405.35292204068,157941725.7888178,88198.6012757879
141,2042.2501373358261,76205.84998753789,155631407.60284263,92410.32357701275
142,2042.2501373358261,77826.29734648537,158940766.44419858,92410.32357701275
143,2042.2501373358261,79284.69996953811,161919189.40141898,92410.32357701275
144,2042.2501373358261,80597.26233028558,164599770.06291732,92410.32357701275
145,2011.765070713272,81938.12476235896,164840257.35665998,94005.88665101938
146,1983.6053957953325,83292.28635153065,165219028.63502613,95479.74065407587
147,1983.6053957953325,84511.03178178518,167636538.6465799,95479.74065407587
148,1983.6053957953325,85607.90266901425,169812297.6569783,95479.74065407587
