Prefecture_Code,Prefecture_Name,Price,Demand,Revenue
JP-01,北海道,3700.0,45761.10661350325,169316094.46996203
JP-02,青森県,3700.0,2255.901754170571,8346836.490431113
JP-03,岩手県,3700.0,2111.2417039133106,7811594.30447925
JP-04,宮城県,3700.0,8447.336724892393,31255145.882101856
JP-05,秋田県,3700.0,1294.736315970643,4790524.369091379
JP-06,山形県,3700.0,1684.1181443201617,6231237.133984598
JP-07,福島県,3700.0,5151.134330878215,19059197.024249397
JP-08,茨城県,3700.0,13390.50599599111,49544872.18516711
JP-09,栃木県,3700.0,5781.66198857427,21392149.3577248
JP-10,群馬県,3700.0,5800.96205920064,21463559.61904237
JP-11,埼玉県,3700.0,88106.66708021566,325994668.1967979
JP-12,千葉県,3700.0,64654.21031177121,239220578.1535535
JP-13,東京都,3700.0,295306.1486550649,1092632750.0237403
JP-14,神奈川県,3700.0,136755.1106414611,505993909.37340605
JP-15,新潟県,3700.0,7768.744505578944,28744354.670642093
JP-16,富山県,3700.0,1559.6283392671905,5770624.855288605
JP-17,石川県,3700.0,1855.7334100242406,6866213.61708969
JP-18,福井県,3700.0,816.704063429164,3021805.0346879065
JP-19,山梨県,3700.0,907.8695365853175,3359117.2853656746
JP-20,長野県,3700.0,6586.139021129794,24368714.37818024
JP-21,岐阜県,3700.0,6087.806950534504,22524885.716977663
JP-22,静岡県,3700.0,22368.449787943908,82763264.21539246
JP-23,愛知県,3700.0,93621.68742461859,346400243.47108877
JP-24,三重県,3700.0,4911.781155295548,18173590.27459353
JP-25,滋賀県,3700.0,2884.9489042550244,10674310.94574359
JP-26,京都府,3700.0,10495.923883402074,38834918.36858767
JP-27,大阪府,3700.0,125941.58641313961,465983869.72861654
JP-28,兵庫県,3700.0,48946.85253634782,181103354.3844869
JP-29,奈良県,3700.0,2446.488017083603,9052005.663209332
JP-30,和歌山県,3700.0,1213.4044003641332,4489596.2813472925
JP-31,鳥取県,3700.0,471.828120230156,1745764.0448515771
JP-32,島根県,3700.0,626.7262927644449,2318887.2832284463
JP-33,岡山県,3700.0,5340.681873916323,19760522.933490396
JP-34,広島県,3700.0,12450.170234217456,46065629.86660459
JP-35,山口県,3700.0,2692.7326673834023,9963110.869318588
JP-36,徳島県,3700.0,699.3941635596991,2587758.405170887
JP-37,香川県,3700.0,1229.3915299752398,4548748.660908387
JP-38,愛媛県,3700.0,2679.893540160933,9915606.098595452
JP-39,高知県,3700.0,678.8190032781569,2511630.3121291804
JP-40,福岡県,3700.0,42386.95822110913,156831745.41810378
JP-41,佐賀県,3700.0,890.730207448609,3295701.7675598534
JP-42,長崎県,3700.0,2338.20520937328,8651359.274681136
JP-43,熊本県,3700.0,4445.174403741342,16447145.293842966
JP-44,大分県,3700.0,1773.7296218167935,6562799.600722136
JP-45,宮崎県,3700.0,1568.9965664067481,5805287.295704968
JP-46,鹿児島県,3700.0,3731.7956287517572,13807643.826381503
JP-47,沖縄県,3700.0,3079.8553914227687,11395464.948264245
