step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,82559.79065234678,305471225.4136831
2,3700.0,74468.60223945888,275533828.28599787
3,3700.0,67186.53266785978,248590170.87108117
4,3700.0,60632.670053420574,224340879.19765612
5,3700.0,54734.1937004253,202516516.6915736
6,3700.0,49425.56498272954,182874590.4360993
7,3700.0,44647.79913680337,165196856.80617246
8,3700.0,40347.80987546981,149286896.53923827
9,3700.0,36477.81954026961,134967932.29899755
10,3700.0,32994.82823858943,122080864.48278087
11,3700.0,29860.136067077263,110482503.44818588
12,3700.0,27038.913112716313,100043978.51705036
13,3700.0,24499.81245379146,90649306.0790284
14,3700.0,22214.621860759093,82194100.88480864
15,3700.0,20157.95032702996,74584416.21001086
16,3700.0,18306.945946673743,67735700.00269285
17,3700.0,16641.04200435315,61571855.41610665
18,3700.0,15141.728456264613,56024395.28817907
19,3700.0,13792.34626298493,51031681.173044235
20,3700.0,12577.902289033214,46538238.46942289
21,3700.0,11484.90271247667,42494140.03616368
22,3700.0,10501.203093575783,38854451.4462304
23,3700.0,9615.873436564983,35578731.71529044
24,3700.0,8819.076745255263,32630583.95744447
25,3700.0,8101.959723076515,29977250.975383107
26,3700.0,7456.554403115641,27589251.291527875
27,3700.0,6875.689615150855,25440051.576058164
28,3700.0,6352.911305982549,23505771.83213543
29,3700.0,5882.4108277310725,21764920.062604968
30,3700.0,5458.960397304743,20198153.47002755
31,3700.0,5077.855009921047,18788063.536707874
32,3700.0,4734.860161275721,17518982.596720167
33,3700.0,4426.164797494927,16376809.750731232
34,3700.0,4148.338970092213,15348854.189341186
35,3700.0,3898.29572542977,14423694.184090149
36,3700.0,3673.2568052335714,13591050.179364214
37,3700.0,3470.721777056993,12841670.575110873
38,3700.0,3288.4402516980717,12167228.931282865
39,3700.0,3124.386878875043,11560231.451837659
40,3700.0,2976.7388433343167,11013933.720336972
41,3700.0,2843.8556113476634,10522265.761986354
42,3700.0,2724.2607025596753,10079764.599470798
43,3700.0,2616.6252846504863,9681513.5532068
44,3700.0,2519.753408532216,9323087.611569198
45,3700.0,2432.5687200257726,9000504.264095359
46,3700.0,2354.1025003699738,8710179.251368903
47,3700.0,2283.4829026797547,8448886.739915092
48,3700.0,2219.9252647585577,8213723.479606663
49,3700.0,2162.7233906294805,8002076.545329078
50,3700.0,2111.2417039133106,7811594.30447925
51,3700.0,2064.9081858687578,7640160.287714404
52,3700.0,2023.2080196286604,7485869.672626044
53,3700.0,1985.6778700125728,7347008.1190465195
54,3700.0,1951.900735358094,7222032.720824948
55,3700.0,1921.5013141690629,7109554.862425532
56,3700.0,1894.141835098935,7008324.789866059
57,3700.0,1869.5183039358199,6917217.724562533
58,3700.0,1847.3571258890163,6835221.36578936
59,3700.0,1827.412065646893,6761424.642893504
60,3700.0,1809.4615114289822,6695007.592287234
61,3700.0,1793.3060126328623,6635232.246741591
62,3700.0,1778.7660637163544,6581434.4357505115
63,3700.0,1765.6801096914974,6533016.40585854
64,3700.0,1753.902751069126,6489440.178955766
65,3700.0,1743.3031283089917,6450221.574743269
66,3700.0,1733.763467824871,6414924.830952022
67,3700.0,1725.1777733891622,6383157.7615399
68,3700.0,1717.4506483970245,6354567.399068991
69,3700.0,1710.4962359041003,6328836.072845171
70,3700.0,1704.2372646604686,6305677.879243733
71,3700.0,1698.6041905412,6284835.50500244
72,3700.0,1693.5344238338585,6266077.368185276
73,3700.0,1688.971633797251,6249195.0450498285
74,3700.0,1684.8651227643043,6234000.954227926
75,3700.0,1681.1692628346523,6220326.272488213
76,3700.0,1677.8429888979654,6208019.0589224715
77,3700.0,1674.849342354947,6196942.566713304
78,3700.0,1672.1550604662307,6186973.7237250535
79,3700.0,1669.730206766386,6178001.765035627
80,3700.0,1667.5478384365256,6169927.002215144
81,3700.0,1665.5837069396514,6162659.71567671
82,3700.0,1663.8159885924647,6156119.157792119
83,3700.0,1662.2250420799967,6150232.655695988
84,3700.0,1660.7931902187754,6144934.803809469
85,3700.0,1659.5045235436762,6140166.737111602
86,3700.0,1658.344723536087,6135875.477083522
87,3700.0,1657.3009035292566,6132013.34305825
88,3700.0,1656.3614655231092,6128537.422435504
89,3700.0,1655.5159713175767,6125409.093875034
90,3700.0,1654.7550265325974,6122593.59817061
91,3700.0,1654.070176226116,6120059.65203663
92,3700.0,1653.4538109502828,6117779.100516046
93,3700.0,1652.8990822020328,6115726.604147521
94,3700.0,1652.3998263286078,6113879.357415848
95,3700.0,1651.9504960425254,6112216.835357344
96,3700.0,1651.5460987850513,6110720.56550469
97,3700.0,1651.1821412533245,6109373.922637301
98,3700.0,1650.8545794747704,6108161.944056651
99,3700.0,1650.5597738740717,6107071.163334065
100,3700.0,1650.2944488334429,6106089.460683739
