step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,83196.68255212752,307827725.4428718
2,3700.0,75678.69684904229,280011178.3414565
3,3700.0,68912.50971626557,254976285.95018262
4,3700.0,62822.941296766534,232444882.7980362
5,3700.0,57342.3297192174,212166619.9611044
6,3700.0,52409.77929942318,193916183.40786576
7,3700.0,47970.48392160838,177490790.509951
8,3700.0,43975.11808157506,162707936.90182772
9,3700.0,40379.288825545074,149403368.6545168
10,3700.0,37143.04249511809,137429257.23193693
11,3700.0,34230.4207977338,126652556.95161507
12,3700.0,31609.06127008794,116953526.69932537
13,3700.0,29249.837695206665,108224399.47226466
14,3700.0,27126.53647781352,100368184.96791002
15,3700.0,25215.565382159686,93297591.91399084
16,3700.0,23495.691396071237,86934058.16546358
17,3700.0,21947.804808591634,81206877.79178904
18,3700.0,20554.70687985999,76052415.45548196
19,3700.0,19300.918744001512,71413399.3528056
20,3700.0,18172.50942172888,67238284.86039685
21,3700.0,17156.94103168351,63480681.81722898
22,3700.0,16242.929480642679,60098839.07837791
23,3700.0,15420.31908470593,57055180.61341194
24,3700.0,14679.969728362857,54315887.994942576
25,3700.0,14013.655307654091,51850524.63832014
26,3700.0,13413.972329016202,49631697.61735994
27,3700.0,12874.257648242101,47634753.29849578
28,3700.0,12388.51443554541,45837503.411518015
29,3700.0,11951.345544118389,44219978.513238035
30,3700.0,11557.89354183407,42764206.10478606
31,3700.0,11203.786739778183,41454010.937179275
32,3700.0,10885.090617927885,40274835.28633317
33,3700.0,10598.264108262616,39213577.20057168
34,3700.0,10340.120249563874,38258444.923386335
35,3700.0,10107.790776735006,37398825.873919524
36,3700.0,9898.694251189025,36625168.72939939
37,3700.0,9710.507378197643,35928877.29933128
38,3700.0,9541.139192505398,35302215.012269974
39,3700.0,9388.707825382378,34738218.9539148
40,3700.0,9251.51959497166,34230622.50139514
41,3700.0,9128.050187602013,33773785.69412745
42,3700.0,9016.927720969332,33362632.567586526
43,3700.0,8916.917500999918,32992594.753699698
44,3700.0,8826.908303027445,32659560.721201546
45,3700.0,8745.90002485222,32359830.091953218
46,3700.0,8672.992574494518,32090072.525629714
47,3700.0,8607.375869172585,31847290.715938564
48,3700.0,8548.320834382846,31628787.08721653
49,3700.0,8495.171303072082,31432133.821366705
50,3700.0,8447.336724892393,31255145.882101856
51,3700.0,8404.285604530674,31095856.736763496
52,3700.0,8365.539596205126,30952496.505958967
53,3700.0,8330.668188712134,30823472.298234895
54,3700.0,8299.283921968441,30707350.511283234
55,3700.0,8271.038081899116,30602840.90302673
56,3700.0,8245.616825836725,30508782.25559588
57,3700.0,8222.737695380572,30424129.472908117
58,3700.0,8202.146477970035,30347941.96848913
59,3700.0,8183.6143823005505,30279373.214512035
60,3700.0,8166.935496198015,30217661.335932657
61,3700.0,8151.924498705734,30162120.645211216
62,3700.0,8138.41460096268,30112134.023561917
63,3700.0,8126.255692993932,30067146.06407755
64,3700.0,8115.312675822059,30026656.90054162
65,3700.0,8105.463960367372,29990216.65335928
66,3700.0,8096.600116458155,29957420.430895172
67,3700.0,8088.622656939859,29927903.830677476
68,3700.0,8081.442943373392,29901338.89048155
69,3700.0,8074.981201163573,29877430.44430522
70,3700.0,8069.165633174735,29855912.842746522
71,3700.0,8063.9316219847815,29836547.00134369
72,3700.0,8059.2210119138235,29819117.744081147
73,3700.0,8054.981462849961,29803431.412544854
74,3700.0,8051.165868692485,29789313.714162193
75,3700.0,8047.7318339507565,29776607.7856178
76,3700.0,8044.6412026832,29765172.44992784
77,3700.0,8041.8596345424,29754880.647806883
78,3700.0,8039.35622321568,29745618.025898017
79,3700.0,8037.103153021631,29737281.666180037
80,3700.0,8035.075389846988,29729778.942433856
81,3700.0,8033.250402989809,29723026.491062295
82,3700.0,8031.607914818348,29716949.284827888
83,3700.0,8030.129675464033,29711479.799216922
84,3700.0,8028.79926004515,29706557.262167055
85,3700.0,8027.601886168155,29702126.978822175
86,3700.0,8026.52424967886,29698139.72381178
87,3700.0,8025.554376838493,29694551.194302425
88,3700.0,8024.681491282164,29691321.517744005
89,3700.0,8023.895894281467,29688414.80884143
90,3700.0,8023.18885698084,29685798.770829108
91,3700.0,8022.552523410275,29683444.336618017
92,3700.0,8021.979823196767,29681325.345828038
93,3700.0,8021.46439300461,29679418.254117057
94,3700.0,8021.000505831669,29677701.871577177
95,3700.0,8020.583007376022,29676157.12729128
96,3700.0,8020.2072587659395,29674766.857433975
97,3700.0,8019.869085016865,29673515.6145624
98,3700.0,8019.564728642698,29672389.495977983
99,3700.0,8019.290807905948,29671375.98925201
100,3700.0,8019.044279242873,29670463.83319863
