step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,83693.56027532829,309666173.01871467
2,3700.0,76622.76452312375,283504228.7355579
3,3700.0,70259.04834613967,259958478.88071677
4,3700.0,64531.70378685399,238767304.01135978
5,3700.0,59377.09368349689,219695246.6289385
6,3700.0,54737.94459047549,202530394.9847593
7,3700.0,50562.71040675623,187082028.50499806
8,3700.0,46804.999641408904,173178498.67321295
9,3700.0,43423.059952596304,160665321.82460633
10,3700.0,40379.31423266497,149403462.6608604
11,3700.0,37639.943084726765,139267789.41348904
12,3700.0,35174.50905158238,130145683.49085481
13,3700.0,32955.618421752435,121935788.16048402
14,3700.0,30958.616854905486,114546882.3631503
15,3700.0,29161.31544474323,107896867.14554995
16,3700.0,27543.744175597203,101911853.44970965
17,3700.0,26087.930033365777,96525341.12345338
18,3700.0,24777.69730535749,91677480.02982272
19,3700.0,23598.487850150035,87314405.04555513
20,3700.0,22537.199340463325,83387637.5597143
21,3700.0,21582.039681745286,79853546.82245755
22,3700.0,20722.39598889905,76672865.15892649
23,3700.0,19948.716665337437,73810251.66174851
24,3700.0,19252.405274131987,71233899.51428835
25,3700.0,18625.72502204708,68915182.5815742
26,3700.0,18061.712795170668,66828337.34213147
27,3700.0,17554.101790981895,64950176.62663301
28,3700.0,17097.251887211998,63259831.982684396
29,3700.0,16686.086973819092,61738521.80313064
30,3700.0,16316.038551765476,60369342.64153226
31,3700.0,15982.994971917222,59137081.39609372
32,3700.0,15683.255750053793,58028046.27519903
33,3700.0,15413.490450376707,57029914.66639382
34,3700.0,15170.70168066733,56131596.21846912
35,3700.0,14952.191787928889,55323109.61533689
36,3700.0,14755.532884464294,54595471.67251789
37,3700.0,14578.539871346158,53940597.52398079
38,3700.0,14419.246159539836,53351210.7902974
39,3700.0,14275.881818914146,52820762.72998234
40,3700.0,14146.853912351024,52343359.475698784
41,3700.0,14030.728796444215,51913696.546843596
42,3700.0,13926.216192128086,51526999.91087392
43,3700.0,13832.15484824357,51178972.93850121
44,3700.0,13747.499638747506,50865748.663365774
45,3700.0,13671.309950201048,50583846.81574388
46,3700.0,13602.739230509236,50330135.15288417
47,3700.0,13541.025582786606,50101794.65631044
48,3700.0,13485.483299836238,49896288.20939408
49,3700.0,13435.495245180908,49711332.40716936
50,3700.0,13390.50599599111,49544872.18516711
51,3700.0,13350.015671720292,49395057.98536508
52,3700.0,13313.574379876556,49260225.20554326
53,3700.0,13280.777217217194,49138875.70370362
54,3700.0,13251.259770823768,49029661.15204794
55,3700.0,13224.694069069685,48931368.05555783
56,3700.0,13200.78493749101,48842904.26871674
57,3700.0,13179.266719070201,48763286.86055975
58,3700.0,13159.900322491474,48691631.193218455
59,3700.0,13142.47056557062,48627141.0926113
60,3700.0,13126.783784341851,48569100.00206485
61,3700.0,13112.66568123596,48516863.02057305
62,3700.0,13099.959388440657,48469849.73723043
63,3700.0,13088.523724924884,48427537.78222207
64,3700.0,13078.231627760688,48389457.02271455
65,3700.0,13068.968740312912,48355184.339157775
66,3700.0,13060.632141609914,48324338.923956685
67,3700.0,13053.129202777216,48296578.0502757
68,3700.0,13046.376557827787,48271593.26396281
69,3700.0,13040.299177373301,48249106.956281215
70,3700.0,13034.829534964265,48228869.27936778
71,3700.0,13029.906856796131,48210655.370145686
72,3700.0,13025.47644644481,48194262.8518458
73,3700.0,13021.489077128623,48179509.585375905
74,3700.0,13017.900444744053,48166231.64555299
75,3700.0,13014.670675597941,48154281.499712385
76,3700.0,13011.76388336644,48143526.36845583
77,3700.0,13009.14777035809,48133846.750324935
78,3700.0,13006.793268650574,48125135.09400712
79,3700.0,13004.67421711381,48117294.6033211
80,3700.0,13002.767070730722,48110238.161703676
81,3700.0,13001.050638985944,48103887.36424799
82,3700.0,12999.505850415642,48098171.64653788
83,3700.0,12998.11554070237,48093027.50059877
84,3700.0,12996.864261960427,48088397.76925358
85,3700.0,12995.738111092678,48084231.01104291
86,3700.0,12994.724575311704,48080480.92865331
87,3700.0,12993.812393108827,48077105.854502656
88,3700.0,12992.991429126238,48074068.28776708
89,3700.0,12992.252561541907,48071334.477705054
90,3700.0,12991.58758071601,48068874.04864924
91,3700.0,12990.989097972702,48066659.662498996
92,3700.0,12990.450463503725,48064666.71496378
93,3700.0,12989.965692481645,48062873.062182084
94,3700.0,12989.529398561774,48061258.774678566
95,3700.0,12989.13673403389,48059805.91592539
96,3700.0,12988.783335958793,48058498.34304754
97,3700.0,12988.465277691206,48057321.52745746
98,3700.0,12988.179025250378,48056262.393426396
99,3700.0,12987.921398053633,48055309.17279844
100,3700.0,12987.689533576564,48054451.27423329
