step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,91203.88289828392,337454366.7236505
2,3700.0,90892.37750673945,336301796.77493596
3,3700.0,90612.02265434942,335264483.82109284
4,3700.0,90359.7032871984,334330902.1626341
5,3700.0,90132.61585676247,333490678.6700211
6,3700.0,89928.23716937013,332734477.5266695
7,3700.0,89744.29635071702,332053896.49765295
8,3700.0,89578.74961392923,331441373.57153815
9,3700.0,89429.75755082023,330890102.93803483
10,3700.0,89295.66469402213,330393959.36788183
11,3700.0,89174.98112290383,329947430.15474415
12,3700.0,89066.36590889737,329545553.8629202
13,3700.0,88968.61221629154,329183865.2002787
14,3700.0,88880.6338929463,328858345.4039013
15,3700.0,88801.45340193558,328565377.58716166
16,3700.0,88730.19096002594,328301706.55209595
17,3700.0,88666.05476230726,328064402.62053686
18,3700.0,88608.33218436045,327850829.08213365
19,3700.0,88556.38186420832,327658612.8975708
20,3700.0,88509.6265760714,327485618.3314642
21,3700.0,88467.54681674817,327329923.22196823
22,3700.0,88429.67503335727,327189797.6234219
23,3700.0,88395.59042830546,327063684.5847302
24,3700.0,88364.91428375882,326950182.84990764
25,3700.0,88337.30575366685,326848031.28856736
26,3700.0,88312.45807658408,326756094.8833611
27,3700.0,88290.09516720958,326673352.1186755
28,3700.0,88269.96854877254,326598883.6304584
29,3700.0,88251.8545921792,326531861.991063
30,3700.0,88235.55203124518,326471542.5156072
31,3700.0,88220.87972640459,326417254.98769695
32,3700.0,88207.67465204804,326368396.21257776
33,3700.0,88195.79008512714,326324423.31497043
34,3700.0,88185.09397489834,326284847.7071238
35,3700.0,88175.46747569242,326249229.66006196
36,3700.0,88166.8036264071,326217173.41770625
37,3700.0,88159.0061620503,326188322.7995861
38,3700.0,88151.98844412918,326162357.24327797
39,3700.0,88145.67249800017,326138988.2426006
40,3700.0,88139.98814648407,326117956.1419911
41,3700.0,88134.87223011958,326099027.25144243
42,3700.0,88130.26790539153,326081991.2499487
43,3700.0,88126.12401313629,326066658.84860426
44,3700.0,88122.39451010658,326052859.6873943
45,3700.0,88119.03795737983,326040440.4423054
46,3700.0,88116.01705992575,326029263.1217253
47,3700.0,88113.2982522171,326019203.53320324
48,3700.0,88110.85132527929,326010149.9035334
49,3700.0,88108.64909103527,326002001.6368305
50,3700.0,88106.66708021566,325994668.1967979
51,3700.0,88104.883270478,325988068.1007686
52,3700.0,88103.27784171412,325982128.01434225
53,3700.0,88101.83295582663,325976781.93655854
54,3700.0,88100.53255852788,325971970.46655315
55,3700.0,88099.362200959,325967640.1435483
56,3700.0,88098.30887914702,325963742.852844
57,3700.0,88097.36088951623,325960235.29121006
58,3700.0,88096.50769884852,325957078.4857395
59,3700.0,88095.73982724758,325954237.36081606
60,3700.0,88095.04874280674,325951680.348385
61,3700.0,88094.42676680998,325949379.03719693
62,3700.0,88093.86698841289,325947307.85712767
63,3700.0,88093.36318785552,325945443.7950654
64,3700.0,88092.90976735388,325943766.13920933
65,3700.0,88092.5016889024,325942256.24893886
66,3700.0,88092.13441829607,325940897.34769547
67,3700.0,88091.80387475037,325939674.3365764
68,3700.0,88091.50638555925,325938573.6265692
69,3700.0,88091.23864528723,325937582.9875628
70,3700.0,88090.99767904243,325936691.412457
71,3700.0,88090.7808094221,325935888.9948618
72,3700.0,88090.5856267638,325935166.81902605
73,3700.0,88090.40996237134,325934516.860774
74,3700.0,88090.25186441813,325933931.8983471
75,3700.0,88090.10957626022,325933405.4321628
76,3700.0,88089.98151691811,325932931.612597
77,3700.0,88089.86626351021,325932505.1749878
78,3700.0,88089.7625354431,325932121.38113946
79,3700.0,88089.6691801827,325931775.966676
80,3700.0,88089.58516044833,325931465.0936588
81,3700.0,88089.50954268742,325931185.30794346
82,3700.0,88089.44148670259,325930933.5007996
83,3700.0,88089.38023631624,325930706.8743701
84,3700.0,88089.32511096852,325930502.91058356
85,3700.0,88089.27549815558,325930319.34317565
86,3700.0,88089.23084662393,325930154.1325086
87,3700.0,88089.19066024545,325930005.44290817
88,3700.0,88089.15449250482,325929871.62226784
89,3700.0,88089.12194153825,325929751.1836915
90,3700.0,88089.09264566834,325929642.78897285
91,3700.0,88089.06627938541,325929545.233726
92,3700.0,88089.04254973079,325929457.4340039
93,3700.0,88089.02119304163,325929378.414254
94,3700.0,88089.00197202137,325929307.2964791
95,3700.0,88088.98467310314,325929243.2904816
96,3700.0,88088.96910407674,325929185.6850839
97,3700.0,88088.95509195297,325929133.840226
98,3700.0,88088.9424810416,325929087.1798539
99,3700.0,88088.93113122135,325929045.185519
100,3700.0,88088.92091638313,325929007.39061755
