step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,88846.48773670185,328732004.62579685
2,3700.0,86413.32669973352,319729308.789014
3,3700.0,84223.481766462,311626882.5359094
4,3700.0,82252.62132651765,304334698.9081153
5,3700.0,80478.84693056773,297771733.6431006
6,3700.0,78882.44997421281,291865064.9045874
7,3700.0,77445.69271349338,286549063.0399255
8,3700.0,76152.6111788459,281764661.3617298
9,3700.0,74988.83779766316,277458699.8513537
10,3700.0,73941.4417545987,273583334.4920152
11,3700.0,72998.78531584068,270095505.6686105
12,3700.0,72150.39452095846,266956459.7275463
13,3700.0,71386.84280556446,264131318.3805885
14,3700.0,70699.64626170986,261588691.16832647
15,3700.0,70081.16937224072,259300326.67729068
16,3700.0,69524.5401717185,257240798.63535845
17,3700.0,69023.5738912485,255387223.39761943
18,3700.0,68572.70423882549,253719005.6836543
19,3700.0,68166.92155164479,252217609.7410857
20,3700.0,67801.71713318216,250866353.392774
21,3700.0,67473.0331565658,249650222.67929345
22,3700.0,67177.21757761107,248555705.03716096
23,3700.0,66910.98355655182,247570639.1592417
24,3700.0,66671.37293759848,246684079.8691144
25,3700.0,66455.72338054048,245886176.50799978
26,3700.0,66261.63877918829,245168063.48299667
27,3700.0,66086.9626379713,244521761.76049381
28,3700.0,65929.75411087602,243940090.21024126
29,3700.0,65788.26643649026,243416585.81501395
30,3700.0,65660.92752954309,242945431.8593094
31,3700.0,65546.32251329062,242521393.2991753
32,3700.0,65443.17799866341,242139758.5950546
33,3700.0,65350.34793549892,241796287.361346
34,3700.0,65266.80087865087,241487163.25100824
35,3700.0,65191.60852748763,241208951.55170423
36,3700.0,65123.93541144072,240958561.02233064
37,3700.0,65063.0296069985,240733209.54589444
38,3700.0,65008.21438300049,240530393.2171018
39,3700.0,64958.88068140229,240347858.52118847
40,3700.0,64914.48034996391,240183577.29486647
41,3700.0,64874.520051669366,240035724.19117665
42,3700.0,64838.555783204276,239902656.39785582
43,3700.0,64806.1879415857,239782895.38386708
44,3700.0,64777.05688412898,239675110.4712772
45,3700.0,64750.83893241793,239578104.04994634
46,3700.0,64727.24277587799,239490798.27074856
47,3700.0,64706.00623499204,239412223.06947055
48,3700.0,64686.89334819469,239341505.38832036
49,3700.0,64669.691750077065,239277859.47528514
50,3700.0,64654.21031177121,239220578.1535535
51,3700.0,64640.277017295935,239169024.96399495
52,3700.0,64627.73705226819,239122627.0933923
53,3700.0,64616.45108374322,239080869.0098499
54,3700.0,64606.29371207074,239043286.73466176
55,3700.0,64597.152077565515,239009462.6869924
56,3700.0,64588.92460651082,238979021.04409003
57,3700.0,64581.51988256158,238951623.56547785
58,3700.0,64574.855631007274,238926965.83472693
59,3700.0,64568.85780460839,238904773.87705106
60,3700.0,64563.4597608494,238884801.1151428
61,3700.0,64558.601521466306,238866825.62942532
62,3700.0,64554.22910602152,238850647.69227964
63,3700.0,64550.29393212122,238836087.5488485
64,3700.0,64546.75227561095,238822983.4197605
65,3700.0,64543.5647847517,238811189.7035813
66,3700.0,64540.69604297838,238800575.35902
67,3700.0,64538.11417538239,238791022.44891486
68,3700.0,64535.790494546,238782424.82982022
69,3700.0,64533.69918179325,238774686.97263503
70,3700.0,64531.81700031577,238767722.90116835
71,3700.0,64530.12303698604,238761455.23684835
72,3700.0,64528.59846998929,238755814.33896035
73,3700.0,64527.226359692206,238750737.53086117
74,3700.0,64525.99146042483,238746168.40357187
75,3700.0,64524.8800510842,238742056.18901154
76,3700.0,64523.87978267763,238738355.19590724
77,3700.0,64522.979541111716,238735024.30211335
78,3700.0,64522.169323702394,238732026.49769884
79,3700.0,64521.440128034,238729328.4737258
80,3700.0,64520.78385193245,238726900.25215006
81,3700.0,64520.19320344106,238724714.8527319
82,3700.0,64519.6616197988,238722747.99325556
83,3700.0,64519.18319452077,238720977.81972682
84,3700.0,64518.75261177054,238719384.663551
85,3700.0,64518.36508729534,238717950.82299274
86,3700.0,64518.016315267654,238716660.36649033
87,3700.0,64517.702420442736,238715498.9556381
88,3700.0,64517.41991510031,238714453.68587115
89,3700.0,64517.16566029213,238713512.94308087
90,3700.0,64516.93683096476,238712666.27456963
91,3700.0,64516.730884570134,238711904.2729095
92,3700.0,64516.54553281497,238711218.4714154
93,3700.0,64516.37871623532,238710601.2500707
94,3700.0,64516.22858131363,238710045.75086045
95,3700.0,64516.09345988412,238709545.80157125
96,3700.0,64515.971850597554,238709095.84721094
97,3700.0,64515.86240223965,238708690.88828668
98,3700.0,64515.76389871753,238708326.42525485
99,3700.0,64515.67524554762,238707998.4085262
100,3700.0,64515.59545769471,238707703.19347042
