step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,96093.92945511569,355547538.9839281
2,3700.0,100183.46596471981,370678824.0694633
3,3700.0,103864.04882336353,384296980.64644504
4,3700.0,107176.57339614286,396553321.5657286
5,3700.0,110157.84551164426,407584028.39308375
6,3700.0,112840.99041559553,417511664.53770345
7,3700.0,115255.82082915166,426446537.06786114
8,3700.0,117429.1682013522,434487922.3450031
9,3700.0,119385.18083633267,441725169.09443086
10,3700.0,121145.59220781509,448238691.1689158
11,3700.0,122729.96244214928,454100861.0359523
12,3700.0,124155.89565305004,459376813.91628516
13,3700.0,125439.23554286073,464125171.5085847
14,3700.0,126594.24144369035,468398693.3416543
15,3700.0,127633.746754437,472244862.99141693
16,3700.0,128569.30153410899,475706415.67620325
17,3700.0,129411.30083581379,478821813.092511
18,3700.0,130169.1002073481,481625670.767188
19,3700.0,130851.11964172899,484149142.6743973
20,3700.0,131464.9371326718,486420267.39088565
21,3700.0,132017.3728745203,488464279.63572514
22,3700.0,132514.56504218397,490303890.65608066
23,3700.0,132962.03799308126,491959540.57440066
24,3700.0,133364.76364888882,493449625.50088865
25,3700.0,133727.21673911563,494790701.9347278
26,3700.0,134053.42452031976,495997670.7251831
27,3700.0,134347.0115234035,497083942.6365929
28,3700.0,134611.23982617882,498061587.35686165
29,3700.0,134849.04529867662,498941467.6051035
30,3700.0,135063.07022392465,499733359.8285212
31,3700.0,135255.69265664788,500446062.8295972
32,3700.0,135429.05284609878,501087495.5305655
33,3700.0,135585.0770166046,501664784.961437
34,3700.0,135725.49877005984,502184345.44922143
35,3700.0,135851.87834816956,502651949.88822734
36,3700.0,135965.6199684683,503072793.88333267
37,3700.0,136067.98742673715,503451553.47892743
38,3700.0,136160.11813917913,503792437.1149628
39,3700.0,136243.0357803769,504099232.38739455
40,3700.0,136317.6616574549,504375348.1325832
41,3700.0,136384.8249468251,504623852.3032529
42,3700.0,136445.27190725828,504847506.0568557
43,3700.0,136499.67417164816,505048794.43509823
44,3700.0,136548.63620959903,505229953.97551644
45,3700.0,136592.70204375483,505392997.56189287
46,3700.0,136632.36129449506,505539736.7896317
47,3700.0,136668.05462016125,505671802.0945966
48,3700.0,136700.17861326082,505790660.86906505
49,3700.0,136729.09020705044,505897633.76608664
50,3700.0,136755.1106414611,505993909.37340605
51,3700.0,136778.52903243067,506080557.41999346
52,3700.0,136799.6055843033,506158540.6619222
53,3700.0,136818.57448098867,506228725.5796581
54,3700.0,136835.6464880055,506291892.00562036
55,3700.0,136851.01129432063,506348741.7889863
56,3700.0,136864.83962000426,506399906.5940158
57,3700.0,136877.28511311952,506445954.9185422
58,3700.0,136888.48605692326,506487398.41061604
59,3700.0,136898.56690634662,506524697.5534825
60,3700.0,136907.63967082766,506558266.78206235
61,3700.0,136915.80515886057,506588479.0877841
62,3700.0,136923.15409809022,506615670.1629338
63,3700.0,136929.76814339688,506640142.13056844
64,3700.0,136935.72078417288,506662166.90143967
65,3700.0,136941.0781608713,506681989.19522375
66,3700.0,136945.89979989984,506699829.2596294
67,3700.0,136950.23927502555,506715885.3175945
68,3700.0,136954.14480263868,506730335.7697631
69,3700.0,136957.6597774905,506743341.1767149
70,3700.0,136960.82325485715,506755046.0429715
71,3700.0,136963.67038448714,506765580.4226024
72,3700.0,136966.2328011541,506775061.3642702
73,3700.0,136968.5389761544,506783594.2117713
74,3700.0,136970.61453365465,506791273.7745222
75,3700.0,136972.48253540488,506798185.3809981
76,3700.0,136974.1637369801,506804405.82682633
77,3700.0,136975.67681839777,506810004.22807175
78,3700.0,136977.03859167369,506815042.7891926
79,3700.0,136978.264187622,506819577.4942014
80,3700.0,136979.36722397548,506823658.7287093
81,3700.0,136980.35995669363,506827331.83976644
82,3700.0,136981.25341613995,506830637.6397178
83,3700.0,136982.05752964166,506833612.85967416
84,3700.0,136982.7812317932,506836290.55763483
85,3700.0,136983.43256372958,506838700.48579943
86,3700.0,136984.01876247232,506840869.4211476
87,3700.0,136984.54634134079,506842821.4629609
88,3700.0,136985.0211623224,506844578.3005929
89,3700.0,136985.44850120586,506846159.4544617
90,3700.0,136985.83310620097,506847582.4929436
91,3700.0,136986.17925069656,506848863.22757727
92,3700.0,136986.4907807426,506850015.88874763
93,3700.0,136986.77115778404,506851053.28380096
94,3700.0,136987.02349712132,506851986.9393489
95,3700.0,136987.25060252487,506852827.22934204
96,3700.0,136987.45499738806,506853583.4903358
97,3700.0,136987.63895276494,506854264.1252303
98,3700.0,136987.80451260414,506854876.6966353
99,3700.0,136987.9535164594,506855428.01089984
100,3700.0,136988.08761992917,506855924.1937379
