step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,82504.34355400139,305266071.1498051
2,3700.0,74363.25275260265,275144035.1846298
3,3700.0,67036.27103134379,248034202.815972
4,3700.0,60441.9874822108,223635353.68417996
5,3700.0,54507.13228799112,201676389.46556714
6,3700.0,49165.7626131934,181913321.66881558
7,3700.0,44358.52990587546,164126560.6517392
8,3700.0,40032.02046928931,148118475.73637044
9,3700.0,36138.16197636178,133711199.31253858
10,3700.0,32633.689332726997,120744650.53108989
11,3700.0,29479.663953455693,109074756.62778606
12,3700.0,26641.041112111518,98571852.11481261
13,3700.0,24086.28055490176,89119238.05313651
14,3700.0,21786.996053412982,80611885.39762804
15,3700.0,19717.64000207308,72955268.0076704
16,3700.0,17855.219555867166,66064312.35670852
17,3700.0,16179.041154281846,59862452.27084283
18,3700.0,14670.480592855058,54280778.193563715
19,3700.0,13312.776087570948,49257271.524012506
20,3700.0,12090.84203281525,44736115.521416426
21,3700.0,10991.10138353512,40667075.11907995
22,3700.0,10001.334799183005,37004938.75697712
23,3700.0,9110.5448732661,33709016.031084575
24,3700.0,8308.833939940887,30742685.577781282
25,3700.0,7587.294099948194,28072988.16980832
26,3700.0,6937.908243954771,25670260.50263265
27,3700.0,6353.46097356069,23507805.602174554
28,3700.0,5827.4584302060175,21561596.191762265
29,3700.0,5354.056141186812,19810007.722391203
30,3700.0,4927.994081069527,18233578.09995725
31,3700.0,4544.53822696397,16814791.43976669
32,3700.0,4199.42795826897,15537883.445595188
33,3700.0,3888.8287164434687,14388666.250840833
34,3700.0,3609.289398800518,13354370.775561918
35,3700.0,3357.704012921862,12423504.84781089
36,3700.0,3131.277165631072,11585725.512834966
37,3700.0,2927.493003069361,10831724.111356635
38,3700.0,2744.0872567638207,10153122.850026136
39,3700.0,2579.022085088835,9542381.714828689
40,3700.0,2430.4634305813474,8992714.693150986
41,3700.0,2296.7606415246087,8498014.373641051
42,3700.0,2176.4281313735437,8052784.086082112
43,3700.0,2068.1288722375853,7652076.827279066
44,3700.0,1970.659539015223,7291440.294356325
45,3700.0,1882.9371391150967,6966867.414725858
46,3700.0,1803.986979204983,6674751.823058438
47,3700.0,1732.9318352858809,6411847.790557759
48,3700.0,1668.982205758689,6175234.161307149
49,3700.0,1611.4275391842161,5962281.894981599
50,3700.0,1559.6283392671905,5770624.855288605
51,3700.0,1513.0090593418677,5598133.519564911
52,3700.0,1471.051707409077,5442891.317413584
53,3700.0,1433.2900906695654,5303173.335477392
54,3700.0,1399.304635604005,5177427.151734819
55,3700.0,1368.7177260450005,5064255.586366502
56,3700.0,1341.1895074418967,4962401.177535018
57,3700.0,1316.414110699103,4870732.209586681
58,3700.0,1294.1162536305887,4788230.138433178
59,3700.0,1274.048182268926,4713978.274395026
60,3700.0,1255.9869180434296,4647151.596760689
61,3700.0,1239.7317802404827,4587007.586889786
62,3700.0,1225.1021562178305,4532877.978005973
63,3700.0,1211.9354945974435,4484161.330010541
64,3700.0,1200.0854991390952,4440316.346814652
65,3700.0,1189.4205032265818,4400855.861938353
66,3700.0,1179.8220069053198,4365341.425549683
67,3700.0,1171.183360216184,4333378.43279988
68,3700.0,1163.4085781959616,4304611.739325058
69,3700.0,1156.4112743777616,4278721.715197718
70,3700.0,1150.1137009413815,4255420.693483111
71,3700.0,1144.4458848486395,4234449.773939966
72,3700.0,1139.3448503651716,4215575.946351135
73,3700.0,1134.7539193300506,4198589.501521187
74,3700.0,1130.6220813984417,4183301.701174234
75,3700.0,1126.9034272599936,4169542.6808619765
76,3700.0,1123.5566385353904,4157159.5625809445
77,3700.0,1120.5445286832476,4146014.756128016
78,3700.0,1117.833629816319,4135984.4303203803
79,3700.0,1115.3938208360833,4126957.137093508
80,3700.0,1113.197992753871,4118832.5731893224
81,3700.0,1111.22174747988,4111520.4656755556
82,3700.0,1109.443126733288,4104939.5689131655
83,3700.0,1107.8423680613553,4099016.7618270144
84,3700.0,1106.4016852566158,4093686.2354494785
85,3700.0,1105.1050707323502,4088888.7617096957
86,3700.0,1103.9381176605114,4084571.035343892
87,3700.0,1102.8878598958563,4080685.0816146685
88,3700.0,1101.9426279076667,4077187.723258367
89,3700.0,1101.0919191182961,4074040.1007376956
90,3700.0,1100.3262812078626,4071207.2404690916
91,3700.0,1099.6372070884725,4068657.666227348
92,3700.0,1099.0170403810214,4066363.0494097793
93,3700.0,1098.4588903443155,4064297.8942739675
94,3700.0,1097.95655531128,4062439.254651736
95,3700.0,1097.5044537815481,4060766.4789917283
96,3700.0,1097.0975624047894,4059260.980897721
97,3700.0,1096.7313601657065,4057906.032613114
98,3700.0,1096.401778150532,4056686.5791569683
99,3700.0,1096.1051543368749,4055589.071046437
100,3700.0,1095.8381929045836,4054601.3137469594
