step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,82534.10745754527,305376197.5929175
2,3700.0,74419.804169336,275353275.4265432
3,3700.0,67116.93120994765,248332645.4768063
4,3700.0,60544.345546498145,224014078.52204314
5,3700.0,54629.01844939359,202127368.2627563
6,3700.0,49305.224061999485,182429329.02939808
7,3700.0,44513.809113344796,164701093.71937576
8,3700.0,40201.53565955558,148745681.94035563
9,3700.0,36320.48955114528,134385811.33923754
10,3700.0,32827.54805357601,121461927.79823123
11,3700.0,29683.900705763663,109830432.61132555
12,3700.0,26854.618092732555,99362086.94311045
13,3700.0,24308.263741004557,89940575.84171686
14,3700.0,22016.54482444936,81461215.85046263
15,3700.0,19953.99779954968,73829791.85833383
16,3700.0,18097.70547713997,66961510.26541789
17,3700.0,16427.042386971232,60780056.83179356
18,3700.0,14923.445605819368,55216748.74153166
19,3700.0,13570.20850278269,50209771.46029595
20,3700.0,12352.29511004968,45703491.90718381
21,3700.0,11256.17305658997,41647840.30938289
22,3700.0,10269.663208476231,37997753.87136205
23,3700.0,9381.804345173867,34712676.077143304
24,3700.0,8582.73136820174,31756106.062346436
25,3700.0,7863.565688926824,29095193.04902925
26,3700.0,7216.3165775794005,26700371.33704378
27,3700.0,6633.792377366719,24545031.79625686
28,3700.0,6109.520597175306,22605226.20954863
29,3700.0,5637.675995003034,20859401.181511223
30,3700.0,5213.0158530479885,19288158.656277556
31,3700.0,4830.821725288448,17874040.38356726
32,3700.0,4486.847010304861,16601333.938127987
33,3700.0,4177.269766819633,15455898.137232643
34,3700.0,3898.6502476829287,14425005.916426836
35,3700.0,3647.892680459894,13497202.917701608
36,3700.0,3422.210869959163,12662180.218848903
37,3700.0,3219.0972405085054,11910659.78988147
38,3700.0,3036.2949740029135,11234291.40381078
39,3700.0,2871.7729341478807,10625559.856347159
40,3700.0,2723.7030982783513,10077701.4636299
41,3700.0,2590.4402459957746,9584628.910184367
42,3700.0,2470.5036789414557,9140863.612083387
43,3700.0,2362.560768592569,8741474.843792506
44,3700.0,2265.4121492785703,8382024.95233071
45,3700.0,2177.978391895972,8058520.050015097
46,3700.0,2099.2880102516333,7767365.637931043
47,3700.0,2028.4666667717286,7505326.667055395
48,3700.0,1964.7274576398142,7269491.593267312
49,3700.0,1907.3621694210913,7057240.026858037
50,3700.0,1855.7334100242406,6866213.61708969
51,3700.0,1809.267526567075,6694289.848298178
52,3700.0,1767.448231455626,6539558.456385816
53,3700.0,1729.810865855322,6400300.203664691
54,3700.0,1695.9372368150482,6274967.776215678
55,3700.0,1665.450970678802,6162168.591511567
56,3700.0,1638.0133311561804,6060649.325277868
57,3700.0,1613.3194555858208,5969281.985667537
58,3700.0,1591.0949675724974,5887051.38001824
59,3700.0,1571.0929283605062,5813043.834933873
60,3700.0,1553.0910930697141,5746437.044357942
61,3700.0,1536.8894413080013,5686490.932839605
62,3700.0,1522.3079547224597,5632539.432473101
63,3700.0,1509.1846167954723,5583983.082143247
64,3700.0,1497.3736126611836,5540282.36684638
65,3700.0,1486.7437089403238,5500951.723079198
66,3700.0,1477.17679559155,5465554.143688735
67,3700.0,1468.5665735776536,5433696.322237318
68,3700.0,1460.8173737651468,5405024.282931044
69,3700.0,1453.8430939338907,5379219.447555396
70,3700.0,1447.5662420857602,5355995.095717313
71,3700.0,1441.9170754224426,5335093.179063038
72,3700.0,1436.8328254254568,5316281.45407419
73,3700.0,1432.2570004281697,5299350.901584228
74,3700.0,1428.1387579306113,5284113.404343261
75,3700.0,1424.4323396828086,5270399.656826392
76,3700.0,1421.0965632597863,5258057.284061209
77,3700.0,1418.0943644790661,5246949.148572545
78,3700.0,1415.392385576418,5236951.8266327465
79,3700.0,1412.9606045640348,5227954.236886929
80,3700.0,1410.77200165289,5219856.406115693
81,3700.0,1408.8022590328594,5212568.35842158
82,3700.0,1407.029490674832,5206009.1154968785
83,3700.0,1405.4339991526074,5200105.796864647
84,3700.0,1403.998056782605,5194792.810095639
85,3700.0,1402.7057086496031,5190011.122003532
86,3700.0,1401.5425953299014,5185707.602720635
87,3700.0,1400.4957933421697,5181834.435366028
88,3700.0,1399.5536715532112,5178348.584746881
89,3700.0,1398.7057619431487,5175211.31918965
90,3700.0,1397.9426432940922,5172387.780188141
91,3700.0,1397.2558365099414,5169846.595086783
92,3700.0,1396.6377104042058,5167559.528495561
93,3700.0,1396.0813969090436,5165501.168563462
94,3700.0,1395.5807147633977,5163648.644624571
95,3700.0,1395.1301008323164,5161981.373079571
96,3700.0,1394.7245482943433,5160480.82868907
97,3700.0,1394.3595510101675,5159130.33873762
98,3700.0,1394.0310534544092,5157914.897781314
99,3700.0,1393.7354056542267,5156821.000920638
100,3700.0,1393.4693226340626,5155836.493746031
