step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,82841.29540972432,306512793.01598
2,3700.0,75003.4612784762,277512806.73036194
3,3700.0,67949.4105603529,251412819.07330573
4,3700.0,61600.76491404193,227922830.18195513
5,3700.0,55886.98383236206,206781840.17973962
6,3700.0,50744.58085885017,187754949.1777456
7,3700.0,46116.41818268947,170630747.27595103
8,3700.0,41951.07177414484,155218965.5643359
9,3700.0,38202.26000645467,141348362.02388227
10,3700.0,34828.329415533524,128864818.83747403
11,3700.0,31791.79188370449,117629629.96970661
12,3700.0,29058.908105058355,107517959.98871592
13,3700.0,26599.312704276836,98417457.0058243
14,3700.0,24385.67684357347,90227004.32122184
15,3700.0,22393.40456894044,82855596.90507963
16,3700.0,20600.359521770715,76221330.23055165
17,3700.0,18986.618979317962,70250490.22347645
18,3700.0,17534.252491110485,64876734.21710879
19,3700.0,16227.122651723754,60040353.81137789
20,3700.0,15050.705796275695,55687611.44622007
21,3700.0,13991.930626372443,51770143.31757804
22,3700.0,13039.032973459516,48244422.00180021
23,3700.0,12181.425085837882,45071272.81760016
24,3700.0,11409.577986978411,42215438.55182012
25,3700.0,10714.915598004887,39645187.71261808
26,3700.0,10089.719447928715,37331961.95733625
27,3700.0,9527.04291286016,35250058.77758259
28,3700.0,9020.634031298461,33376345.915804308
29,3700.0,8564.866037892933,31690004.34020385
30,3700.0,8154.6748438279565,30172296.922163438
31,3700.0,7785.502769169478,28806360.245927066
32,3700.0,7453.247901976847,27577017.237314332
33,3700.0,7154.21852150348,26470608.529562876
34,3700.0,6885.092079077449,25474840.69258656
35,3700.0,6642.878280894021,24578649.63930788
36,3700.0,6424.885862528937,23772077.691357065
37,3700.0,6228.6926860003605,23046162.938201334
38,3700.0,6052.118827124642,22392839.660361174
39,3700.0,5893.202354136495,21804848.71030503
40,3700.0,5750.177528447162,21275656.8552545
41,3700.0,5621.455185326763,20799384.185709022
42,3700.0,5505.605076518404,20370738.783118095
43,3700.0,5401.3399785908805,19984957.920786258
44,3700.0,5307.501390456109,19637755.144687604
45,3700.0,5223.046661134816,19325272.646198817
46,3700.0,5147.037404745652,19044038.397558913
47,3700.0,5078.629073995404,18790927.573782995
48,3700.0,5017.06157632018,18563127.83238467
49,3700.0,4961.650828412479,18358108.065126173
50,3700.0,4911.781155295548,18173590.27459353
51,3700.0,4866.898449490311,18007524.26311415
52,3700.0,4826.504014265597,17858064.852782708
53,3700.0,4790.149022563354,17723551.383484412
54,3700.0,4757.429530031336,17602489.261115942
55,3700.0,4727.981986752519,17493533.35098432
56,3700.0,4701.479197801585,17395473.031865865
57,3700.0,4677.626687745744,17307218.744659252
58,3700.0,4656.159428695487,17227789.8861733
59,3700.0,4636.838895550255,17156303.913535945
60,3700.0,4619.450415719547,17091966.538162325
61,3700.0,4603.8007838719095,17034062.900326066
62,3700.0,4589.716115209036,16981949.62627343
63,3700.0,4577.039913412449,16935047.679626063
64,3700.0,4565.631331795521,16892835.927643426
65,3700.0,4555.363608340286,16854845.350859057
66,3700.0,4546.122657230575,16820653.831753127
67,3700.0,4537.805801231834,16789881.464557786
68,3700.0,4530.320630832968,16762186.334081981
69,3700.0,4523.583977473989,16737260.716653759
70,3700.0,4517.520989450907,16714827.660968356
71,3700.0,4512.064300230133,16694637.910851492
72,3700.0,4507.153279931437,16676467.135746319
73,3700.0,4502.733361662611,16660113.438151661
74,3700.0,4498.755435220667,16645395.110316468
75,3700.0,4495.175301422918,16632148.615264796
76,3700.0,4491.953181004943,16620226.76971829
77,3700.0,4489.053272628766,16609497.108726433
78,3700.0,4486.443355090206,16599840.413833762
79,3700.0,4484.094429305503,16591149.38843036
80,3700.0,4481.9803960992695,16583327.465567296
81,3700.0,4480.07776621366,16576287.73499054
82,3700.0,4478.365399316611,16569951.97747146
83,3700.0,4476.824269109267,16564249.795704288
84,3700.0,4475.437251922658,16559117.832113834
85,3700.0,4474.18893645471,16554499.064882426
86,3700.0,4473.065452533556,16550342.174374156
87,3700.0,4472.0543170045175,16546600.972916715
88,3700.0,4471.144295028383,16543233.891605016
89,3700.0,4470.325275249861,16540203.518424487
90,3700.0,4469.588157449192,16537476.182562012
91,3700.0,4468.92475142859,16535021.580285782
92,3700.0,4468.327686010048,16532812.438237177
93,3700.0,4467.79032713336,16530824.21039343
94,3700.0,4467.306704144341,16529034.805334061
95,3700.0,4466.871443454224,16527424.34078063
96,3700.0,4466.479708833119,16525974.92268254
97,3700.0,4466.127147674124,16524670.44639426
98,3700.0,4465.809842631029,16523496.417734807
99,3700.0,4465.524268092243,16522439.791941298
100,3700.0,4465.267251007335,16521488.828727141
