step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,83402.602533272,308589629.3731064
2,3700.0,76069.9448132168,281458795.80890214
3,3700.0,69470.55286516712,257041045.60111836
4,3700.0,63531.10011192241,235065070.41411293
5,3700.0,58185.59263400217,215286692.74580804
6,3700.0,53374.635903873954,197486152.84433362
7,3700.0,49044.77484675856,181465666.93300667
8,3700.0,45147.899895354705,167047229.6128124
9,3700.0,41640.712439091236,154070636.02463758
10,3700.0,38484.243728454116,142391701.79528022
11,3700.0,35643.42188888071,131880660.98885863
12,3700.0,33086.68223326464,122420724.26307917
13,3700.0,30785.616543210177,113906781.20987765
14,3700.0,28714.657422161163,106244232.4619963
15,3700.0,26850.79421321705,99347938.58890308
16,3700.0,25173.317325167347,93141274.10311918
17,3700.0,23663.588125922615,87555276.06591368
18,3700.0,22304.831846602356,82527877.83242871
19,3700.0,21081.951195214122,78003219.42229225
20,3700.0,19981.35860896471,73931026.85316943
21,3700.0,18990.825281340243,70266053.5409589
22,3700.0,18099.34528647822,66967577.55996941
23,3700.0,17297.013291102397,63998949.17707887
24,3700.0,16574.914495264158,61327183.63247739
25,3700.0,15925.025579009744,58922594.64233605
26,3700.0,15340.125554380771,56758464.55120885
27,3700.0,14813.715532214695,54810747.469194375
28,3700.0,14339.946512265227,53057802.09538134
29,3700.0,13913.554394310706,51480151.258949615
30,3700.0,13529.801488151637,50060265.50616106
31,3700.0,13184.423872608475,48782368.32865136
32,3700.0,12873.58401861963,47632260.868892625
33,3700.0,12593.828150029669,46597164.15510978
34,3700.0,12342.047868298703,45665577.1127052
35,3700.0,12115.445614740835,44827148.77454109
36,3700.0,11911.503586538753,44072563.27019338
37,3700.0,11727.95576115688,43393436.316280454
38,3700.0,11562.762718313194,42782222.057758816
39,3700.0,11414.088979753877,42232129.22508934
40,3700.0,11280.282615050492,41737045.67568682
41,3700.0,11159.856886817444,41291470.481224544
42,3700.0,11051.473731407701,40890452.80620849
43,3700.0,10953.928891538933,40529536.89869405
44,3700.0,10866.138535657043,40204712.581931055
45,3700.0,10787.12721536334,39912370.696844354
46,3700.0,10716.017027099007,39649263.00026633
47,3700.0,10652.017857661109,39412466.0733461
48,3700.0,10594.418605167,39199348.8391179
49,3700.0,10542.579277922303,39007543.32831252
50,3700.0,10495.923883402074,38834918.36858767
51,3700.0,10453.934028333868,38679555.90483531
52,3700.0,10416.143158772484,38539729.68745819
53,3700.0,10382.131376167237,38413886.09181878
54,3700.0,10351.520771822516,38300626.85574331
55,3700.0,10323.971227912265,38198693.54327538
56,3700.0,10299.17663839304,38106953.562054254
57,3700.0,10276.861507825739,38024387.57895523
58,3700.0,10256.777890315167,37950078.19416612
59,3700.0,10238.702634555651,37883199.74785591
60,3700.0,10222.434904372089,37823009.146176726
61,3700.0,10207.793947206881,37768837.60466546
62,3700.0,10194.617085758195,37720083.21730532
63,3700.0,10182.757910454377,37676204.26868119
64,3700.0,10172.08465268094,37636713.21491948
65,3700.0,10162.478720684849,37601171.26653394
66,3700.0,10153.833381888366,37569183.51298695
67,3700.0,10146.052576971531,37540394.534794666
68,3700.0,10139.04985254638,37514484.45442161
69,3700.0,10132.747400563745,37491165.38208586
70,3700.0,10127.075193779372,37470178.216983676
71,3700.0,10121.970207673437,37451289.76839172
72,3700.0,10117.375720178095,37434290.164658956
73,3700.0,10113.240681432288,37418990.52129947
74,3700.0,10109.51914656106,37405220.842275925
75,3700.0,10106.169765176957,37392828.13115474
76,3700.0,10103.155321931263,37381674.69114567
77,3700.0,10100.442323010138,37371636.595137514
78,3700.0,10098.000623981126,37362602.30873017
79,3700.0,10095.803094855015,37354471.45096356
80,3700.0,10093.825318641515,37347153.67897361
81,3700.0,10092.045320049365,37340567.68418265
82,3700.0,10090.44332131643,37334640.28887079
83,3700.0,10089.001522456789,37329305.633090116
84,3700.0,10087.703903483112,37324504.442887515
85,3700.0,10086.536046406804,37320183.371705174
86,3700.0,10085.484975038125,37316294.40764106
87,3700.0,10084.539010806315,37312794.33998337
88,3700.0,10083.687642997686,37309644.27909144
89,3700.0,10082.921411969919,37306809.2242887
90,3700.0,10082.231804044928,37304257.67496623
91,3700.0,10081.611156912437,37301961.28057601
92,3700.0,10081.052574493195,37299894.52562482
93,3700.0,10080.549850315878,37298034.44616875
94,3700.0,10080.097398556292,37296360.37465828
95,3700.0,10079.690191972664,37294853.71029886
96,3700.0,10079.3237060474,37293497.71237538
97,3700.0,10078.993868714662,37292277.31424425
98,3700.0,10078.697015115198,37291178.95592623
99,3700.0,10078.42984687568,37290190.433440015
100,3700.0,10078.189395460115,37289300.76320242
