step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,82618.24098858757,305687491.657774
2,3700.0,74579.65787831637,275944734.14977056
3,3700.0,67344.9330790723,249176252.39256752
4,3700.0,60833.680759752635,225084618.81108475
5,3700.0,54973.553672364935,203402148.58775026
6,3700.0,49699.43929371601,183887925.38674924
7,3700.0,44952.73635293197,166325124.5058483
8,3700.0,40680.70370622634,150518603.71303746
9,3700.0,36835.874324191274,136292734.99950773
10,3700.0,33375.52788035971,123489453.15733093
11,3700.0,30261.216080911305,111966499.49937183
12,3700.0,27458.33546140774,101595841.20720863
13,3700.0,24935.74290385453,92262248.74426176
14,3700.0,22665.409602056643,83862015.52760959
15,3700.0,20622.109630438543,76301805.63262261
16,3700.0,18783.139655982253,69497616.72713433
17,3700.0,17128.066678971594,63373846.7121949
18,3700.0,15638.500999662,57862453.6987494
19,3700.0,14297.891888283364,52902199.98664845
20,3700.0,13091.343688042592,48437971.64575759
21,3700.0,12005.450307825899,44420166.138955824
22,3700.0,11028.146265630874,40804141.18283423
23,3700.0,10148.57262765535,37549718.722324796
24,3700.0,9356.95635347738,34620738.50786631
25,3700.0,8644.501706717207,31984656.314853664
26,3700.0,8003.292524633051,29612182.341142286
27,3700.0,7426.20426075731,27476955.76480205
28,3700.0,6906.824823269144,25555251.846095834
29,3700.0,6439.3833295297945,23825718.31926024
30,3700.0,6018.68598516438,22269138.145108208
31,3700.0,5640.058375235507,20868215.988371376
32,3700.0,5299.293526299521,19607386.047308225
33,3700.0,4992.605162257133,18472639.100351393
34,3700.0,4716.585634618985,17451366.848090243
35,3700.0,4468.168059744651,16532221.82105521
36,3700.0,4244.59224235775,15704991.296723677
37,3700.0,4043.37400670954,14960483.824825298
38,3700.0,3862.277594626151,14290427.100116758
39,3700.0,3699.2908237511006,13687376.047879072
40,3700.0,3552.6027299635552,13144630.100865154
41,3700.0,3420.5834455547647,12656158.74855263
42,3700.0,3301.766089586853,12216534.531471357
43,3700.0,3194.8304692157326,11820872.736098211
44,3700.0,3098.588410881724,11464777.120262379
45,3700.0,3011.9705583811165,11144291.06601013
46,3700.0,2934.0144911305697,10855853.617183108
47,3700.0,2863.8540306050777,10596259.913238788
48,3700.0,2800.7096161321347,10362625.579688897
49,3700.0,2743.879643106486,10152354.679494
50,3700.0,2692.7326673834023,9963110.869318588
51,3700.0,2646.700389232627,9792791.44016072
52,3700.0,2605.271338896929,9639503.953918638
53,3700.0,2567.985193594801,9501545.216300763
54,3700.0,2534.4276628228854,9377382.352444677
55,3700.0,2504.2258851281617,9265635.774974199
56,3700.0,2477.0442852029105,9165063.855250768
57,3700.0,2452.580845270184,9074549.127499681
58,3700.0,2430.5637493307304,8993085.872523703
59,3700.0,2410.7483629852222,8919768.943045322
60,3700.0,2392.914515274265,8853783.70651478
61,3700.0,2376.8640523344034,8794396.993637292
62,3700.0,2362.418635688528,8740948.952047553
63,3700.0,2349.4177607072397,8692845.714616787
64,3700.0,2337.7169732240804,8649552.800929097
65,3700.0,2327.186264489237,8610589.178610178
66,3700.0,2317.7086266278784,8575521.91852315
67,3700.0,2309.178752552655,8543961.384444823
68,3700.0,2301.5018658849544,8515556.903774332
69,3700.0,2294.5926678840237,8489992.871170888
70,3700.0,2288.374389683186,8466985.241827788
71,3700.0,2282.777939302432,8446278.375418998
72,3700.0,2277.741133959754,8427642.19565109
73,3700.0,2273.208009151343,8410869.63385997
74,3700.0,2269.1281968237736,8395774.328247963
75,3700.0,2265.456365728961,8382188.553197156
76,3700.0,2262.1517177436294,8369961.355651429
77,3700.0,2259.1775345568312,8358956.877860276
78,3700.0,2256.500769688713,8349052.8478482375
79,3700.0,2254.0916813074064,8340139.220837403
80,3700.0,2251.9235017642304,8332116.956527652
81,3700.0,2249.9721401753723,8324896.918648877
82,3700.0,2248.2159147454,8318398.88455798
83,3700.0,2246.6353118584248,8312550.653876171
84,3700.0,2245.212769260147,8307287.246262544
85,3700.0,2243.9324809216973,8302550.17941028
86,3700.0,2242.7802214170924,8298286.819243242
87,3700.0,2241.743187862948,8294449.795092908
88,3700.0,2240.8098576642183,8290996.473357608
89,3700.0,2239.969860485361,8287888.483795836
90,3700.0,2239.21386302439,8285091.293190243
91,3700.0,2238.5334653095156,8282573.821645208
92,3700.0,2237.921107366129,8280308.097254678
93,3700.0,2237.3699852170807,8278268.945303199
94,3700.0,2236.8739752829374,8276433.7085468685
95,3700.0,2236.4275663422086,8274781.995466172
96,3700.0,2236.0257982955527,8273295.453693545
97,3700.0,2235.664207053562,8271957.566098181
98,3700.0,2235.3387749357707,8270753.467262352
99,3700.0,2235.0458860297585,8269669.778310107
100,3700.0,2234.7822860143474,8268694.458253086
