step,p_values,n_values,R_values
0,3700.0,91550.0,338735000.0
1,3700.0,82616.95042458858,305682716.57097775
2,3700.0,74577.2058067183,275935661.4848577
3,3700.0,67341.43565063505,249163311.90734968
4,3700.0,60829.24251016012,225068197.28759244
5,3700.0,54968.268683732684,203382594.12981093
6,3700.0,49693.39223994799,183865551.28780758
7,3700.0,44946.00344054177,166300212.73000455
8,3700.0,40673.35352107617,150491408.02798182
9,3700.0,36827.96859355713,136263483.79616138
10,3700.0,33367.12215878999,123458351.98752297
11,3700.0,30252.36036749957,111933733.35974841
12,3700.0,27449.074755338188,101561576.5947513
13,3700.0,24926.117704392946,92226635.5062539
14,3700.0,22655.45635854223,83825188.52660625
15,3700.0,20611.861147276584,76263886.24492337
16,3700.0,18772.625457137503,69458714.19140877
17,3700.0,17117.31333601233,63334059.34324562
18,3700.0,15627.53242699967,57821869.97989878
19,3700.0,14286.72960888828,52860899.552886635
20,3700.0,13080.007072588029,48396026.168575704
21,3700.0,11993.956789917802,44377640.12269586
22,3700.0,11016.511535514597,40761092.68140401
23,3700.0,10136.810806551714,37506199.98424134
24,3700.0,9345.080150485119,34576796.55679494
25,3700.0,8632.522560025183,31940333.47209318
26,3700.0,7991.220728611242,29567516.695861593
27,3700.0,7414.049080338694,27431981.597253166
28,3700.0,6894.594596893401,25510000.008505583
29,3700.0,6427.085561792637,23780216.578632757
30,3700.0,6006.32743020195,22223411.491747215
31,3700.0,5627.645111770331,20822286.913550224
32,3700.0,5286.831025181874,19561274.793172933
33,3700.0,4980.098347252263,18426363.884833373
34,3700.0,4704.038937115613,17404944.06732777
35,3700.0,4455.585467992629,16485666.231572727
36,3700.0,4231.977345781942,15658316.179393185
37,3700.0,4030.730035792324,14913701.132431598
38,3700.0,3849.607456801668,14243547.590166172
39,3700.0,3686.5971357100775,13640409.402127286
40,3700.0,3539.8878467276463,13097585.03289229
41,3700.0,3407.849486643458,12609043.100580795
42,3700.0,3289.0149625676886,12169355.361500448
43,3700.0,3182.063890899496,11773636.396328136
44,3700.0,3085.807926398123,11417489.327673055
45,3700.0,2999.177558346887,11096956.965883482
46,3700.0,2921.210227100775,10808477.840272866
47,3700.0,2851.039628979274,10548846.627223313
48,3700.0,2787.886090669923,10315178.535478715
49,3700.0,2731.047906191507,10104877.252908576
50,3700.0,2679.893540160933,9915606.098595452
51,3700.0,2633.854610733416,9745262.05971364
52,3700.0,2592.419574248651,9591952.424720008
53,3700.0,2555.128041412362,9453973.75322574
54,3700.0,2521.5656618597022,9329792.948880898
55,3700.0,2491.3595202623083,9218030.22497054
56,3700.0,2464.173992824654,9117443.773451218
57,3700.0,2439.707018130765,9026915.96708383
58,3700.0,2417.6867409062647,8945440.94135318
59,3700.0,2397.8684914042146,8872113.418195594
60,3700.0,2380.0320668523696,8806118.647353766
61,3700.0,2363.979284755709,8746723.353596125
62,3700.0,2349.5317808687146,8693267.589214245
63,3700.0,2336.5290273704195,8645157.401270552
64,3700.0,2324.826549221954,8601858.23212123
65,3700.0,2314.294318888335,8562888.97988684
66,3700.0,2304.8153115880777,8527816.652875887
67,3700.0,2296.2842050178465,8496251.558566032
68,3700.0,2288.6062091046383,8467842.973687163
69,3700.0,2281.696012782751,8442275.247296179
70,3700.0,2275.4768360930525,8419264.293544294
71,3700.0,2269.8795770723236,8398554.435167598
72,3700.0,2264.8420439536676,8379915.56262857
73,3700.0,2260.3082641468773,8363140.577343446
74,3700.0,2256.227862320766,8348043.090586834
75,3700.0,2252.5555006772656,8334455.352505883
76,3700.0,2249.2503751981153,8322226.3882330265
77,3700.0,2246.27576226688,8311220.320387457
78,3700.0,2243.5986106287683,8301314.859326443
79,3700.0,2241.1891741544678,8292399.944371531
80,3700.0,2239.0206813275972,8284376.52091211
81,3700.0,2237.069037783414,8277155.439798632
82,3700.0,2235.312558593649,8270656.466796502
83,3700.0,2233.7317273228605,8264807.391094584
84,3700.0,2232.308979179151,8259543.222962858
85,3700.0,2231.028505849812,8254805.471644305
86,3700.0,2229.876079853407,8250541.495457606
87,3700.0,2228.838896456643,8246703.916889579
88,3700.0,2227.9054313995553,8243250.096178355
89,3700.0,2227.0653128481763,8240141.657538252
90,3700.0,2226.309206151935,8237344.06276216
91,3700.0,2225.628710125318,8234826.227463676
92,3700.0,2225.0162637013627,8232560.175695042
93,3700.0,2224.465061919803,8230520.72910327
94,3700.0,2223.9689803163988,8228685.227170675
95,3700.0,2223.5225068733353,8227033.275431341
96,3700.0,2223.120680774578,8225546.518865938
97,3700.0,2222.7590372856966,8224208.437957077
98,3700.0,2222.4335581457035,8223004.165139103
99,3700.0,2222.1406269197096,8221920.319602925
100,3700.0,2221.876988816315,8220944.858620366
