Prefecture_Code,Prefecture_Name,Price,Demand,Revenue,f_values
JP-01,北海道,2010.1192329562782,252908.22945813264,508375696.206712,264512.3963502642
JP-02,青森県,1820.1825042555683,61595.26177408058,112114617.82622327,65050.03029363218
JP-03,岩手県,1874.807607003959,58216.004909396775,109143808.85351689,61263.6691426605
JP-04,宮城県,1915.0495176102913,111286.16593743565,213118518.395185,116118.81751619873
JP-05,秋田県,1870.7333455794283,46171.9959272012,86375492.41297284,48572.4294543878
JP-06,山形県,1758.2648329526212,53239.955363852874,93609941.22422978,58463.77247627993
JP-07,福島県,1897.9057875670485,88062.96609834461,167135213.028369,92273.8572202049
JP-08,茨城県,1879.286312586557,135201.0750619124,254081529.81083962,148512.83593647782
JP-09,栃木県,1907.7066749028058,92642.4093680606,176734542.73052743,97016.8547938557
JP-10,群馬県,1874.2677900142817,93834.76160357644,175871471.2572522,98885.18258215509
JP-11,埼玉県,2010.1039341500395,352891.0300567788,709347647.843391,382227.1922977922
JP-12,千葉県,2062.6200321400747,301333.5175589518,621536549.6723269,312504.97847133514
JP-13,東京都,2380.7194520680123,662067.2378574226,1576196351.7441053,687345.9308966948
JP-14,神奈川県,2172.5414204670215,434648.9723217951,944292895.7325239,460443.38892785204
JP-15,新潟県,1883.1892676015173,109097.20414365717,205450683.96866697,113331.0317431532
JP-16,富山県,1737.0331841847299,51006.13782917691,88599354.00638036,56961.89270824755
JP-17,石川県,1851.3376162742843,55384.268039779105,102534978.77186067,58354.32101906102
JP-18,福井県,1839.5650110824636,36946.746796048414,67965942.67933378,39040.36026133684
JP-19,山梨県,1816.3127997092743,39585.573669017096,71899784.13887016,41809.00938941761
JP-20,長野県,1771.6990883061933,99986.3229283665,177145677.17527556,110667.1989506693
JP-21,岐阜県,1903.0129175959419,94815.00966737594,180434188.17900053,99697.8840437477
JP-22,静岡県,2000.5492128309115,177945.5104348192,355988750.82717234,181386.36264157345
JP-23,愛知県,2115.269521587073,364561.78567935794,771146433.9829046,377071.1370589938
JP-24,三重県,1935.3706152302966,84066.78358149764,162700382.6605553,88419.74977509664
JP-25,滋賀県,1971.7167357837134,63575.85197449979,125353571.32982928,67341.05211980407
JP-26,京都府,1934.7862873871034,121229.83539730012,234553823.14889196,127879.6972396287
JP-27,大阪府,2124.3056247257714,432413.4909880657,918578411.1132547,447808.5104159071
JP-28,兵庫県,1973.0400027866845,263393.83482729085,519686572.6016334,279426.4642517014
JP-29,奈良県,1874.1730426333208,62523.82365192876,117180464.81080452,65698.90287521936
JP-30,和歌山県,1970.3052398338427,41800.87136425589,82360475.8786138,44527.53684997142
JP-31,鳥取県,2283.456555881099,25254.51705216298,57667592.52837257,21056.726872037718
JP-32,島根県,1819.564015006229,31892.00758846001,58029549.374267414,33924.41725490855
JP-33,岡山県,1916.4072157035866,89472.26883110395,171465301.59329873,92967.85142809579
JP-34,広島県,2043.9492249963691,133221.1097386744,272297184.0035198,131347.4873470972
JP-35,山口県,1895.8084700141303,64701.18207569053,122661048.99902053,67947.69221033796
JP-36,徳島県,1892.5121411176083,32710.830712652038,61905644.26973673,34801.2271792308
JP-37,香川県,1887.790394767232,45020.31180013466,84988912.18572009,46918.22760271319
JP-38,愛媛県,1901.3470008065935,64412.566930501715,122470640.94756341,67593.48992727867
JP-39,高知県,1859.9058696284774,33236.171309593024,61816150.10268966,34817.71574477484
JP-40,福岡県,2040.2187077133738,241231.73907325935,492165506.95149493,249904.46842202064
JP-41,佐賀県,1822.891791541442,38916.227164243486,70940071.05546154,41250.16841051649
JP-42,長崎県,1857.6966341574173,61292.4602775773,113862797.15688255,64874.83139360296
JP-43,熊本県,1782.2467084433474,82854.927173482,147667921.23325157,91280.76655173651
JP-44,大分県,1878.256874218721,53483.45912874404,100455674.7655595,56301.33689188664
JP-45,宮崎県,1864.4954534430308,51011.59702891139,95110890.7332733,53487.729247285606
JP-46,鹿児島県,1955.6253569590756,76728.93526096441,150053051.40881333,76740.08318342498
JP-47,沖縄県,1795.604505685152,69012.21368744213,123918641.8444776,76264.23489904577
