step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,45523.898432354326
1,3700.0,86947.38984323543,321705342.4199711,45523.898432354326
2,3700.0,82805.04070214732,306378650.5979451,45523.898432354326
3,3700.0,79076.92647516802,292584627.95812166,45523.898432354326
4,3700.0,75721.62367088665,280170007.5822806,45523.898432354326
5,3700.0,72701.85114703342,268996849.2440237,45523.898432354326
6,3700.0,69984.05587556551,258941006.73959237,45523.898432354326
7,3700.0,67538.04013124439,249890748.48560423,45523.898432354326
8,3700.0,65336.62596135538,241745516.05701488,45523.898432354326
9,3700.0,63355.35320845527,234414806.8712845,45523.898432354326
10,3700.0,61572.20773084518,227817168.60412717,45523.898432354326
11,3700.0,59967.37680099609,221879294.16368553,45523.898432354326
12,3700.0,58523.02896413192,216535207.1672881,45523.898432354326
13,3700.0,57223.11591095416,211725528.8705304,45523.898432354326
14,3700.0,56053.19416309418,207396818.4034485,45523.898432354326
15,3700.0,55000.2645900202,203500978.98307472,45523.898432354326
16,3700.0,54052.62797425361,199994723.50473836,45523.898432354326
17,3700.0,53199.75502006368,196839093.5742356,45523.898432354326
18,3700.0,52432.16936129275,193999026.6367832,45523.898432354326
19,3700.0,51741.342268398905,191442966.3930759,45523.898432354326
20,3700.0,51119.59788479445,189142512.17373943,45523.898432354326
21,3700.0,50560.02793955044,187072103.37633663,45523.898432354326
22,3700.0,50056.41498883083,185208735.45867407,45523.898432354326
23,3700.0,49603.16333318318,183531704.33277777,45523.898432354326
24,3700.0,49195.2368431003,182022376.3194711,45523.898432354326
25,3700.0,48828.1030020257,180663981.1074951,45523.898432354326
26,3700.0,48497.68254505857,179441425.4167167,45523.898432354326
27,3700.0,48200.304133788144,178341125.29501614,45523.898432354326
28,3700.0,47932.66356364476,177350855.1854856,45523.898432354326
29,3700.0,47691.78705051572,176459612.08690816,45523.898432354326
30,3700.0,47474.99818869958,175657493.29818845,45523.898432354326
31,3700.0,47279.88821306505,174935586.38834068,45523.898432354326
32,3700.0,47104.28923499398,174285870.16947773,45523.898432354326
33,3700.0,46946.25015473001,173701125.57250103,45523.898432354326
34,3700.0,46804.014982492445,173174855.43522206,45523.898432354326
35,3700.0,46676.00332747863,172701212.31167093,45523.898432354326
36,3700.0,46560.792837966204,172274933.50047496,45523.898432354326
37,3700.0,46457.103397405015,171891282.57039857,45523.898432354326
38,3700.0,46363.78290089995,171545996.7333298,45523.898432354326
39,3700.0,46279.79445404538,171235239.47996792,45523.898432354326
40,3700.0,46204.204851876275,170955557.9519422,45523.898432354326
41,3700.0,46136.17420992408,170703844.5767191,45523.898432354326
42,3700.0,46074.946632167106,170477302.5390183,45523.898432354326
43,3700.0,46019.84181218583,170273414.70508757,45523.898432354326
44,3700.0,45970.247474202675,170089915.6545499,45523.898432354326
45,3700.0,45925.61257001784,169924766.50906602,45523.898432354326
46,3700.0,45885.44115625149,169776132.2781305,45523.898432354326
47,3700.0,45849.28688386177,169642361.47028854,45523.898432354326
48,3700.0,45816.748038711026,169521967.7432308,45523.898432354326
49,3700.0,45787.46307807536,169413613.38887882,45523.898432354326
50,3700.0,45761.10661350325,169316094.46996203,45523.898432354326
51,3700.0,45737.385795388356,169228327.44293693,45523.898432354326
52,3339.6041983400346,50386.339059119186,168270429.4608189,92226.91843269666
53,2964.889682342694,59426.25254596915,176192283.0338352,140785.47392761882
54,2937.704456871559,67914.46295248918,199512620.50156584,144308.35661116947
55,2937.704456871559,75553.85231835721,221954888.68945357,144308.35661116947
56,2937.704456871559,82429.30274763843,242152930.05855247,144308.35661116947
57,2937.704456871559,88617.20813399153,260331167.2907415,144308.35661116947
58,2937.704456871559,94186.32298170932,276691580.79971164,144308.35661116947
59,2937.704456871559,99198.52634465534,291415952.9577848,144308.35661116947
60,2761.404130293422,105994.152433274,292692690.31619334,167154.78723084187
61,2428.709090040994,116421.54891062876,282754074.1158962,210268.11720682163
62,2334.996306834768,127020.61222562035,296592660.4387147,222412.18206054467
63,2277.504428556957,137304.7957406924,312712280.3615354,229862.44737634104
64,2222.583777275708,147272.2673845786,327324952.33157474,236979.51217955432
65,2051.5174043805473,158459.8090961056,325083056.2554796,259147.68449984863
66,2010.1192329562782,169065.06782152146,339840944.4490979,264512.3963502642
67,2010.1192329562782,178609.80067439572,359026995.5300901,264512.3963502642
68,2010.1192329562782,187200.06024198257,376294441.5029831,264512.3963502642
69,2010.1192329562782,194931.29385281075,391835142.8785868,264512.3963502642
70,2010.1192329562782,201889.4041025561,405821774.11663014,264512.3963502642
71,2010.1192329562782,208151.7033273269,418409742.2308691,264512.3963502642
72,2010.1192329562782,213787.77262962062,429738913.5336842,264512.3963502642
73,2010.1192329562782,218860.23500168498,439935167.7062178,264512.3963502642
74,2010.1192329562782,223425.4511365429,449111796.461498,264512.3963502642
75,2010.1192329562782,227534.145657915,457370762.3412502,264512.3963502642
76,2010.1192329562782,231231.97072714992,464803831.6330272,264512.3963502642
77,2010.1192329562782,234560.01328946135,471493593.99562645,264512.3963502642
78,2010.1192329562782,237555.25159554163,477514380.1219658,264512.3963502642
79,2010.1192329562782,240250.96607101389,482933087.63567126,264512.3963502642
80,2010.1192329562782,242677.1090989389,487809924.39800614,264512.3963502642
81,2010.1192329562782,244860.63782407143,492199077.4841075,264512.3963502642
82,2010.1192329562782,246825.8136766907,496149315.26159877,264512.3963502642
83,2010.1192329562782,248594.47194404807,499704529.2613409,264512.3963502642
84,2010.1192329562782,250186.2643846697,502904221.86110884,264512.3963502642
85,2010.1192329562782,251618.87758122914,505783945.2009,264512.3963502642
