step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1793.315981384163
1,3700.0,82574.33159813842,305525026.91311216,1793.315981384163
2,3700.0,74496.23003646299,275636051.1349131,1793.315981384163
3,3700.0,67225.9386309551,248735972.9345339,1793.315981384163
4,3700.0,60682.676365998006,224525902.55419263,1793.315981384163
5,3700.0,54793.74032753662,202736839.2118855,1793.315981384163
6,3700.0,49493.69789292138,183126682.2038091,1793.315981384163
7,3700.0,44723.65970176766,165477540.89654034,1793.315981384163
8,3700.0,40430.625329729315,149593313.71999848,1793.315981384163
9,3700.0,36566.8943948948,135297509.26111075,1793.315981384163
10,3700.0,33089.53655354374,122431285.24811184,1793.315981384163
11,3700.0,29959.91449632778,110851683.63641278,1793.315981384163
12,3700.0,27143.254644833414,100430042.18588364,1793.315981384163
13,3700.0,24608.260778488493,91050564.88040742,1793.315981384163
14,3700.0,22326.76629877806,82609035.30547883,1793.315981384163
15,3700.0,20273.42126703867,75011658.68804307,1793.315981384163
16,3700.0,18425.41073847322,68174019.73235092,1793.315981384163
17,3700.0,16762.201262764313,62020144.67222796,1793.315981384163
18,3700.0,15265.312734626295,56481657.1181173,1793.315981384163
19,3700.0,13918.113059302084,51497018.319417715,1793.315981384163
20,3700.0,12705.633351510292,47010843.40058808,1793.315981384163
21,3700.0,11614.40161449768,42973285.97364141,1793.315981384163
22,3700.0,10632.293051186329,39339484.28938941,1793.315981384163
23,3700.0,9748.39534420611,36069062.77356261,1793.315981384163
24,3700.0,8952.887407923916,33125683.409318488,1793.315981384163
25,3700.0,8236.93026526994,30476641.98149878,1793.315981384163
26,3700.0,7592.568836881363,28092504.69646104,1793.315981384163
27,3700.0,7012.643551331643,25946781.13992708,1793.315981384163
28,3700.0,6490.710794336895,24015629.93904651,1793.315981384163
29,3700.0,6020.971313041621,22277593.858253997,1793.315981384163
30,3700.0,5598.205779875875,20713361.38554074,1793.315981384163
31,3700.0,5217.716800026704,19305552.1600988,1793.315981384163
32,3700.0,4875.2767181624495,18038523.857201062,1793.315981384163
33,3700.0,4567.080644484621,16898198.3845931,1793.315981384163
34,3700.0,4289.704178174576,15871905.45924593,1793.315981384163
35,3700.0,4040.0653584955344,14948241.826433478,1793.315981384163
36,3700.0,3815.390420784397,14116944.556902269,1793.315981384163
37,3700.0,3613.1829768443736,13368777.014324185,1793.315981384163
38,3700.0,3431.1962772983525,12695426.226003904,1793.315981384163
39,3700.0,3267.4082477069337,12089410.516515655,1793.315981384163
40,3700.0,3119.9990210746564,11543996.37797623,1793.315981384163
41,3700.0,2987.330717105607,11053123.653290749,1793.315981384163
