step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1218.5702612910245
1,3700.0,82516.8570261291,305312370.9966777,1218.5702612910245
2,3700.0,74387.02834964529,275232004.89368755,1218.5702612910245
3,3700.0,67070.18254080987,248159675.4009965,1218.5702612910245
4,3700.0,60485.02131285798,223794578.85757452,1218.5702612910245
5,3700.0,54558.37620770128,201865991.9684947,1218.5702612910245
6,3700.0,49224.39561306025,182130263.76832297,1218.5702612910245
7,3700.0,44423.81307788333,164368108.3881683,1218.5702612910245
8,3700.0,40103.2887962241,148382168.54602918,1218.5702612910245
9,3700.0,36214.816942730795,133994822.68810394,1218.5702612910245
10,3700.0,32715.192274586818,121046211.41597122,1218.5702612910245
11,3700.0,29565.53007325724,109392461.27105178,1218.5702612910245
12,3700.0,26730.834092060617,98904086.14062428,1218.5702612910245
13,3700.0,24179.607708983654,89464548.52323954,1218.5702612910245
14,3700.0,21883.503964214397,80968964.66759327,1218.5702612910245
15,3700.0,19817.01059392206,73322939.19751161,1218.5702612910245
16,3700.0,17957.166560658956,66441516.274438135,1218.5702612910245
17,3700.0,16283.306930722165,60248235.643672,1218.5702612910245
18,3700.0,14776.833263779048,54674283.07598248,1218.5702612910245
19,3700.0,13421.006963530246,49657725.76506191,1218.5702612910245
20,3700.0,12200.763293306323,45142824.1852334,1218.5702612910245
21,3700.0,11102.543990104794,41079412.76338774,1218.5702612910245
22,3700.0,10114.146617223418,37422342.48372664,1218.5702612910245
23,3700.0,9224.58898163018,34130979.23203166,1218.5702612910245
24,3700.0,8423.987109596263,31168752.30550617,1218.5702612910245
25,3700.0,7703.445424765739,28502748.071633235,1218.5702612910245
26,3700.0,7054.957908418267,26103344.26114759,1218.5702612910245
27,3700.0,6471.319143705543,23943880.83171051,1218.5702612910245
28,3700.0,5946.044255464091,22000363.745217137,1218.5702612910245
29,3700.0,5473.296856046784,20251198.3673731,1218.5702612910245
30,3700.0,5047.824196571209,18676949.52731347,1218.5702612910245
31,3700.0,4664.89880304319,17260125.571259804,1218.5702612910245
32,3700.0,4320.265948867974,15984984.010811502,1218.5702612910245
33,3700.0,4010.096380110279,14837356.606408032,1218.5702612910245
34,3700.0,3730.9437682283537,13804491.942444908,1218.5702612910245
35,3700.0,3479.7064175346204,12874913.744878097,1218.5702612910245
36,3700.0,3253.5928019102607,12038293.367067965,1218.5702612910245
37,3700.0,3050.0905478483373,11285335.027038848,1218.5702612910245
38,3700.0,2866.9385191926062,10607672.521012643,1218.5702612910245
39,3700.0,2702.1016934024483,9997776.265589058,1218.5702612910245
40,3700.0,2553.748550191306,9448869.635707833,1218.5702612910245
41,3700.0,2420.2307213012778,8954853.668814728,1218.5702612910245
42,3700.0,2300.0646753002525,8510239.298610935,1218.5702612910245
43,3700.0,2191.91523389933,8110086.365427521,1218.5702612910245
44,3700.0,2094.5807366384993,7749948.725562448,1218.5702612910245
45,3700.0,2006.979689103752,7425824.849683882,1218.5702612910245
46,3700.0,1928.138746322479,7134113.361393172,1218.5702612910245
47,3700.0,1857.1818978193337,6871573.021931534,1218.5702612910245
48,3700.0,1793.3207341665025,6635286.716416059,1218.5702612910245
49,3700.0,1735.845686878955,6422629.041452132,1218.5702612910245
50,3700.0,1684.1181443201615,6231237.133984598,1218.5702612910245
51,3295.20004234738,2830.973035447427,9328622.466290653,13152.667055592814
52,2958.8162046589036,4854.851355193123,14364612.86095565,23069.756232904387
53,2958.8162046589036,6676.341842964249,19754068.43280491,23069.756232904387
54,2958.8162046589036,8315.683281958263,24604578.447469246,23069.756232904387
55,2958.8162046589036,9791.090577052875,28970037.460667145,23069.756232904387
56,2958.8162046589036,11118.957142638026,32898950.572545253,23069.756232904387
57,2958.8162046589036,12314.037051664662,36434972.37323555,23069.756232904387
58,2958.8162046589036,13389.608969788635,39617391.99385682,23069.756232904387
59,2765.0138404256895,14928.981506297536,41278840.48837184,28783.33433487764
60,2364.0592073658886,17496.489887385884,41362738.01485876,40604.06531718101
61,2004.0602245479158,20868.57726145365,41821885.63258433,51217.36362806356
62,1980.9666493912569,23971.53914665158,47486819.58409373,51898.19611343293
63,1980.9666493912569,26764.204843329717,53018997.19211212,51898.19611343293
64,1980.9666493912569,29277.60397034004,57997957.039328665,51898.19611343293
65,1953.148951684448,31621.67383972765,61761839.11057159,52718.30266421616
66,1898.2119206424622,33893.29915168081,64336664.47962157,54337.9269592593
67,1842.2582723374992,36102.7214988225,66510537.33510263,55987.52262309775
68,1800.2615526450602,38215.01410390914,68797020.62505634,57225.647549688845
69,1856.2152009500232,39951.117882103266,74157872.30770639,55576.0518858504
70,1954.1655689474253,41224.839223435025,80560161.39583004,52688.33129542085
71,1954.1655689474253,42371.18843063361,82800317.54652768,52688.33129542085
72,1856.2152009500232,43691.67477615528,81101150.87446414,55576.0518858504
73,1758.2648329526212,45168.88454616775,79418861.24122387,58463.77247627993
74,1758.2648329526212,46498.373339178965,81756454.63178012,58463.77247627993
75,1856.2152009500232,47406.14119384611,87995999.90240023,55576.0518858504
76,1954.1655689474253,47934.360204003584,93671676.28018749,52688.33129542085
77,1954.1655689474253,48409.75731314531,94600680.94244939,52688.33129542085
78,1856.2152009500232,49126.38677041582,91189145.89099596,55576.0518858504
79,1758.2648329526212,50060.12534100223,88018957.92028457,58463.77247627993
80,1758.2648329526212,50900.490054530004,89496541.64293475,58463.77247627993
81,1856.2152009500232,51368.04623766204,95350148.26945193,55576.0518858504
82,1954.1655689474253,51500.07474343792,100639672.8618453,52688.33129542085
83,1954.1655689474253,51618.900398636215,100871877.86594142,52688.33129542085
84,1856.2152009500232,52014.61554735764,96550320.05057666,55576.0518858504
85,1758.2648329526212,52659.53124024987,92589401.89950126,58463.77247627993
86,1758.2648329526212,53239.955363852874,93609941.22422978,58463.77247627993
87,1856.2152009500232,53473.56501605263,99258444.23178627,55576.0518858504
88,1954.1655689474253,53395.04164398945,104342751.93319811,52688.33129542085
89,1954.1655689474253,53324.37060913259,104204649.03015895,52688.33129542085
90,1856.2152009500232,53549.53873680437,99399467.80711837,55576.0518858504
91,1758.2648329526212,54040.96211075192,95018323.21826015,58463.77247627993
92,1758.2648329526212,54483.24314730472,95795970.41111277,58463.77247627993
93,1856.2152009500232,54592.52402115929,101335472.94630516,55576.0518858504
94,1954.1655689474253,54402.10474858544,106310719.9779569,52688.33129542085
95,1954.1655689474253,54230.72740326898,105975820.27044186,52688.33129542085
96,1856.2152009500232,54365.259851527124,100913621.74000265,55576.0518858504
97,1758.2648329526212,54775.11111400241,96309151.5928227,58463.77247627993
98,1758.2648329526212,55143.977250230164,96957715.94821908,58463.77247627993
99,1856.2152009500232,55187.18471379219,102439291.16337782,55576.0518858504
100,1954.1655689474253,54937.29937195505,107356578.88363157,52688.33129542085
