step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,4703.547235778271
1,3700.0,82865.35472357782,306601812.47723794,4703.547235778271
2,3700.0,75049.17397479787,277681943.7067521,4703.547235778271
3,3700.0,68014.61130089591,251654061.81331488,4703.547235778271
4,3700.0,61683.50489438414,228228968.1092213,4703.547235778271
5,3700.0,55985.509128523554,207146383.77553716,4703.547235778271
6,3700.0,50857.31293924902,188172057.87522137,4703.547235778271
7,3700.0,46241.936368901945,171095164.5649372,4703.547235778271
8,3700.0,42088.09745558958,155725960.58568144,4703.547235778271
9,3700.0,38349.64243360845,141893677.0043513,4703.547235778271
10,3700.0,34985.03291382543,129444621.7811541,4703.547235778271
11,3700.0,31956.884346020714,118240472.08027664,4703.547235778271
12,3700.0,29231.55063499647,108156737.34948696,4703.547235778271
13,3700.0,26778.75029507465,99081376.0917762,4703.547235778271
14,3700.0,24571.229989145013,90913550.95983654,4703.547235778271
15,3700.0,22584.461713808338,83562508.34109084,4703.547235778271
16,3700.0,20796.37026600533,76946569.98421973,4703.547235778271
17,3700.0,19187.087962982627,70992225.46303572,4703.547235778271
18,3700.0,17738.733890262192,65633315.39397011,4703.547235778271
19,3700.0,16435.2152248138,60810296.33181106,4703.547235778271
20,3700.0,15262.048425910249,56469579.17586792,4703.547235778271
21,3700.0,14206.198306897051,52562933.73551909,4703.547235778271
22,3700.0,13255.933199785171,49046952.83920514,4703.547235778271
23,3700.0,12400.694603384483,45882570.03252259,4703.547235778271
24,3700.0,11630.979866623862,43034625.50650829,4703.547235778271
25,3700.0,10938.236603539302,40471475.43309542,4703.547235778271
26,3700.0,10314.7676667632,38164640.36702383,4703.547235778271
27,3700.0,9753.645623664706,36088488.807559416,4703.547235778271
28,3700.0,9248.635784876064,34219952.40404143,4703.547235778271
29,3700.0,8794.126929966284,32538269.64087525,4703.547235778271
30,3700.0,8385.068960547482,31024755.15402568,4703.547235778271
31,3700.0,8016.916788070561,29662592.115861077,4703.547235778271
32,3700.0,7685.579832841332,28436645.38151293,4703.547235778271
33,3700.0,7387.376573135026,27333293.320599597,4703.547235778271
34,3700.0,7118.99363939935,26340276.465777595,4703.547235778271
35,3700.0,6877.448999037242,25446561.296437796,4703.547235778271
36,3700.0,6660.058822711345,24642217.644031975,4703.547235778271
37,3700.0,6464.407664018037,23918308.35686674,4703.547235778271
38,3700.0,6288.321621194061,23266789.998418026,4703.547235778271
39,3700.0,6129.844182652481,22680423.475814182,4703.547235778271
40,3700.0,5987.2144879650605,22152693.605470724,4703.547235778271
41,3700.0,5858.847762746382,21677736.722161613,4703.547235778271
42,3700.0,5743.31771004957,21250275.52718341,4703.547235778271
43,3700.0,5639.3406626224405,20865560.45170303,4703.547235778271
44,3700.0,5545.761319938024,20519316.88377069,4703.547235778271
45,3700.0,5461.539911522049,20207697.67263158,4703.547235778271
46,3700.0,5385.740643947671,19927240.382606383,4703.547235778271
47,3700.0,5317.521303130731,19674828.821583707,4703.547235778271
48,3700.0,5256.123896395486,19447658.416663297,4703.547235778271
49,3700.0,5200.866230333764,19243205.05223493,4703.547235778271
50,3700.0,5151.134330878215,19059197.024249397,4703.547235778271
51,3351.6981726539825,6798.900838884717,22787863.517745536,21628.799410943233
52,2961.9131671499963,10175.997759071633,30140421.751483127,40569.870040753885
53,2876.290496714126,13631.456674282275,39208029.288608454,44730.58691117805
54,2876.290496714126,16741.36969797185,48153042.56425428,44730.58691117805
55,2876.290496714126,19540.291419292473,56203554.512335524,44730.58691117805
56,2876.290496714126,22059.32096848103,63449015.265608646,44730.58691117805
57,2876.290496714126,24326.447562750735,69969929.94355446,44730.58691117805
58,2876.290496714126,26366.861497593465,75838753.15370567,44730.58691117805
59,2713.143651638039,28996.023877447988,78670378.10584301,52658.48529613871
60,2412.1210732965365,32825.04817574253,79177990.43668258,67286.26686039337
61,2157.4258996879717,37508.82649693701,80922513.75139435,79662.83138768731
62,2157.4258996879717,41724.226986012036,90016927.94408216,79662.83138768731
63,2157.4258996879717,45518.08742617956,98201900.7175012,79662.83138768731
64,2029.6929372853633,49553.26272884533,100577907.3801834,85869.84045283723
65,1905.2242665452725,53789.759027713335,102481554.19122209,91918.22571752539
66,1897.9057875670485,57638.16884696249,109391814.23941687,92273.8572202049
67,1897.9057875670485,61101.73768428673,115965341.5814114,92273.8572202049
68,1897.9057875670485,64218.94963787855,121881516.18920651,92273.8572202049
69,1897.9057875670485,67024.44039611118,127206073.3362221,92273.8572202049
70,1897.9057875670485,69549.38207852055,131998174.7685361,92273.8572202049
71,1897.9057875670485,71821.82959268898,136311066.05761874,92273.8572202049
72,1897.9057875670485,73867.03235544058,140192668.2177931,92273.8572202049
73,1897.9057875670485,75707.71484191701,143686110.16195002,92273.8572202049
74,1897.9057875670485,77364.3290797458,146830207.91169128,92273.8572202049
75,1897.9057875670485,78855.28189379172,149659895.8864584,92273.8572202049
76,1897.9057875670485,80197.13942643303,152206615.06374878,92273.8572202049
77,1897.9057875670485,81404.81120581021,154498662.32331014,92273.8572202049
78,1897.9057875670485,82491.71580724968,156561504.85691535,92273.8572202049
79,1897.9057875670485,83469.9299485452,158418063.13716006,92273.8572202049
80,1897.9057875670485,84350.32267571117,160088965.58938026,92273.8572202049
81,1897.9057875670485,85142.67613016054,161592777.7963785,92273.8572202049
82,1897.9057875670485,85855.79423916498,162946208.78267688,92273.8572202049
83,1897.9057875670485,86497.60053726897,164164296.67034543,92273.8572202049
84,1897.9057875670485,87075.22620556256,165260575.7692471,92273.8572202049
85,1897.9057875670485,87595.08930702679,166247226.95825863,92273.8572202049
86,1897.9057875670485,88062.96609834461,167135213.028369,92273.8572202049
87,1897.9057875670485,88484.05521053064,167934400.49146837,92273.8572202049
88,1897.9057875670485,88863.03541149807,168653669.20825776,92273.8572202049
89,1897.9057875670485,89204.11759236876,169301011.05336824,92273.8572202049
90,1897.9057875670485,89511.09155515236,169883618.71396762,92273.8572202049
91,1897.9057875670485,89787.36812165762,170407965.60850713,92273.8572202049
92,1897.9057875670485,90036.01703151235,170879877.81359264,92273.8572202049
93,1897.9057875670485,90259.8010503816,171304598.7981696,92273.8572202049
94,1897.9057875670485,90461.20666736393,171686847.6842889,92273.8572202049
95,1897.9057875670485,90642.47172264803,172030871.68179622,92273.8572202049
96,1897.9057875670485,90805.61027240372,172340493.27955285,92273.8572202049
97,1897.9057875670485,90952.43496718384,172619152.7175338,92273.8572202049
98,1897.9057875670485,91084.57719248594,172869946.21171665,92273.8572202049
99,1897.9057875670485,91203.50519525784,173095660.35648122,92273.8572202049
100,1897.9057875670485,91310.54039775254,173298803.08676934,92273.8572202049
