step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,5356.741379886167
1,3700.0,82930.67413798862,306843494.3105579,5356.741379886167
2,3700.0,75173.28086217838,278141139.19006,5356.741379886167
3,3700.0,68191.62691394915,252309019.58161184,5356.741379886167
4,3700.0,61908.13836054285,229060111.93400857,5356.741379886167
5,3700.0,56252.998662477185,208136095.0511656,5356.741379886167
6,3700.0,51163.37293421808,189304479.8566069,5356.741379886167
7,3700.0,46582.70977878489,172356026.1815041,5356.741379886167
8,3700.0,42460.11293889502,157102417.8739116,5356.741379886167
9,3700.0,38749.77578299413,143374170.3970783,5356.741379886167
10,3700.0,35410.47234268334,131018747.66792835,5356.741379886167
11,3700.0,32405.09924640362,119898867.2116934,5356.741379886167
12,3700.0,29700.263459751877,109890974.80108194,5356.741379886167
13,3700.0,27265.911251765305,100883871.63153164,5356.741379886167
14,3700.0,25074.99426457739,92777478.77893636,5356.741379886167
15,3700.0,23103.16897610827,85481725.2116006,5356.741379886167
16,3700.0,21328.52621648606,78915547.00099842,5356.741379886167
17,3700.0,19731.34773282607,73005986.61145645,5356.741379886167
18,3700.0,18293.88709753208,67687382.2608687,5356.741379886167
19,3700.0,17000.172525767488,62900638.34533971,5356.741379886167
20,3700.0,15835.829411179357,58592568.82136362,5356.741379886167
21,3700.0,14787.920608050035,54715306.24978514,5356.741379886167
22,3700.0,13844.80268523365,51225769.93536451,5356.741379886167
23,3700.0,12995.9965546989,48085187.25238593,5356.741379886167
24,3700.0,12232.071037217627,45258662.83770522,5356.741379886167
25,3700.0,11544.53807148448,42714790.86449258,5356.741379886167
26,3700.0,10925.758402324647,40425306.0886012,5356.741379886167
27,3700.0,10368.856700080802,38364769.79029897,5356.741379886167
28,3700.0,9867.64516806134,36510287.121826954,5356.741379886167
29,3700.0,9416.554789243824,34841252.72020214,5356.741379886167
30,3700.0,9010.573448308058,33339121.758739814,5356.741379886167
31,3700.0,8645.190241465869,31987203.893423714,5356.741379886167
32,3700.0,8316.345355307898,30770477.814639226,5356.741379886167
33,3700.0,8020.384957765725,29675424.34373318,5356.741379886167
34,3700.0,7754.020599977769,28689876.219917744,5356.741379886167
35,3700.0,7514.292677968609,27802882.90848385,5356.741379886167
36,3700.0,7298.537548160364,27004588.928193346,5356.741379886167
37,3700.0,7104.357931332945,26286124.345931895,5356.741379886167
38,3700.0,6929.5962761882665,25639506.221896585,5356.741379886167
39,3700.0,6772.310786558057,25057549.91026481,5356.741379886167
40,3700.0,6630.7538458908675,24533789.22979621,5356.741379886167
41,3700.0,6503.352599290398,24062404.617374472,5356.741379886167
42,3700.0,6388.691477349975,23638158.466194905,5356.741379886167
43,3700.0,6285.496467603594,23256336.930133294,5356.741379886167
44,3700.0,6192.620958831852,22912697.547677852,5356.741379886167
45,3700.0,6109.033000937283,22603422.103467945,5356.741379886167
46,3700.0,6033.803838832171,22325074.203679033,5356.741379886167
47,3700.0,5966.097592937571,22074561.09386901,5356.741379886167
48,3700.0,5905.16197163243,21849099.295039993,5356.741379886167
49,3700.0,5850.319912457804,21646183.676093876,5356.741379886167
50,3700.0,5800.96205920064,21463559.61904237,5356.741379886167
51,3344.514565489765,7577.617495297763,25343452.084733438,23567.516420171858
52,2988.918104122109,10998.253659174548,32872879.47563404,41783.97913406562
53,2988.918104122109,14076.826206663656,42074480.69767755,41783.97913406562
54,2988.918104122109,16847.54149940385,50355921.79751671,41783.97913406562
55,2988.918104122109,19341.18526287003,57809218.78737196,41783.97913406562
56,2988.918104122109,21585.46464998959,64517186.07824169,41783.97913406562
57,2988.918104122109,23605.316098397194,70554356.64002444,41783.97913406562
58,2988.918104122109,25423.182401964037,75987810.14562891,41783.97913406562
59,2812.058881293221,27965.274870093337,78639999.5662521,50844.107083257055
60,2474.8432924026934,31980.642998864067,79147079.8124639,68118.95615780063
61,2114.2278627467176,37441.831710587074,79160563.83479679,86592.53011609415
62,2114.2278627467176,42356.90155113778,89552141.43903516,86592.53011609415
63,2114.2278627467176,46780.464407633415,98904561.28284968,86592.53011609415
64,2114.2278627467176,50761.67097847949,107321739.14228277,86592.53011609415
65,2066.5289033821887,54589.1086811799,112809970.89952981,89036.04800548367
66,2066.5289033821887,58033.80261361028,119928530.47420244,89036.04800548367
67,1995.4314934754696,61498.24430828869,122715533.4862078,92678.21956039435
68,1874.2677900142817,65236.93813567533,122271491.86685061,98885.18258215509
69,1874.2677900142817,68601.76258032331,128578073.94250701,98885.18258215509
70,1874.2677900142817,71630.1045805065,134253997.81059778,98885.18258215509
71,1874.2677900142817,74355.61238067136,139362329.29187948,98885.18258215509
72,1874.2677900142817,76808.56940081973,143959827.625033,98885.18258215509
73,1874.2677900142817,79016.23071895327,148097576.12487113,98885.18258215509
74,1874.2677900142817,81003.12590527345,151821549.7747255,98885.18258215509
75,1874.2677900142817,82791.33157296162,155173126.0595944,98885.18258215509
76,1874.2677900142817,84400.71667388096,158189544.71597642,98885.18258215509
77,1874.2677900142817,85849.16326470838,160904321.50672022,98885.18258215509
78,1874.2677900142817,87152.76519645305,163347620.61838967,98885.18258215509
79,1874.2677900142817,88326.00693502325,165546589.81889215,98885.18258215509
80,1874.2677900142817,89381.92449973643,167525662.09934437,98885.18258215509
81,1874.2677900142817,90332.25030797829,169306827.1517514,98885.18258215509
82,1874.2677900142817,91187.54353539598,170909875.69891772,98885.18258215509
83,1874.2677900142817,91957.30744007189,172352619.3913674,98885.18258215509
84,1874.2677900142817,92650.09495428021,173651088.71457213,98885.18258215509
85,1874.2677900142817,93273.6037170677,174819711.10545638,98885.18258215509
86,1874.2677900142817,93834.76160357644,175871471.2572522,98885.18258215509
87,1874.2677900142817,94339.8037014343,176818055.39386842,98885.18258215509
88,1874.2677900142817,94794.34158950638,177669981.11682305,98885.18258215509
89,1874.2677900142817,95203.42568877125,178436714.2674822,98885.18258215509
90,1874.2677900142817,95571.60137810964,179126774.10307544,98885.18258215509
91,1874.2677900142817,95902.95949851419,179747827.95510936,98885.18258215509
92,1874.2677900142817,96201.18180687827,180306776.42193985,98885.18258215509
93,1874.2677900142817,96469.58188440595,180809830.04208732,98885.18258215509
94,1874.2677900142817,96711.14195418087,181262578.30022007,98885.18258215509
95,1874.2677900142817,96928.54601697829,181670051.7325395,98885.18258215509
96,1874.2677900142817,97124.20967349596,182036777.821627,98885.18258215509
97,1874.2677900142817,97300.30696436188,182366831.30180576,98885.18258215509
98,1874.2677900142817,97458.7945261412,182663879.43396664,98885.18258215509
99,1874.2677900142817,97601.43333174259,182931222.75291145,98885.18258215509
100,1874.2677900142817,97729.80825678384,183171831.73996174,98885.18258215509
