step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,64514.87736701849
1,3700.0,88846.48773670185,328732004.62579685,64514.87736701849
2,3700.0,86413.32669973352,319729308.789014,64514.87736701849
3,3700.0,84223.481766462,311626882.5359094,64514.87736701849
4,3700.0,82252.62132651765,304334698.9081153,64514.87736701849
5,3700.0,80478.84693056773,297771733.6431006,64514.87736701849
6,3700.0,78882.44997421281,291865064.9045874,64514.87736701849
7,3700.0,77445.69271349338,286549063.0399255,64514.87736701849
8,3700.0,76152.6111788459,281764661.3617298,64514.87736701849
9,3700.0,74988.83779766316,277458699.8513537,64514.87736701849
10,3700.0,73941.4417545987,273583334.4920152,64514.87736701849
11,3700.0,72998.78531584068,270095505.6686105,64514.87736701849
12,3700.0,72150.39452095846,266956459.7275463,64514.87736701849
13,3700.0,71386.84280556446,264131318.3805885,64514.87736701849
14,3700.0,70699.64626170986,261588691.16832647,64514.87736701849
15,3700.0,70081.16937224072,259300326.67729068,64514.87736701849
16,3700.0,69524.5401717185,257240798.63535845,64514.87736701849
17,3700.0,69023.5738912485,255387223.39761943,64514.87736701849
18,3700.0,68572.70423882549,253719005.6836543,64514.87736701849
19,3700.0,68166.92155164479,252217609.7410857,64514.87736701849
20,3700.0,67801.71713318216,250866353.392774,64514.87736701849
21,3700.0,67473.0331565658,249650222.67929345,64514.87736701849
22,3700.0,67177.21757761107,248555705.03716096,64514.87736701849
23,3700.0,66910.98355655182,247570639.1592417,64514.87736701849
24,3700.0,66671.37293759848,246684079.8691144,64514.87736701849
25,3700.0,66455.72338054048,245886176.50799975,64514.87736701849
26,3700.0,66261.63877918829,245168063.48299667,64514.87736701849
27,3700.0,66086.9626379713,244521761.7604938,64514.87736701849
28,3700.0,65929.75411087602,243940090.2102413,64514.87736701849
29,3700.0,65788.26643649026,243416585.81501395,64514.87736701849
30,3700.0,65660.92752954309,242945431.8593094,64514.87736701849
31,3700.0,65546.32251329062,242521393.2991753,64514.87736701849
32,3700.0,65443.17799866341,242139758.5950546,64514.87736701849
33,3700.0,65350.34793549892,241796287.361346,64514.87736701849
34,3700.0,65266.80087865087,241487163.25100824,64514.87736701849
35,3700.0,65191.60852748763,241208951.55170423,64514.87736701849
36,3700.0,65123.93541144072,240958561.02233064,64514.87736701849
37,3700.0,65063.0296069985,240733209.54589444,64514.87736701849
38,3700.0,65008.21438300049,240530393.2171018,64514.87736701849
39,3700.0,64958.88068140229,240347858.52118847,64514.87736701849
40,3700.0,64914.48034996391,240183577.29486647,64514.87736701849
41,3700.0,64874.520051669366,240035724.19117665,64514.87736701849
42,3700.0,64838.55578320427,239902656.39785585,64514.87736701849
43,3700.0,64806.1879415857,239782895.38386708,64514.87736701849
44,3700.0,64777.05688412898,239675110.4712772,64514.87736701849
45,3700.0,64750.83893241793,239578104.0499463,64514.87736701849
46,3700.0,64727.24277587799,239490798.27074856,64514.87736701849
47,3700.0,64706.00623499204,239412223.06947055,64514.87736701849
48,3700.0,64686.89334819469,239341505.38832036,64514.87736701849
49,3700.0,64669.691750077065,239277859.4752851,64514.87736701849
50,3700.0,64654.21031177121,239220578.1535535,64514.87736701849
51,3700.0,64640.277017295935,239169024.96399495,64514.87736701849
52,3263.635085594149,71236.72100016152,232490662.03880864,130604.7168459518
53,2883.2960166298076,82933.9626334891,239123164.10446444,188209.1373334374
54,2883.2960166298076,93461.48010348393,269477113.2907012,188209.1373334374
55,2883.2960166298076,102936.24582647928,296795667.5583144,188209.1373334374
56,2883.2960166298076,111463.53497717509,321382366.39916617,188209.1373334374
57,2883.2960166298076,119138.09521280132,343510395.3559328,188209.1373334374
58,2883.2960166298076,126045.19942486493,363425621.41702276,188209.1373334374
59,2883.2960166298076,132261.59321572218,381349324.87200373,188209.1373334374
60,2661.1464918808465,141220.9229969344,375809563.8134671,221854.89102784416
61,2158.8752089571635,156891.4915426257,338709151.58768713,297926.60845384764
62,2062.6200321400747,172452.84023549664,355704682.86918724,312504.97847133514
63,2062.6200321400747,186458.0540590805,384592117.4561164,312504.97847133514
64,2062.6200321400747,199062.74650030595,410590808.5843526,312504.97847133514
65,2062.6200321400747,210406.96969740887,433989630.59976524,312504.97847133514
66,2062.6200321400747,220616.77057480149,455048570.4136365,312504.97847133514
67,2062.6200321400747,229805.59136445486,474001616.24612075,312504.97847133514
68,2062.6200321400747,238075.5300751429,491059357.49535656,312504.97847133514
69,2062.6200321400747,245518.4749147621,506411324.6196687,312504.97847133514
70,2062.6200321400747,252217.1252704194,520228095.03154975,312504.97847133514
71,2062.6200321400747,258245.910590511,532663188.40224266,312504.97847133514
72,2062.6200321400747,263671.8173785934,543854772.4358662,312504.97847133514
73,2062.6200321400747,268555.13348786754,553927198.0661274,312504.97847133514
74,2062.6200321400747,272950.1179862143,562992381.1333625,312504.97847133514
75,2062.6200321400747,276905.6040347264,571151045.8938742,312504.97847133514
76,2062.6200321400747,280465.54147838725,578493844.1783346,312504.97847133514
77,2062.6200321400747,283669.485177682,585102362.6343489,312504.97847133514
78,2062.6200321400747,286553.0345070473,591050029.244762,312504.97847133514
79,2062.6200321400747,289148.2289034761,596402929.1941335,312504.97847133514
80,2062.6200321400747,291483.903860262,601220539.148568,312504.97847133514
81,2062.6200321400747,293586.0113213693,605556388.1075591,312504.97847133514
82,2062.6200321400747,295477.90803636593,609458652.1706512,312504.97847133514
83,2062.6200321400747,297180.6150798629,612970689.827434,312504.97847133514
84,2062.6200321400747,298713.0514190101,616131523.7185384,312504.97847133514
85,2062.6200321400747,300092.24412424257,618976274.2205324,312504.97847133514
86,2062.6200321400747,301333.5175589518,621536549.6723269,312504.97847133514
87,2062.6200321400747,302450.6636501901,623840797.5789421,312504.97847133514
88,2062.6200321400747,303456.0951323046,625914620.6948956,312504.97847133514
89,2062.6200321400747,304360.98346620763,627781061.499254,312504.97847133514
90,2062.6200321400747,305175.3829667204,629460858.2231764,312504.97847133514
91,2062.6200321400747,305908.3425171819,630972675.2747067,312504.97847133514
92,2062.6200321400747,306568.0061125972,632333310.6210839,312504.97847133514
93,2062.6200321400747,307161.70334847097,633557882.4328233,312504.97847133514
94,2062.6200321400747,307696.0308607574,634659997.0633888,312504.97847133514
95,2062.6200321400747,308176.92562181514,635651900.2308978,312504.97847133514
96,2062.6200321400747,308609.73090676713,636544613.0816559,312504.97847133514
97,2062.6200321400747,308999.2556632239,637348054.647338,312504.97847133514
98,2062.6200321400747,309349.82794403506,638071152.0564522,312504.97847133514
99,2062.6200321400747,309665.34299676504,638721939.7246548,312504.97847133514
100,2062.6200321400747,309949.30654422205,639307648.6260371,312504.97847133514
