step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,136989.29455115693
1,3700.0,96093.92945511568,355547538.9839281,136989.29455115693
2,3700.0,100183.4659647198,370678824.0694633,136989.29455115693
3,3700.0,103864.04882336353,384296980.64644504,136989.29455115693
4,3700.0,107176.57339614286,396553321.5657286,136989.29455115693
5,3700.0,110157.84551164426,407584028.39308375,136989.29455115693
6,3700.0,112840.99041559552,417511664.53770345,136989.29455115693
7,3700.0,115255.82082915166,426446537.06786114,136989.29455115693
8,3700.0,117429.1682013522,434487922.3450031,136989.29455115693
9,3700.0,119385.18083633269,441725169.09443086,136989.29455115693
10,3700.0,121145.59220781508,448238691.1689158,136989.29455115693
11,3700.0,122729.96244214928,454100861.0359523,136989.29455115693
12,3700.0,124155.89565305004,459376813.9162851,136989.29455115693
13,3700.0,125439.23554286073,464125171.5085847,136989.29455115693
14,3700.0,126594.24144369036,468398693.3416543,136989.29455115693
15,3700.0,127633.746754437,472244862.99141693,136989.29455115693
16,3700.0,128569.301534109,475706415.67620325,136989.29455115693
17,3700.0,129411.3008358138,478821813.092511,136989.29455115693
18,3700.0,130169.1002073481,481625670.767188,136989.29455115693
19,3700.0,130851.119641729,484149142.6743973,136989.29455115693
20,3700.0,131464.9371326718,486420267.39088565,136989.29455115693
21,3700.0,132017.3728745203,488464279.63572514,136989.29455115693
22,3700.0,132514.56504218397,490303890.65608066,136989.29455115693
23,3700.0,132962.03799308126,491959540.57440066,136989.29455115693
24,3700.0,133364.76364888882,493449625.50088865,136989.29455115693
25,3700.0,133727.21673911565,494790701.9347278,136989.29455115693
26,3700.0,134053.42452031976,495997670.7251831,136989.29455115693
27,3700.0,134347.0115234035,497083942.6365929,136989.29455115693
28,3700.0,134611.23982617882,498061587.35686165,136989.29455115693
29,3700.0,134849.04529867662,498941467.6051035,136989.29455115693
30,3700.0,135063.07022392465,499733359.8285212,136989.29455115693
31,3700.0,135255.69265664788,500446062.8295972,136989.29455115693
32,3700.0,135429.05284609878,501087495.5305655,136989.29455115693
33,3700.0,135585.0770166046,501664784.961437,136989.29455115693
34,3700.0,135725.49877005984,502184345.44922143,136989.29455115693
35,3700.0,135851.87834816956,502651949.88822734,136989.29455115693
36,3700.0,135965.6199684683,503072793.88333267,136989.29455115693
37,3700.0,136067.98742673715,503451553.47892743,136989.29455115693
38,3700.0,136160.11813917913,503792437.1149628,136989.29455115693
39,3700.0,136243.0357803769,504099232.38739455,136989.29455115693
40,3700.0,136317.6616574549,504375348.1325832,136989.29455115693
41,3700.0,136384.8249468251,504623852.3032529,136989.29455115693
42,3700.0,136445.27190725828,504847506.0568557,136989.29455115693
43,3700.0,136499.67417164816,505048794.43509823,136989.29455115693
44,3700.0,136548.63620959903,505229953.9755165,136989.29455115693
45,3700.0,136592.70204375483,505392997.56189287,136989.29455115693
