step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,7334.7178724726255
1,3700.0,83128.47178724727,307575345.6128149,7334.7178724726255
2,3700.0,75549.0963957698,279531656.66434824,7334.7178724726255
3,3700.0,68727.65854344008,254292336.6107283,7334.7178724726255
4,3700.0,62588.36447634333,231576948.56247035,7334.7178724726255
5,3700.0,57062.99981595626,211133099.31903815,7334.7178724726255
6,3700.0,52090.17162160789,192733634.9999492,7334.7178724726255
7,3700.0,47614.626246694366,176174117.11276916,7334.7178724726255
8,3700.0,43586.63540927219,161270551.0143071,7334.7178724726255
9,3700.0,39961.44365559223,147857341.52569124,7334.7178724726255
10,3700.0,36698.77107728027,135785452.985937,7334.7178724726255
11,3700.0,33762.3657567995,124920753.30015816,7334.7178724726255
12,3700.0,31119.600968366816,115142523.58295722,7334.7178724726255
13,3700.0,28741.1126587774,106342116.83747636,7334.7178724726255
14,3700.0,26600.47318014692,98421750.7665436,7334.7178724726255
15,3700.0,24673.89764937949,91293421.30270413,7334.7178724726255
16,3700.0,22939.979671688805,84877924.78524858,7334.7178724726255
17,3700.0,21379.453491767188,79103977.9195386,7334.7178724726255
18,3700.0,19974.979929837733,73907425.74039961,7334.7178724726255
19,3700.0,18710.953724101226,69230528.77917452,7334.7178724726255
20,3700.0,17573.330138938363,65021321.51407194,7334.7178724726255
21,3700.0,16549.468912291788,61233034.97547962,7334.7178724726255
22,3700.0,15627.993808309871,57823577.09074652,7334.7178724726255
23,3700.0,14798.666214726149,54755064.99448674,7334.7178724726255
24,3700.0,14052.271380500795,51993404.10785294,7334.7178724726255
25,3700.0,13380.516029697978,49507909.309882514,7334.7178724726255
26,3700.0,12775.936213975445,47270963.991709135,7334.7178724726255
27,3700.0,12231.814379825162,45257713.2053531,7334.7178724726255
28,3700.0,11742.104729089908,43445787.49763266,7334.7178724726255
29,3700.0,11301.36604342818,41815054.36068426,7334.7178724726255
30,3700.0,10904.701226332623,40347394.5374307,7334.7178724726255
31,3700.0,10547.702890946624,39026500.69650251,7334.7178724726255
32,3700.0,10226.404389099223,37837696.23966713,7334.7178724726255
33,3700.0,9937.235737436566,36767772.22851529,7334.7178724726255
34,3700.0,9676.983950940172,35804840.61847863,7334.7178724726255
35,3700.0,9442.757343093415,34938202.16944564,7334.7178724726255
36,3700.0,9231.953396031338,34158227.565315954,7334.7178724726255
37,3700.0,9042.229843675466,33456250.421599224,7334.7178724726255
38,3700.0,8871.478646555182,32824470.992254175,7334.7178724726255
39,3700.0,8717.802569146927,32255869.50584363,7334.7178724726255
40,3700.0,8579.494099479496,31744128.168074135,7334.7178724726255
41,3700.0,8455.016476778808,31283560.96408159,7334.7178724726255
42,3700.0,8342.98661634819,30869050.4804883,7334.7178724726255
43,3700.0,8242.159741960633,30495991.045254342,7334.7178724726255
44,3700.0,8151.415555011832,30160237.55354378,7334.7178724726255
45,3700.0,8069.745786757911,29858059.41100427,7334.7178724726255
46,3700.0,7996.242995329383,29586099.08271872,7334.7178724726255
47,3700.0,7930.0904830437075,29341334.787261717,7334.7178724726255
48,3700.0,7870.553221986599,29121046.921350416,7334.7178724726255
49,3700.0,7816.969687035202,28922787.84203025,7334.7178724726255
50,3700.0,7768.744505578944,28744354.670642093,7334.7178724726255
51,3355.778386208891,9733.598484846974,32663799.415485084,27417.28429825924
52,2976.6604743821204,13713.815579595901,40821372.788748845,49535.76943233624
53,2970.2361686873564,17333.49162868814,51484563.76516903,49910.57607051832
54,2970.2361686873564,20591.20007287116,61160727.21311965,49910.57607051832
55,2970.2361686873564,23523.137672635876,69869274.31627521,49910.57607051832
56,2970.2361686873564,26161.88151242412,77706966.70911519,49910.57607051832
57,2970.2361686873564,28536.75096823354,84760889.8626712,49910.57607051832
58,2970.2361686873564,30674.13347846202,91109420.7008716,49910.57607051832
59,2804.5465765051867,33564.44342853249,94133044.90979281,59577.2329791667
60,2344.296712303408,38850.91067508437,91078062.16559367,86429.11589405133
61,1967.1994651047412,45808.790755252805,90115028.67082833,108429.71147676866
62,1967.1994651047412,52070.88282740439,102433812.84560157,108429.71147676866
63,1967.1994651047412,57706.76569234082,113520718.6028975,108429.71147676866
64,1967.1994651047412,62779.06027078361,123498933.78446382,108429.71147676866
65,1943.322021884511,67483.4310945502,131142037.75836536,109822.76850844949
66,1860.445343292895,72200.88369015558,134325797.84298187,114657.95705060397
67,1800.312589009901,76797.41734967078,138259357.2580597,118166.22028530769
