step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1391.0745754525851
1,3700.0,82534.10745754527,305376197.5929175,1391.0745754525851
2,3700.0,74419.804169336,275353275.4265432,1391.0745754525851
3,3700.0,67116.93120994765,248332645.4768063,1391.0745754525851
4,3700.0,60544.345546498145,224014078.5220431,1391.0745754525851
5,3700.0,54629.01844939359,202127368.2627563,1391.0745754525851
6,3700.0,49305.224061999485,182429329.02939808,1391.0745754525851
7,3700.0,44513.8091133448,164701093.71937576,1391.0745754525851
8,3700.0,40201.53565955558,148745681.94035563,1391.0745754525851
9,3700.0,36320.48955114528,134385811.33923754,1391.0745754525851
10,3700.0,32827.54805357601,121461927.79823124,1391.0745754525851
11,3700.0,29683.900705763663,109830432.61132556,1391.0745754525851
12,3700.0,26854.618092732555,99362086.94311044,1391.0745754525851
13,3700.0,24308.263741004557,89940575.84171686,1391.0745754525851
14,3700.0,22016.54482444936,81461215.85046263,1391.0745754525851
15,3700.0,19953.99779954968,73829791.85833383,1391.0745754525851
16,3700.0,18097.70547713997,66961510.26541789,1391.0745754525851
17,3700.0,16427.042386971232,60780056.83179356,1391.0745754525851
18,3700.0,14923.445605819368,55216748.74153166,1391.0745754525851
19,3700.0,13570.20850278269,50209771.46029595,1391.0745754525851
20,3700.0,12352.29511004968,45703491.90718381,1391.0745754525851
21,3700.0,11256.17305658997,41647840.30938289,1391.0745754525851
22,3700.0,10269.663208476231,37997753.87136205,1391.0745754525851
23,3700.0,9381.804345173869,34712676.077143304,1391.0745754525851
24,3700.0,8582.73136820174,31756106.062346436,1391.0745754525851
25,3700.0,7863.565688926824,29095193.04902925,1391.0745754525851
26,3700.0,7216.3165775794,26700371.33704378,1391.0745754525851
27,3700.0,6633.792377366719,24545031.79625686,1391.0745754525851
28,3700.0,6109.520597175306,22605226.20954863,1391.0745754525851
29,3700.0,5637.675995003034,20859401.181511223,1391.0745754525851
30,3700.0,5213.0158530479885,19288158.656277556,1391.0745754525851
31,3700.0,4830.821725288448,17874040.38356726,1391.0745754525851
32,3700.0,4486.847010304861,16601333.938127987,1391.0745754525851
33,3700.0,4177.269766819633,15455898.137232644,1391.0745754525851
34,3700.0,3898.6502476829287,14425005.916426836,1391.0745754525851
35,3700.0,3647.892680459894,13497202.917701608,1391.0745754525851
36,3700.0,3422.210869959163,12662180.218848905,1391.0745754525851
37,3700.0,3219.097240508506,11910659.78988147,1391.0745754525851
38,3700.0,3036.2949740029135,11234291.40381078,1391.0745754525851
39,3700.0,2871.7729341478807,10625559.85634716,1391.0745754525851
40,3700.0,2723.7030982783513,10077701.4636299,1391.0745754525851
41,3700.0,2590.4402459957746,9584628.910184368,1391.0745754525851
42,3700.0,2470.5036789414557,9140863.612083388,1391.0745754525851
43,3700.0,2362.560768592569,8741474.843792506,1391.0745754525851
44,3700.0,2265.4121492785703,8382024.95233071,1391.0745754525851
45,3700.0,2177.978391895972,8058520.050015097,1391.0745754525851
46,3700.0,2099.2880102516333,7767365.637931043,1391.0745754525851
47,3700.0,2028.4666667717288,7505326.667055395,1391.0745754525851
48,3700.0,1964.7274576398145,7269491.593267312,1391.0745754525851
49,3700.0,1907.3621694210913,7057240.026858037,1391.0745754525851
50,3700.0,1855.7334100242408,6866213.61708969,1391.0745754525851
51,3327.6235220207623,2956.679475426279,9838716.169504495,12865.194064044626
52,2949.98211975593,5111.165811802513,15077847.755925218,24501.542839188623
53,2949.98211975593,7050.203514541125,20797974.308536734,24501.542839188623
54,2949.98211975593,8795.337447005875,25946088.2058871,24501.542839188623
55,2949.98211975593,10365.95798622415,30579390.71350243,24501.542839188623
56,2949.98211975593,11779.516471520597,34749362.970356226,24501.542839188623
57,2949.98211975593,13051.7191082874,38502338.00152464,24501.542839188623
58,2949.98211975593,14196.701481377522,41880015.52957621,24501.542839188623
59,2784.332460214491,15737.60560854408,43818726.14192291,29605.7427530431
60,2433.982350518057,18203.960931882164,44308119.61772143,40401.15884192493
61,2209.141858031115,21116.486748301635,46649314.77023249,47329.21909607689
62,2209.141858031115,23737.759983079162,52440079.19451615,47329.21909607689
63,2167.9445763577264,26223.847997459892,56851849.037322596,48598.64012688647
64,2141.1863483518778,28543.777935300168,61117547.64545227,49423.14737586264
65,1953.3601904444004,31210.467809887574,60965285.34498082,55210.67668117423
66,1851.3376162742843,33924.85313080492,62806356.72763957,58354.32101906102
67,1851.3376162742843,36367.79991963053,67329076.01234889,58354.32101906102
68,1851.3376162742843,38566.45202957358,71399523.36858729,58354.32101906102
69,1851.3376162742843,40545.238928522325,75062925.98920184,58354.32101906102
70,1851.3376162742843,42326.1471375762,78359988.34775494,58354.32101906102
71,1851.3376162742843,43928.96452572468,81327344.47045273,58354.32101906102
72,1851.3376162742843,45371.50017505832,83997964.98088074,58354.32101906102
73,1851.3376162742843,46669.78225945859,86401523.44026594,58354.32101906102
74,1851.3376162742843,47838.23613541883,88564726.05371264,58354.32101906102
75,1851.3376162742843,48889.84462378305,90511608.40581465,58354.32101906102
76,1851.3376162742843,49836.29226331085,92263802.52270646,58354.32101906102
77,1851.3376162742843,50688.09513888587,93840777.2279091,58354.32101906102
78,1851.3376162742843,51454.717726903385,95260054.46259147,58354.32101906102
79,1851.3376162742843,52144.67805611915,96537403.9738056,58354.32101906102
80,1851.3376162742843,52765.642352413335,97687018.53389832,58354.32101906102
81,1851.3376162742843,53324.5102190781,98721671.63798177,58354.32101906102
82,1851.3376162742843,53827.4912990764,99652859.43165688,58354.32101906102
83,1851.3376162742843,54280.17427107486,100490928.44596447,58354.32101906102
