step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,346.6625641273131
1,3700.0,82429.66625641273,304989765.1487271,346.6625641273131
2,3700.0,74221.36588718419,274619053.7825815,346.6625641273131
3,3700.0,66833.8955548785,247285413.5530505,346.6625641273131
4,3700.0,60185.17225580338,222685137.3464725,346.6625641273131
5,3700.0,54201.32128663577,200544888.76055235,346.6625641273131
6,3700.0,48815.855414384925,180618665.03322425,346.6625641273131
7,3700.0,43968.936129359165,162685063.67862892,346.6625641273131
8,3700.0,39606.70877283598,146544822.4594931,346.6625641273131
9,3700.0,35680.70415196511,132018605.3622709,346.6625641273131
10,3700.0,32147.299993181332,118945009.97477092,346.6625641273131
11,3700.0,28967.236250275928,107178774.12602094,346.6625641273131
12,3700.0,26105.178881661064,96589161.86214592,346.6625641273131
13,3700.0,23529.32724990769,87058510.82465845,346.6625641273131
14,3700.0,21211.060781329652,78480924.89091972,346.6625641273131
15,3700.0,19124.62095960942,70761097.55055486,346.6625641273131
16,3700.0,17246.82512006121,63813252.94422648,346.6625641273131
17,3700.0,15556.80886446782,57560192.798530936,346.6625641273131
18,3700.0,14035.79423443377,51932438.66740495,346.6625641273131
19,3700.0,12666.881067403125,46867459.94939156,346.6625641273131
20,3700.0,11434.859217075544,42308979.103179514,346.6625641273131
21,3700.0,10326.03955178072,38206346.34158867,346.6625641273131
22,3700.0,9328.10185301538,34513976.85615691,346.6625641273131
23,3700.0,8429.957924126573,31190844.31926832,346.6625641273131
24,3700.0,7621.628388126646,28200025.036068592,346.6625641273131
25,3700.0,6894.131805726713,25508287.681188837,346.6625641273131
26,3700.0,6239.3848815667725,23085724.06179706,346.6625641273131
27,3700.0,5650.112649822827,20905416.80434446,346.6625641273131
28,3700.0,5119.7676412532755,18943140.27263712,346.6625641273131
29,3700.0,4642.457133540679,17177091.394100513,346.6625641273131
30,3700.0,4212.8776765993425,15587647.403417569,346.6625641273131
31,3700.0,3826.25616535214,14157147.811802916,346.6625641273131
32,3700.0,3478.296805229657,12869698.17934973,346.6625641273131
33,3700.0,3165.1333811194227,11710993.510141864,346.6625641273131
34,3700.0,2883.286299420212,10668159.307854785,346.6625641273131
35,3700.0,2629.623925890922,9729608.52579641,346.6625641273131
36,3700.0,2401.327789714561,8884912.821943875,346.6625641273131
37,3700.0,2195.861267155836,8124686.688476594,346.6625641273131
38,3700.0,2010.941396852984,7440483.16835604,346.6625641273131
39,3700.0,1844.5135135804169,6824700.000247542,346.6625641273131
40,3700.0,1694.7284186351062,6270495.148949893,346.6625641273131
41,3700.0,1559.921833184327,5771710.78278201,346.6625641273131
42,3700.0,1438.5959062786255,5322804.853230914,346.6625641273131
43,3700.0,1329.4025720634943,4918789.516634929,346.6625641273131
44,3700.0,1231.128571269876,4555175.713698542,346.6625641273131
45,3700.0,1142.68197055562,4227923.291055794,346.6625641273131
46,3700.0,1063.080029912789,3933396.110677321,346.6625641273131
47,3700.0,991.4382833342416,3668321.648336694,346.6625641273131
48,3700.0,926.9607114135488,3429754.6322301305,346.6625641273131
49,3700.0,868.9308966849252,3215044.3177342233,346.6625641273131
50,3700.0,816.704063429164,3021805.0346879065,346.6625641273131
51,3352.074829568182,1493.3216173550113,5005725.805985781,7582.879602687637
52,2913.055314502423,3015.358953287965,8783907.424007969,16713.69497668455
53,2913.055314502423,4385.192555627624,12774308.47928751,16713.69497668455
54,2913.055314502423,5618.042797733317,16365669.429039098,16713.69497668455
55,2913.055314502423,6727.60801562844,19597894.283815525,16713.69497668455
56,2913.055314502423,7726.2167117340505,22506896.653114308,16713.69497668455
57,2913.055314502423,8624.9645382291,25124998.785483215,16713.69497668455
58,2913.055314502423,9433.837582074644,27481290.704615228,16713.69497668455
59,2749.9096795736773,10501.136864667025,28877177.91067583,20106.830407998452
60,2447.1651685108272,12091.360287018486,29589555.73430672,26403.371088181637
61,2195.8882345408933,14045.172142530473,30841628.25988418,31629.47884213835
62,2195.8882345408933,15803.602812491261,34702945.47930693,31629.47884213835
63,2195.8882345408933,17386.19041545597,38178130.97678741,31629.47884213835
64,2141.91654942791,18922.770644515615,40530995.60451663,32751.992706052428
65,2046.2118270645751,20504.741439702597,41957044.44482056,34742.47859638545
66,1959.5393171415499,22108.77836895252,43323020.46793109,36545.11073220183
67,1898.7911797163895,23678.756792247157,44961014.54376845,37808.56260189889
68,1898.7911797163895,25091.73737321233,47643969.608015664,37808.56260189889
