step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,5645.072263780952
1,3700.0,82959.50722637809,306950176.73759896,5645.072263780952
2,3700.0,75228.06373011837,278343835.801438,5645.072263780952
3,3700.0,68269.76458348463,252598128.95889315,5645.072263780952
4,3700.0,62007.295351514265,229426992.8006028,5645.072263780952
5,3700.0,56371.073042740936,208572970.25814143,5645.072263780952
6,3700.0,51298.472964844936,189804349.96992627,5645.072263780952
7,3700.0,46733.132894738534,172912591.71053258,5645.072263780952
8,3700.0,42624.32683164278,157710009.27707827,5645.072263780952
9,3700.0,38926.40137485659,144027685.0869694,5645.072263780952
10,3700.0,35598.26846374903,131713593.31587142,5645.072263780952
11,3700.0,32602.948843752223,120630910.72188322,5645.072263780952
12,3700.0,29907.161185755096,110656496.38729386,5645.072263780952
13,3700.0,27480.95229355768,101679523.48616342,5645.072263780952
14,3700.0,25297.364290580008,93600247.87514605,5645.072263780952
15,3700.0,23332.135087900104,86328899.82523039,5645.072263780952
16,3700.0,21563.428805488187,79784686.58030629,5645.072263780952
17,3700.0,19971.593151317466,73894894.65987462,5645.072263780952
18,3700.0,18538.941062563816,68594081.93148611,5645.072263780952
19,3700.0,17249.55418268553,63823350.47593646,5645.072263780952
20,3700.0,16089.105990795071,59529692.16594176,5645.072263780952
21,3700.0,15044.70261809366,55665399.68694654,5645.072263780952
22,3700.0,14104.739582662389,52187536.45585084,5645.072263780952
23,3700.0,13258.772850774243,49057459.547864705,5645.072263780952
24,3700.0,12497.402792074916,46240390.33067719,5645.072263780952
25,3700.0,11812.16973924552,43705028.03520842,5645.072263780952
26,3700.0,11195.459991699065,41423201.96928653,5645.072263780952
27,3700.0,10640.421218907251,39369558.50995683,5645.072263780952
28,3700.0,10140.88632339462,37521279.396560095,5645.072263780952
29,3700.0,9691.304917433254,35857828.19450304,5645.072263780952
30,3700.0,9286.681652068024,34360722.11265169,5645.072263780952
31,3700.0,8922.520713239317,33013326.638985474,5645.072263780952
32,3700.0,8594.77586829348,31800670.712685876,5645.072263780952
33,3700.0,8299.805507842228,30709280.379016243,5645.072263780952
34,3700.0,8034.3321834361,29727029.07871357,5645.072263780952
35,3700.0,7795.406191470585,28843002.908441167,5645.072263780952
36,3700.0,7580.372798701622,28047379.355196,5645.072263780952
37,3700.0,7386.842745209555,27331318.157275353,5645.072263780952
38,3700.0,7212.6656970666945,26686863.07914677,5645.072263780952
39,3700.0,7055.906353738121,26106853.508831047,5645.072263780952
40,3700.0,6914.822944742404,25584844.895546895,5645.072263780952
41,3700.0,6787.847876646259,25115037.14359116,5645.072263780952
42,3700.0,6673.570315359728,24692210.16683099,5645.072263780952
43,3700.0,6570.720510201851,24311665.88774685,5645.072263780952
44,3700.0,6478.155685559761,23969176.036571115,5645.072263780952
45,3700.0,6394.84734338188,23660935.170512956,5645.072263780952
46,3700.0,6319.869835421787,23383518.39106061,5645.072263780952
47,3700.0,6252.390078257703,23133843.2895535,5645.072263780952
48,3700.0,6191.658296810028,22909135.698197104,5645.072263780952
49,3700.0,6136.99969350712,22706898.865976345,5645.072263780952
50,3700.0,6087.806950534504,22524885.716977663,5645.072263780952
51,3361.9664861497213,7812.772825023902,26266280.401631642,23337.465695428487
52,3022.4463676673145,11142.262220434714,33676889.97574965,41107.66677913201
53,2996.50933286125,14274.554962819584,42773837.16852976,42465.18964428341
54,2996.50933286125,17093.618430965966,51221187.1607586,42465.18964428341
55,2996.50933286125,19630.77555229771,58823802.15376455,42465.18964428341
56,2996.50933286125,21914.21696149628,65666155.647469915,42465.18964428341
57,2996.50933286125,23969.314229774995,71824273.79180475,42465.18964428341
58,2996.50933286125,25818.901771225836,77366580.12170608,42465.18964428341
59,2800.95876464526,28507.02599519765,79847004.31521913,52700.144010944
60,2375.042386376032,33155.54875502633,78745833.6367446,74992.2535934844
61,2074.7956976125492,38910.68547712974,80731722.81910388,90706.91597606042
62,2074.7956976125492,44090.308527022804,91478382.43827681,90706.91597606042
63,2074.7956976125492,48751.969271926566,101150376.09553245,90706.91597606042
64,2074.7956976125492,52947.46394233995,109855170.38706252,90706.91597606042
65,2067.171153591282,56763.31537602173,117339488.12751658,91105.97827915777
66,2067.171153591282,60197.58166633533,124438704.3366038,91105.97827915777
67,2016.9548669438464,63551.249202263265,128180001.37886612,93734.25702561463
68,1903.0129175959419,67165.91268641171,127817599.46436264,99697.8840437477
69,1903.0129175959419,70419.10982214531,134008475.6371498,99697.8840437477
70,1903.0129175959419,73346.98724430555,139580264.19265825,99697.8840437477
71,1903.0129175959419,75982.07692424976,144594873.89261582,99697.8840437477
72,1903.0129175959419,78353.65763619955,149108022.62257767,99697.8840437477
73,1903.0129175959419,80488.08027695437,153169856.4795433,99697.8840437477
74,1903.0129175959419,82409.0606536337,156825506.9508124,99697.8840437477
75,1903.0129175959419,84137.9429926451,160115592.37495458,99697.8840437477
76,1903.0129175959419,85693.93709775536,163076669.25668254,99697.8840437477
77,1903.0129175959419,87094.3317923546,165741638.45023772,99697.8840437477
78,1903.0129175959419,88354.68701749391,168140110.7244374,99697.8840437477
79,1903.0129175959419,89489.00672011929,170298735.77121705,99697.8840437477
80,1903.0129175959419,90509.89445248213,172241498.31331876,99697.8840437477
81,1903.0129175959419,91428.69341160869,173989984.60121033,99697.8840437477
82,1903.0129175959419,92255.6124748226,175563622.26031274,99697.8840437477
83,1903.0129175959419,92999.8396317151,176979896.15350488,99697.8840437477
84,1903.0129175959419,93669.64407291837,178254542.6573778,99697.8840437477
85,1903.0129175959419,94272.4680700013,179401724.51086345,99697.8840437477
86,1903.0129175959419,94815.00966737594,180434188.17900053,99697.8840437477
87,1903.0129175959419,95303.29710501312,181363405.48032388,99697.8840437477
88,1903.0129175959419,95742.75579888657,182199701.05151492,99697.8840437477
89,1903.0129175959419,96138.26862337269,182952367.06558684,99697.8840437477
90,1903.0129175959419,96494.23016541019,183629766.47825158,99697.8840437477
91,1903.0129175959419,96814.59555324394,184239425.94964984,99697.8840437477
92,1903.0129175959419,97102.92440229432,184788119.47390828,99697.8840437477
93,1903.0129175959419,97362.42036643965,185281943.64574087,99697.8840437477
94,1903.0129175959419,97595.96673417045,185726385.40039018,99697.8840437477
95,1903.0129175959419,97806.15846512817,186126382.9795746,99697.8840437477
96,1903.0129175959419,97995.33102299013,186486380.80084056,99697.8840437477
97,1903.0129175959419,98165.58632506589,186810378.83997992,99697.8840437477
98,1903.0129175959419,98318.81609693407,187101977.07520536,99697.8840437477
99,1903.0129175959419,98456.72289161543,187364415.48690823,99697.8840437477
100,1903.0129175959419,98580.83900682865,187600610.05744082,99697.8840437477
