step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,22010.05655148049
1,3700.0,84596.00565514805,313005220.92404777,22010.05655148049
2,3700.0,78337.4107447813,289848419.7556908,22010.05655148049
3,3700.0,72704.67532545122,269007298.7041695,22010.05655148049
4,3700.0,67635.21344805414,250250289.7578003,22010.05655148049
5,3700.0,63072.697758396775,233368981.70606807,22010.05655148049
6,3700.0,58966.433637705144,218175804.45950904,22010.05655148049
7,3700.0,55270.79592908268,204501944.93760592,22010.05655148049
8,3700.0,51944.721991322454,192195471.36789307,22010.05655148049
9,3700.0,48951.255447338255,181119645.15515155,22010.05655148049
10,3700.0,46257.13555775248,171151401.56368417,22010.05655148049
11,3700.0,43832.427657125285,162179982.33136356,22010.05655148049
12,3700.0,41650.19054656081,154105705.02227497,22010.05655148049
13,3700.0,39686.177147052775,146838855.44409525,22010.05655148049
14,3700.0,37918.565087495546,140298690.8237335,22010.05655148049
15,3700.0,36327.71423389404,134412542.66540796,22010.05655148049
16,3700.0,34895.948465652684,129115009.32291491,22010.05655148049
17,3700.0,33607.35927423547,124347229.31467123,22010.05655148049
18,3700.0,32447.62900195997,120056227.30725189,22010.05655148049
19,3700.0,31403.87175691202,116194325.50057448,22010.05655148049
20,3700.0,30464.490236368867,112718613.8745648,22010.05655148049
21,3700.0,29619.046867880028,109590473.4111561,22010.05655148049
22,3700.0,28858.14783624007,106775146.99408828,22010.05655148049
23,3700.0,28173.338707764116,104241353.21872725,22010.05655148049
24,3700.0,27557.010492135752,101960938.82090227,22010.05655148049
25,3700.0,27002.315098070227,99908565.86285985,22010.05655148049
26,3700.0,26503.089243411257,98061430.20062163,22010.05655148049
27,3700.0,26053.78597421818,96399008.10460728,22010.05655148049
28,3700.0,25649.41303194441,94902828.2181943,22010.05655148049
29,3700.0,25285.477383898015,93556266.32042266,22010.05655148049
30,3700.0,24957.935300656267,92344360.6124282,22010.05655148049
31,3700.0,24663.14742573869,91253645.47523317,22010.05655148049
32,3700.0,24397.83833831287,90272001.85175765,22010.05655148049
33,3700.0,24159.060159629633,89388522.59062964,22010.05655148049
34,3700.0,23944.15979881472,88593391.25561446,22010.05655148049
35,3700.0,23750.749474081294,87877773.0541008,22010.05655148049
36,3700.0,23576.680181821215,87233716.67273849,22010.05655148049
37,3700.0,23420.017818787142,86654065.92951243,22010.05655148049
38,3700.0,23279.02169205648,86132380.26060897,22010.05655148049
39,3700.0,23152.12517799888,85662863.15859585,22010.05655148049
40,3700.0,23037.91831534704,85240297.76678404,22010.05655148049
41,3700.0,22935.132138960384,84859988.91415341,22010.05655148049
42,3700.0,22842.624580212396,84517710.94678587,22010.05655148049
43,3700.0,22759.367777339205,84209660.77615505,22010.05655148049
44,3700.0,22684.436654753332,83932415.62258732,22010.05655148049
45,3700.0,22616.998644426047,83682894.98437637,22010.05655148049
46,3700.0,22556.30443513149,83458326.40998651,22010.05655148049
47,3700.0,22501.679646766388,83256214.69303563,22010.05655148049
48,3700.0,22452.5173372378,83074314.14777985,22010.05655148049
49,3700.0,22408.271258662066,82910603.65704964,22010.05655148049
50,3700.0,22368.449787943908,82763264.21539246,22010.05655148049
51,3274.8250694002086,26319.946278474592,86193219.89801532,61883.41469325073
52,2900.5164769157896,33386.59899396473,96838380.49017483,96986.473433376
53,2900.5164769157896,39746.58643790586,115285628.86430362,96986.473433376
54,2900.5164769157896,45470.57513745288,131888152.40101951,96986.473433376
55,2900.5164769157896,50622.16496704519,146830423.58406383,96986.473433376
56,2900.5164769157896,55258.59581367827,160278467.6488037,96986.473433376
57,2900.5164769157896,59431.38357564805,172381707.3070696,96986.473433376
58,2900.5164769157896,63186.89256142084,183274622.9995089,96986.473433376
59,2674.07991875065,68690.39682462714,183683610.75974885,118221.93519348386
60,2244.0133285215925,77676.76098104466,174307686.9578502,158554.0383888023
61,2024.9975284509887,87818.44223751855,177832128.483391,179093.57354578367
62,2024.9975284509887,96945.95536834506,196315320.01421863,179093.57354578367
63,2024.9975284509887,105160.71718608892,212950192.39196348,179093.57354578367
64,1961.7103495699953,113147.51673073224,221962654.59882164,185028.71263252213
65,1922.871486309079,120699.8713200061,232090340.9624147,188671.06262347082
66,1922.871486309079,127496.99045035258,245160327.52720392,188671.06262347082
67,1961.7103495699953,133250.16266856954,261398223.18881828,185028.71263252213
68,2000.5492128309115,138063.78266586992,276203391.7326641,181386.36264157345
69,2000.5492128309115,142396.04066344028,284870287.0594839,181386.36264157345
70,1961.7103495699953,146659.30786034846,287703082.09041774,185028.71263252213
71,1922.871486309079,150860.4833366607,290085321.8188708,188671.06262347082
72,1922.871486309079,154641.54126534172,297355810.2980144,188671.06262347082
73,1961.7103495699953,157680.25840205976,309322994.83019185,185028.71263252213
74,2000.5492128309115,160050.86882601114,320189639.64278007,181386.36264157345
75,2000.5492128309115,162184.41820756736,324457910.1785882,181386.36264157345
76,1961.7103495699953,164468.84765006285,322640240.61697906,185028.71263252213
77,1922.871486309079,166889.06914740364,320906232.4402067,188671.06262347082
78,1922.871486309079,169067.26849501036,325094629.8572167,188671.06262347082
79,1961.7103495699953,170663.41290876153,334792183.39605504,185028.71263252213
80,2000.5492128309115,171735.7078820427,343565735.2183799,181386.36264157345
81,2000.5492128309115,172700.7733579958,345496396.19662815,181386.36264157345
82,1961.7103495699953,173933.56728544843,341207279.0814933,185028.71263252213
83,1922.871486309079,175407.31681925067,337285728.0017201,188671.06262347082
84,1922.871486309079,176733.69139967268,339836175.8625787,188671.06262347082
85,1961.7103495699953,177563.19352295762,348327554.4366859,185028.71263252213
