step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,93632.41974788648
1,3700.0,91758.24197478865,339505495.306718,93632.41974788648
2,3700.0,91945.65975209844,340198941.0827642,93632.41974788648
3,3700.0,92114.33575167724,340823042.2812058,93632.41974788648
4,3700.0,92266.14415129815,341384733.3598032,93632.41974788648
5,3700.0,92402.771710957,341890255.3305409,93632.41974788648
6,3700.0,92525.73651464994,342345225.1042048,93632.41974788648
7,3700.0,92636.4048379736,342754697.90050226,93632.41974788648
8,3700.0,92736.00632896488,343123223.41717005,93632.41974788648
9,3700.0,92825.64767085704,343454896.38217103,93632.41974788648
10,3700.0,92906.32487856,343753402.05067194,93632.41974788648
11,3700.0,92978.93436549263,344022057.15232277,93632.41974788648
12,3700.0,93044.28290373202,344263846.74380845,93632.41974788648
13,3700.0,93103.09658814748,344481457.37614566,93632.41974788648
14,3700.0,93156.02890412135,344677306.9452491,93632.41974788648
15,3700.0,93203.66798849788,344853571.5574421,93632.41974788648
16,3700.0,93246.54316443672,345012209.7084159,93632.41974788648
17,3700.0,93285.1308227817,345154984.04429233,93632.41974788648
18,3700.0,93319.8597152922,345283480.94658107,93632.41974788648
19,3700.0,93351.11571855162,345399128.158641,93632.41974788648
20,3700.0,93379.2461214851,345503210.6494949,93632.41974788648
21,3700.0,93404.56348412525,345596884.8912634,93632.41974788648
22,3700.0,93427.34911050137,345681191.70885503,93632.41974788648
23,3700.0,93447.85617423987,345757067.8446875,93632.41974788648
24,3700.0,93466.31253160452,345825356.3669368,93632.41974788648
25,3700.0,93482.92325323272,345886816.0369611,93632.41974788648
26,3700.0,93497.8729026981,345942129.73998296,93632.41974788648
27,3700.0,93511.32758721696,345991912.0727027,93632.41974788648
28,3700.0,93523.4368032839,346036716.17215043,93632.41974788648
29,3700.0,93534.33509774416,346077039.8616534,93632.41974788648
30,3700.0,93544.1435627584,346113331.18220603,93632.41974788648
31,3700.0,93552.9711812712,346145993.3707034,93632.41974788648
32,3700.0,93560.91603793272,346175389.34035105,93632.41974788648
33,3700.0,93568.0664089281,346201845.713034,93632.41974788648
34,3700.0,93574.50174282394,346225656.44844854,93632.41974788648
35,3700.0,93580.2935433302,346247086.1103217,93632.41974788648
36,3700.0,93585.50616378582,346266372.8060075,93632.41974788648
37,3700.0,93590.19752219589,346283730.83212477,93632.41974788648
38,3700.0,93594.41974476496,346299353.0556303,93632.41974788648
39,3700.0,93598.2197450771,346313413.0567853,93632.41974788648
40,3700.0,93601.63974535804,346326067.05782473,93632.41974788648
41,3700.0,93604.71774561088,346337455.6587603,93632.41974788648
42,3700.0,93607.48794583844,346347705.3996023,93632.41974788648
43,3700.0,93609.98112604326,346356930.1663601,93632.41974788648
44,3700.0,93612.22498822758,346365232.45644206,93632.41974788648
45,3700.0,93614.24446419349,346372704.51751584,93632.41974788648
46,3700.0,93616.06199256275,346379429.37248224,93632.41974788648
47,3700.0,93617.69776809514,346385481.741952,93632.41974788648
48,3700.0,93619.16996607427,346390928.8744748,93632.41974788648
49,3700.0,93620.4949442555,346395831.29374534,93632.41974788648
50,3700.0,93621.6874246186,346400243.47108877,93632.41974788648
51,3294.6870738675457,100872.02969401507,332341772.3476547,166125.1101185833
52,3294.6870738675457,107397.33773647189,353840620.40814114,166125.1101185833
53,3294.6870738675457,113270.11497468303,373189583.66257894,166125.1101185833
54,3294.6870738675457,118555.61448907306,390603650.59157294,166125.1101185833
55,3294.6870738675457,123312.56405202408,406276310.82766753,166125.1101185833
56,3294.6870738675457,127593.81865868001,420381705.0401527,166125.1101185833
57,3294.6870738675457,131446.94780467034,433076559.83138937,166125.1101185833
58,3271.621264822605,135327.31010736508,442739705.45849866,170250.5708316178
59,3014.951343449151,143410.33436332576,432375180.25320095,216157.55266697204
60,2472.5313794448816,160386.56827638077,396560822.90483046,313172.67349387583
61,2246.6632169932795,179704.96872574076,403736543.1470494,353570.5727699807
62,2246.6632169932795,197091.52913016477,442798288.8777006,353570.5727699807
63,2246.6632169932795,212739.43349414636,477953860.0352867,353570.5727699807
64,2210.4124946392762,227470.91371401626,502804549.84047425,360054.23569284554
65,2115.6121330263964,242424.8082338338,512876865.6460962,377009.8589121917
66,2002.534174482711,257905.78159911023,516465141.44889253,397234.54188659805
67,2002.1915630433878,271844.7854425392,544285335.870392,397295.82003340014
68,2115.269521587073,282367.4206041847,597283198.6931896,377071.1370589938
69,2228.6900915700817,289809.19613754476,645894883.8776364,356785.17593778536
70,2228.6900915700817,296506.7941175688,660821754.1330358,356785.17593778536
71,2115.269521587073,304563.2284117113,644233314.455455,377071.1370589938
72,2001.8489516040645,313842.6153885604,628265510.5842673,397357.0981802022
73,2001.8489516040645,322194.0636677246,644983848.5662878,397357.0981802022
74,2115.269521587073,327681.7710068515,693135262.9904677,377071.1370589938
75,2228.6900915700817,330592.1114999449,736787363.2511588,356785.17593778536
76,2228.6900915700817,333211.4179437289,742624985.569206,356785.17593778536
77,2115.269521587073,337597.3898552554,714109469.3281707,377071.1370589938
78,2001.8489516040645,343573.36068775004,687781971.8918575,397357.0981802022
79,2001.8489516040645,348951.73443699523,698548663.7431189,397357.0981802022
80,2115.269521587073,351763.6746991951,744074979.8926772,377071.1370589938
81,2228.6900915700817,352265.82482305414,785091353.3819028,356785.17593778536
82,2228.6900915700817,352717.7599345273,786098576.6868757,356785.17593778536
83,2115.269521587073,355153.0976469739,751244522.9498816,377071.1370589938
84,2001.8489516040645,359373.49770029675,719411459.6056247,397357.0981802022
85,2001.8489516040645,363171.85774828726,727015202.6855093,397357.0981802022
86,2115.269521587073,364561.78567935794,771146433.9829046,377071.1370589938
87,2228.6900915700817,363784.12470520067,810762074.2009757,356785.17593778536
88,2228.6900915700817,363084.22982845915,809202225.4240412,356785.17593778536
89,2115.269521587073,364482.9205515126,770979612.9816573,377071.1370589938
90,2001.8489516040645,367770.3383143816,736220666.1857169,397357.0981802022
91,2001.8489516040645,370729.01430096367,742143488.6075923,397357.0981802022
92,2115.269521587073,371363.2265767667,785533314.6160691,377071.1370589938
93,2228.6900915700817,369905.42151286855,824404547.7437847,356785.17593778536
94,2228.6900915700817,368593.39695536025,821480451.6125693,356785.17593778536
95,2115.269521587073,369441.1709657236,781467648.9632342,377071.1370589938
96,2001.8489516040645,372232.76368717145,745153767.7398477,397357.0981802022
97,2001.8489516040645,374745.19713647454,750183280.00631,397357.0981802022
98,2115.269521587073,374977.79112872644,793179092.8466386,377071.1370589938
99,2228.6900915700817,373158.5296096323,831654717.5258485,356785.17593778536
100,2228.6900915700817,371521.1942424476,828005604.4164267,356785.17593778536
