step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,4462.954097243171
1,3700.0,82841.29540972432,306512793.01598,4462.954097243171
2,3700.0,75003.4612784762,277512806.73036194,4462.954097243171
3,3700.0,67949.4105603529,251412819.07330573,4462.954097243171
4,3700.0,61600.76491404193,227922830.18195513,4462.954097243171
5,3700.0,55886.98383236206,206781840.1797396,4462.954097243171
6,3700.0,50744.58085885017,187754949.1777456,4462.954097243171
7,3700.0,46116.41818268947,170630747.27595103,4462.954097243171
8,3700.0,41951.07177414484,155218965.5643359,4462.954097243171
9,3700.0,38202.26000645467,141348362.02388227,4462.954097243171
10,3700.0,34828.329415533524,128864818.83747403,4462.954097243171
11,3700.0,31791.79188370449,117629629.9697066,4462.954097243171
12,3700.0,29058.908105058355,107517959.98871592,4462.954097243171
13,3700.0,26599.312704276836,98417457.0058243,4462.954097243171
14,3700.0,24385.67684357347,90227004.32122184,4462.954097243171
15,3700.0,22393.40456894044,82855596.90507963,4462.954097243171
16,3700.0,20600.359521770715,76221330.23055165,4462.954097243171
17,3700.0,18986.61897931796,70250490.22347645,4462.954097243171
18,3700.0,17534.252491110485,64876734.21710879,4462.954097243171
19,3700.0,16227.122651723754,60040353.81137789,4462.954097243171
20,3700.0,15050.705796275695,55687611.44622007,4462.954097243171
21,3700.0,13991.930626372445,51770143.31757804,4462.954097243171
22,3700.0,13039.032973459516,48244422.00180021,4462.954097243171
23,3700.0,12181.425085837882,45071272.81760016,4462.954097243171
24,3700.0,11409.577986978413,42215438.55182012,4462.954097243171
25,3700.0,10714.915598004887,39645187.71261808,4462.954097243171
26,3700.0,10089.719447928715,37331961.95733625,4462.954097243171
27,3700.0,9527.04291286016,35250058.77758259,4462.954097243171
28,3700.0,9020.63403129846,33376345.915804308,4462.954097243171
29,3700.0,8564.866037892933,31690004.34020385,4462.954097243171
30,3700.0,8154.6748438279565,30172296.92216344,4462.954097243171
31,3700.0,7785.502769169478,28806360.245927066,4462.954097243171
32,3700.0,7453.247901976847,27577017.237314332,4462.954097243171
33,3700.0,7154.21852150348,26470608.529562876,4462.954097243171
34,3700.0,6885.092079077449,25474840.69258656,4462.954097243171
35,3700.0,6642.878280894021,24578649.63930788,4462.954097243171
36,3700.0,6424.885862528937,23772077.691357065,4462.954097243171
37,3700.0,6228.6926860003605,23046162.938201334,4462.954097243171
38,3700.0,6052.118827124642,22392839.660361174,4462.954097243171
39,3700.0,5893.202354136495,21804848.71030503,4462.954097243171
40,3700.0,5750.177528447162,21275656.8552545,4462.954097243171
41,3700.0,5621.455185326763,20799384.185709026,4462.954097243171
42,3700.0,5505.605076518404,20370738.783118095,4462.954097243171
43,3700.0,5401.3399785908805,19984957.920786258,4462.954097243171
44,3700.0,5307.501390456109,19637755.144687604,4462.954097243171
45,3700.0,5223.046661134816,19325272.646198817,4462.954097243171
46,3700.0,5147.037404745652,19044038.397558913,4462.954097243171
47,3700.0,5078.629073995404,18790927.573782995,4462.954097243171
48,3700.0,5017.06157632018,18563127.83238467,4462.954097243171
49,3700.0,4961.650828412479,18358108.065126173,4462.954097243171
50,3700.0,4911.781155295548,18173590.27459353,4462.954097243171
51,3363.8448779135592,6466.243169954571,21751438.96659522,20456.40130188578
52,3022.7572266066886,9488.07148395772,28680136.644694045,36684.526309986046
53,3010.2957046419924,12267.005872347509,36927315.0863458,37277.4153678556
54,3010.2957046419924,14768.046821898319,44456187.91391233,37277.4153678556
55,3010.2957046419924,17018.98367649405,51232173.45872222,37277.4153678556
56,3010.2957046419924,19044.826845630203,57330560.449051104,37277.4153678556
57,3010.2957046419924,20868.085697852744,62819108.74034711,37277.4153678556
58,3010.2957046419924,22509.01866485303,67758802.2025135,37277.4153678556
59,2845.8499460242056,24768.251458350936,70486727.07586196,45101.34659983212
60,2522.6880947782297,28339.086854710076,71490677.02526334,60476.605421942324
61,2199.342530625155,33091.23865519729,72778968.56544256,75860.6048595822
62,2113.10997739791,37778.4488953865,79830017.29145826,79963.34105708938
63,2113.10997739791,41996.93811155679,88744148.94369319,79963.34105708938
64,2113.10997739791,45793.57840611005,96766867.43070462,79963.34105708938
65,2092.5928898368393,49308.17000863444,103181925.97093451,80939.49443135397
66,2025.364482009805,52791.158945896044,106921338.29315202,84138.05938125044
67,1968.6073164058057,56195.88584799207,110627632.03226265,86838.42796685627
68,1935.3706152302966,59418.27224070253,114996378.1024097,88419.74977509664
69,1935.3706152302966,62318.41999414194,120609238.84424251,88419.74977509664
70,1935.3706152302966,64928.55297223741,125660813.51189202,88419.74977509664
71,1935.3706152302966,67277.67265252334,130207230.7127766,88419.74977509664
72,1935.3706152302966,69391.88036478066,134299006.1935727,88419.74977509664
73,1935.3706152302966,71294.66730581227,137981604.1262892,88419.74977509664
74,1935.3706152302966,73007.17555274071,141295942.26573405,88419.74977509664
75,1935.3706152302966,74548.4329749763,144278846.59123442,88419.74977509664
76,1935.3706152302966,75935.56465498834,146963460.48418474,88419.74977509664
77,1935.3706152302966,77183.98316699917,149379612.98784003,88419.74977509664
78,1935.3706152302966,78307.55982780892,151554150.24112982,88419.74977509664
79,1935.3706152302966,79318.77882253769,153511233.7690906,88419.74977509664
80,1935.3706152302966,80228.87591779359,155272608.9442553,88419.74977509664
81,1935.3706152302966,81047.9633035239,156857846.60190356,88419.74977509664
82,1935.3706152302966,81785.14195068117,158284560.49378696,88419.74977509664
83,1935.3706152302966,82448.60273312271,159568602.996482,88419.74977509664
84,1935.3706152302966,83045.7174373201,160724241.24890757,88419.74977509664
85,1935.3706152302966,83583.12067109776,161764315.6760906,88419.74977509664
86,1935.3706152302966,84066.78358149764,162700382.6605553,88419.74977509664
87,1935.3706152302966,84502.08020085754,163542842.94657353,88419.74977509664
88,1935.3706152302966,84893.84715828145,164301057.20398995,88419.74977509664
89,1935.3706152302966,85246.43741996297,164983450.0356647,88419.74977509664
90,1935.3706152302966,85563.76865547633,165597603.584172,88419.74977509664
91,1935.3706152302966,85849.36676743836,166150341.77782857,88419.74977509664
92,1935.3706152302966,86106.40506820419,166647806.15211946,88419.74977509664
93,1935.3706152302966,86337.73953889342,167095524.08898127,88419.74977509664
94,1935.3706152302966,86545.94056251374,167498470.2321569,88419.74977509664
95,1935.3706152302966,86733.32148377203,167861121.76101497,88419.74977509664
96,1935.3706152302966,86901.96431290449,168187508.13698724,88419.74977509664
97,1935.3706152302966,87053.7428591237,168481255.87536228,88419.74977509664
98,1935.3706152302966,87190.343550721,168745628.8398998,88419.74977509664
99,1935.3706152302966,87313.28417315856,168983564.50798362,88419.74977509664
100,1935.3706152302966,87423.93073335238,169197706.609259,88419.74977509664
