step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,2425.621894004522
1,3700.0,82637.56218940046,305758980.1007817,2425.621894004522
2,3700.0,74616.36815986087,276080562.1914852,2425.621894004522
3,3700.0,67397.29353327524,249369986.0731184,2425.621894004522
4,3700.0,60900.12636934817,225330467.56658825,2425.621894004522
5,3700.0,55052.6759218138,203694900.91071108,2425.621894004522
6,3700.0,49789.970519032875,184222890.92042163,2425.621894004522
7,3700.0,45053.53565653004,166698081.92916113,2425.621894004522
8,3700.0,40790.74428027749,150925753.83702672,2425.621894004522
9,3700.0,36954.23204165019,136730658.5541057,2425.621894004522
10,3700.0,33501.37102688562,123955072.7994768,2425.621894004522
11,3700.0,30393.796113597513,112457045.6203108,2425.621894004522
12,3700.0,27596.978691638215,102108821.1590614,2425.621894004522
13,3700.0,25079.843011874844,92795419.14393692,2425.621894004522
14,3700.0,22814.42090008781,84413357.3303249,2425.621894004522
15,3700.0,20775.540999479483,76869501.69807409,2425.621894004522
16,3700.0,18940.549088931988,70080031.62904836,2425.621894004522
17,3700.0,17289.05636943924,63969508.56692519,2425.621894004522
18,3700.0,15802.712921895769,58470037.81101435,2425.621894004522
19,3700.0,14465.003819106643,53520514.13069459,2425.621894004522
20,3700.0,13261.065626596434,49065942.818406805,2425.621894004522
21,3700.0,12177.521253337243,45056828.6373478,2425.621894004522
22,3700.0,11202.33131740397,41448625.87439469,2425.621894004522
23,3700.0,10324.660375064026,38201243.387736894,2425.621894004522
24,3700.0,9534.756526958075,35278599.149744876,2425.621894004522
25,3700.0,8823.84306366272,32648219.335552063,2425.621894004522
26,3700.0,8184.0209466969,30280877.50277853,2425.621894004522
27,3700.0,7608.181041427662,28150269.85328235,2425.621894004522
28,3700.0,7089.925126685348,26232722.968735788,2425.621894004522
29,3700.0,6623.494803417266,24506930.772643883,2425.621894004522
30,3700.0,6203.707512475991,22953717.796161167,2425.621894004522
31,3700.0,5825.898950628844,21555826.117326725,2425.621894004522
32,3700.0,5485.871244966413,20297723.606375728,2425.621894004522
33,3700.0,5179.846309870223,19165431.346519824,2425.621894004522
34,3700.0,4904.423868283653,18146368.312649515,2425.621894004522
35,3700.0,4656.54367085574,17229211.58216624,2425.621894004522
36,3700.0,4433.451493170618,16403770.524731286,2425.621894004522
37,3700.0,4232.668533254008,15660873.57303983,2425.621894004522
38,3700.0,4051.963869329059,14992266.31651752,2425.621894004522
39,3700.0,3889.329671796606,14390519.785647444,2425.621894004522
40,3700.0,3742.9588940173976,13848947.907864371,2425.621894004522
41,3700.0,3611.22519401611,13361533.217859607,2425.621894004522
42,3700.0,3492.664864014951,12922859.99685532,2425.621894004522
43,3700.0,3385.960567013908,12528054.09795146,2425.621894004522
44,3700.0,3289.92669971297,12172728.788937986,2425.621894004522
45,3700.0,3203.4962191421246,11852936.01082586,2425.621894004522
46,3700.0,3125.708786628364,11565122.510524947,2425.621894004522
47,3700.0,3055.7000973659797,11306090.360254126,2425.621894004522
48,3700.0,2992.692277029834,11072961.425010383,2425.621894004522
49,3700.0,2935.9852387273027,10863145.38329102,2425.621894004522
50,3700.0,2884.9489042550244,10674310.94574359,2425.621894004522
51,3332.8477210830024,4218.06376087021,14058164.192799078,16216.09747040688
52,2990.0057269261697,6705.60369740672,20049793.45774339,29093.463126235307
53,2990.0057269261697,8944.389640289579,26743776.248324946,29093.463126235307
54,2990.0057269261697,10959.296988884153,32768360.759848345,29093.463126235307
55,2990.0057269261697,12772.713602619267,38190486.8202194,29093.463126235307
56,2990.0057269261697,14404.78855498087,43070400.27455335,29093.463126235307
