step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,48726.14802978176
1,3700.0,87267.61480297818,322890174.7710193,48726.14802978176
2,3700.0,83413.46812565853,308629832.0649366,48726.14802978176
3,3700.0,79944.73611607085,295795523.6294622,48726.14802978176
4,3700.0,76822.87730744194,284244646.0375352,48726.14802978176
5,3700.0,74013.20437967592,273848856.2048009,48726.14802978176
6,3700.0,71484.49874468651,264492645.3553401,48726.14802978176
7,3700.0,69208.66367319603,256072055.59082532,48726.14802978176
8,3700.0,67160.41210885461,248493524.8027621,48726.14802978176
9,3700.0,65316.98570094733,241672847.0935051,48726.14802978176
10,3700.0,63657.90193383077,235534237.15517384,48726.14802978176
11,3700.0,62164.726543425866,230009488.21067572,48726.14802978176
12,3700.0,60820.86869206146,225037214.1606274,48726.14802978176
13,3700.0,59611.39662583349,220562167.5155839,48726.14802978176
14,3700.0,58522.87176622831,216534625.53504473,48726.14802978176
15,3700.0,57543.19939258366,212909837.7525595,48726.14802978176
16,3700.0,56661.49425630347,209647528.74832284,48726.14802978176
17,3700.0,55867.9596336513,206711450.6445098,48726.14802978176
18,3700.0,55153.77847326435,204068980.3510781,48726.14802978176
19,3700.0,54511.01542891609,201690757.08698955,48726.14802978176
20,3700.0,53932.52868900266,199550356.14930984,48726.14802978176
21,3700.0,53411.89062308057,197623995.3053981,48726.14802978176
22,3700.0,52943.316363750695,195890270.5458776,48726.14802978176
23,3700.0,52521.5995303538,194329918.26230907,48726.14802978176
24,3700.0,52142.0543802966,192925601.2070974,48726.14802978176
25,3700.0,51800.46374524511,191661715.8574069,48726.14802978176
26,3700.0,51493.032173698775,190524219.04268548,48726.14802978176
27,3700.0,51216.34375930707,189500471.90943617,48726.14802978176
28,3700.0,50967.32418635454,188579099.4895118,48726.14802978176
29,3700.0,50743.206570697264,187749864.31157988,48726.14802978176
30,3700.0,50541.50071660571,187003552.65144113,48726.14802978176
31,3700.0,50359.965447923314,186331872.15731627,48726.14802978176
32,3700.0,50196.58370610916,185727359.7126039,48726.14802978176
33,3700.0,50049.54013847642,185183298.51236275,48726.14802978176
34,3700.0,49917.20092760695,184693643.4321457,48726.14802978176
35,3700.0,49798.09563782443,184252953.8599504,48726.14802978176
36,3700.0,49690.90087702016,183856333.2449746,48726.14802978176
37,3700.0,49594.42559229632,183499374.69149637,48726.14802978176
38,3700.0,49507.597836044864,183178111.993366,48726.14802978176
39,3700.0,49429.45285541855,182888975.56504864,48726.14802978176
40,3700.0,49359.12237285487,182628752.77956304,48726.14802978176
41,3700.0,49295.824938547565,182394552.272626,48726.14802978176
42,3700.0,49238.85724767098,182183771.81638265,48726.14802978176
43,3700.0,49187.58632588206,181994069.40576363,48726.14802978176
44,3700.0,49141.44249627203,181823337.2362065,48726.14802978176
45,3700.0,49099.91304962301,181669678.28360513,48726.14802978176
46,3700.0,49062.53654763888,181531385.22626388,48726.14802978176
47,3700.0,49028.89769585317,181406921.47465673,48726.14802978176
48,3700.0,48998.62272924603,181294904.0982103,48726.14802978176
49,3700.0,48971.3752592996,181194088.45940852,48726.14802978176
50,3700.0,48946.85253634782,181103354.3844869,48726.14802978176
51,3330.353369653125,53862.80002756584,179382157.57075632,98106.32744852809
52,2980.8079923127534,62956.64304253798,187661664.7503783,144801.2301772872
53,2886.0927037276233,72406.37987843028,208971524.6704682,157454.01140146103
54,2886.0927037276233,80911.14303073335,233517059.55126166,157454.01140146103
55,2886.0927037276233,88565.42986780612,255608040.94397575,157454.01140146103
56,2886.0927037276233,95454.28802117161,275489924.19741845,157454.01140146103
57,2886.0927037276233,101654.26035920055,293383619.1255169,157454.01140146103
58,2886.0927037276233,107234.2354634266,309487944.56080544,157454.01140146103
59,2723.8172647827214,114424.01052445853,311670095.37219995,179131.986073746
60,2403.9853548776828,125167.36348727255,300900508.7320548,221857.5401525988
61,2022.5408191787747,139932.00439631572,283018190.8010523,272813.7725777044
62,1973.0400027866845,153881.4503818543,303614257.29023284,279426.4642517014
63,1973.0400027866845,166435.951768839,328384790.7417946,279426.4642517014
64,2022.5408191787747,177073.73384972554,358138854.7154682,272813.7725777044
65,2072.041635570865,185986.46855512372,385371706.49900776,266201.0809037074
66,2072.041635570865,194007.9297899821,401992508.155752,266201.0809037074
67,2022.5408191787747,201888.51406875433,408327760.627404,272813.7725777044
68,1973.0400027866845,209642.30908704904,413632662.1053182,279426.4642517014
69,1973.0400027866845,216620.72460351427,427401355.0753714,279426.4642517014
70,2022.5408191787747,222240.0294009333,449489531.1188786,272813.7725777044
71,2072.041635570865,226636.1345512107,469599506.91494924,266201.0809037074
72,2072.041635570865,230592.62918646037,477797528.5300993,266201.0809037074
73,2022.5408191787747,234814.74352558478,474922403.7254901,272813.7725777044
74,1973.0400027866845,239275.91559819644,472100953.178652,279426.4642517014
75,1973.0400027866845,243290.97046354695,480022817.0413718,279426.4642517014
76,2022.5408191787747,246243.2506749627,498037025.9373834,272813.7725777044
77,2072.041635570865,248239.03369783718,514361613.3957976,266201.0809037074
78,2072.041635570865,250035.2384184242,518083424.3628628,266201.0809037074
79,2022.5408191787747,252313.09183435224,510313527.44818014,272813.7725777044
80,1973.0400027866845,255024.42907608717,503173400.25495565,279426.4642517014
81,1973.0400027866845,257464.6325936486,507988019.4100451,279426.4642517014
82,2022.5408191787747,258999.5465920542,523837155.1312245,272813.7725777044
83,2072.041635570865,259719.7000232195,538150032.0260861,266201.0809037074
