step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,745.417996925622
1,3700.0,82469.54179969257,305137304.65886253,745.417996925622
2,3700.0,74297.12941941587,274899378.8518387,745.417996925622
3,3700.0,66941.95827716685,247685245.62551737,745.417996925622
4,3700.0,60322.304249142726,223192525.72182807,745.417996925622
5,3700.0,54364.61562392102,201149077.80850777,745.417996925622
6,3700.0,49002.69586122148,181309974.68651947,745.417996925622
7,3700.0,44176.9680747919,163454781.87673002,745.417996925622
8,3700.0,39833.81306700527,147385108.3479195,745.417996925622
9,3700.0,35924.97355999731,132922402.17199004,745.417996925622
10,3700.0,32407.018003690137,119905966.61365353,745.417996925622
11,3700.0,29240.858003013684,108191174.61115062,745.417996925622
12,3700.0,26391.314002404877,97647861.80889805,745.417996925622
13,3700.0,23826.72440185695,88158880.28687072,745.417996925622
14,3700.0,21518.593761363816,79618796.91704611,745.417996925622
15,3700.0,19441.276184919996,71932721.88420399,745.417996925622
16,3700.0,17571.690366120558,65015254.354646064,745.417996925622
17,3700.0,15889.063129201064,58789533.57804394,745.417996925622
18,3700.0,14374.69861597352,53186384.87910203,745.417996925622
19,3700.0,13011.770554068731,48143551.050054304,745.417996925622
20,3700.0,11785.13529835442,43605000.603911355,745.417996925622
21,3700.0,10681.16356821154,39520305.2023827,745.417996925622
22,3700.0,9687.58901108295,35844079.34100691,745.417996925622
23,3700.0,8793.371909667218,32535476.065768704,745.417996925622
24,3700.0,7988.576518393058,29557733.118054315,745.417996925622
25,3700.0,7264.260666246314,26877764.465111364,745.417996925622
26,3700.0,6612.376399314245,24465792.677462704,745.417996925622
27,3700.0,6025.680559075383,22295018.06857892,745.417996925622
28,3700.0,5497.6543028604065,20341320.920583505,745.417996925622
29,3700.0,5022.430672266928,18582993.487387635,745.417996925622
30,3700.0,4594.729404732798,17000498.79751135,745.417996925622
31,3700.0,4209.798263952081,15576253.576622698,745.417996925622
32,3700.0,3863.3602372494342,14294432.877822908,745.417996925622
33,3700.0,3551.5660132170533,13140794.248903098,745.417996925622
34,3700.0,3270.95121158791,12102519.482875269,745.417996925622
35,3700.0,3018.3978901216815,11168072.193450222,745.417996925622
36,3700.0,2791.0999008020754,10327069.63296768,745.417996925622
37,3700.0,2586.53171041443,9570167.32853339,745.417996925622
38,3700.0,2402.4203390655493,8888955.254542533,745.417996925622
39,3700.0,2236.7201048515567,8275864.387950759,745.417996925622
40,3700.0,2087.589894058963,7724082.608018164,745.417996925622
41,3700.0,1953.372704345629,7227479.006078827,745.417996925622
42,3700.0,1832.5772336036284,6780535.764333425,745.417996925622
43,3700.0,1723.861309935828,6378286.846762563,745.417996925622
44,3700.0,1626.0169786348074,6016262.820948787,745.417996925622
45,3700.0,1537.9570804638888,5690441.197716389,745.417996925622
46,3700.0,1458.703172110062,5397201.73680723,745.417996925622
47,3700.0,1387.374654591618,5133286.221988987,745.417996925622
48,3700.0,1323.1789888250185,4895762.258652568,745.417996925622
49,3700.0,1265.4028896350787,4681990.691649792,745.417996925622
50,3700.0,1213.4044003641332,4489596.2813472925,745.417996925622
51,3352.446366559124,2046.3352266028505,6860229.0951866675,9542.712662751306
52,3007.5169991682915,3669.059881665623,11034759.965075761,18273.581777230575
53,2987.658906028289,5179.776974260091,15475406.808388425,18776.230807610307
54,2987.658906028289,6539.422357595113,19537563.44694955,18776.230807610307
55,2987.658906028289,7763.103202596632,23193504.421654563,18776.230807610307
56,2987.658906028289,8864.415963098,26483851.29888907,18776.230807610307
57,2987.658906028289,9855.59744754923,29445163.488400128,18776.230807610307
58,2987.658906028289,10747.660783555337,32110344.458960082,18776.230807610307
59,2741.814649710383,12172.799976861108,33375561.304551996,24999.05271661305
60,2366.3455013650755,14405.814606061442,34089134.58655279,34502.946268864434
61,2144.446721353473,16977.199055827652,36406698.853034884,40119.65910372356
62,2144.446721353473,19291.445060617243,41369476.1104113,40119.65910372356
63,2144.446721353473,21374.266464927874,45835975.64205007,40119.65910372356
64,2144.446721353473,23248.80572880744,49855825.22052496,40119.65910372356
65,2060.4129583817657,25148.597740495286,51816496.66964688,42246.725845685905
66,2035.4034875203524,26921.714646680397,54796551.881881036,42879.76680234638
67,2013.6359273990201,28572.618017500783,57534850.179888144,43430.74835488426
68,1970.3052398338427,30168.109900747848,59440385.01332671,44527.53684997142
69,1701.7488015344038,32283.823973323404,54938958.75555076,51325.25062650342
