step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,155.7006185217906
1,3700.0,82410.57006185218,304919109.22885305,155.7006185217906
2,3700.0,74185.08311751914,274484807.5348208,155.7006185217906
3,3700.0,66782.14486761941,247093936.01019183,155.7006185217906
4,3700.0,60119.50044270965,222442151.6380257,155.7006185217906
5,3700.0,54123.12046029086,200255545.70307615,155.7006185217906
6,3700.0,48726.378476113954,180287600.3616216,155.7006185217906
7,3700.0,43869.31069035474,162316449.55431253,155.7006185217906
8,3700.0,39497.94968317144,146142413.82773435,155.7006185217906
9,3700.0,35563.72477670648,131585781.67381395,155.7006185217906
10,3700.0,32022.92236088801,118484812.73528562,155.7006185217906
11,3700.0,28836.200186651386,106693940.69061013,155.7006185217906
12,3700.0,25968.150229838426,96082155.85040216,155.7006185217906
13,3700.0,23386.90526870676,86531549.49421501,155.7006185217906
14,3700.0,21063.784803688264,77936003.77364658,155.7006185217906
15,3700.0,18972.976385171616,70200012.62513497,155.7006185217906
16,3700.0,17091.248808506632,63237620.59147454,155.7006185217906
17,3700.0,15397.693989508149,56971467.76118015,155.7006185217906
18,3700.0,13873.494652409512,51331930.21391519,155.7006185217906
19,3700.0,12501.71524902074,46256346.42137674,155.7006185217906
20,3700.0,11267.113785970843,41688321.00809213,155.7006185217906
21,3700.0,10155.97246922594,37577098.13613598,155.7006185217906
22,3700.0,9155.945284155525,33876997.55137544,155.7006185217906
23,3700.0,8255.920817592152,30546907.025090963,155.7006185217906
24,3700.0,7445.898797685116,27549825.551434927,155.7006185217906
25,3700.0,6716.878979768783,24852452.225144494,155.7006185217906
26,3700.0,6060.761143644084,22424816.23148311,155.7006185217906
27,3700.0,5470.255091131855,20239943.837187864,155.7006185217906
28,3700.0,4938.799643870849,18273558.68232214,155.7006185217906
29,3700.0,4460.489741335943,16503812.04294299,155.7006185217906
30,3700.0,4030.010829054528,14911040.067501752,155.7006185217906
31,3700.0,3642.5798080012537,13477545.289604638,155.7006185217906
32,3700.0,3293.8918890533073,12187399.989497237,155.7006185217906
33,3700.0,2980.072762000156,11026269.219400575,155.7006185217906
34,3700.0,2697.6355476523195,9981251.526313582,155.7006185217906
35,3700.0,2443.4420547392665,9040735.602535289,155.7006185217906
36,3700.0,2214.667911117519,8194271.27113482,155.7006185217906
37,3700.0,2008.7711818579464,7432453.372874401,155.7006185217906
38,3700.0,1823.4641255243307,6746817.264440023,155.7006185217906
39,3700.0,1656.6877748240768,6129744.766849084,155.7006185217906
40,3700.0,1506.5890591938482,5574379.519017238,155.7006185217906
41,3700.0,1371.5002151266424,5074550.795968577,155.7006185217906
42,3700.0,1249.9202554661572,4624704.9452247815,155.7006185217906
43,3700.0,1140.4982917717205,4219843.679555366,155.7006185217906
44,3700.0,1042.0185244467275,3855468.540452892,155.7006185217906
45,3700.0,953.386733854234,3527530.915260665,155.7006185217906
46,3700.0,873.6181223209895,3232387.0525876614,155.7006185217906
47,3700.0,801.8263719410696,2966757.5761819575,155.7006185217906
48,3700.0,737.2137965991417,2727691.0474168244,155.7006185217906
49,3700.0,679.0624787914065,2512531.1715282043,155.7006185217906
50,3700.0,626.7262927644449,2318887.2832284463,155.7006185217906
51,3362.8600683793015,1185.0568753417147,3985180.444845,6210.032118537143
52,3016.5985234894597,2309.368068660009,6966436.306113489,12428.168808524657
53,3016.5985234894597,3321.2481426464738,10018872.243249463,12428.168808524657
54,3016.5985234894597,4231.9402092342925,12766064.586671842,12428.168808524657
55,3016.5985234894597,5051.563069163329,15238537.69575198,12428.168808524657
56,3016.5985234894597,5789.223643099462,17463763.493924107,12428.168808524657
57,3016.5985234894597,6453.118159641981,19466466.712279018,12428.168808524657
58,3016.5985234894597,7050.623224530249,21268899.60879844,12428.168808524657
59,2782.7038589404146,8008.403921173667,22285016.495403513,16628.430190964427
60,2415.4047477592603,9529.999307770891,23018805.574132275,23224.357787145906
61,2177.8739837518265,11325.990971817075,24666581.077728473,27489.915948232716
62,2177.8739837518265,12942.383469458639,28186880.24587367,27489.915948232716
63,2177.8739837518265,14397.136717336047,31355149.49720435,27489.915948232716
64,2177.8739837518265,15706.414640425714,34206591.82340196,27489.915948232716
65,2177.8739837518265,16884.764771206414,36772889.91697981,27489.915948232716
66,2135.3075227338627,18021.72039376006,38481915.12940213,28254.320996742877
67,2048.3719413668814,19201.09866474079,39330991.74827213,29815.50310356736
68,1980.9792085263339,20383.562430704347,40379413.37092381,31025.73632437636
69,1819.564015006229,21737.64791312477,39553041.91359708,33924.41725490855
70,1819.564015006229,22956.324847303145,41770502.60894617,33924.41725490855
71,1819.564015006229,24053.134088063685,43766217.23476035,33924.41725490855
72,1819.564015006229,25040.262404748173,45562360.39799312,33924.41725490855
73,1819.564015006229,25928.67788976421,47178889.2449026,33924.41725490855
74,1819.564015006229,26728.251826278643,48633765.20712114,33924.41725490855
75,1819.564015006229,27447.868369141634,49943153.57311783,33924.41725490855
76,1819.564015006229,28095.523257718327,51121603.10251485,33924.41725490855
77,1819.564015006229,28678.412657437348,52182207.67897216,33924.41725490855
78,1819.564015006229,29203.01311718447,53136751.79778375,33924.41725490855
79,1819.564015006229,29675.15353095688,53995841.504714176,33924.41725490855
80,1819.564015006229,30100.079903352045,54769022.24095155,33924.41725490855
81,1819.564015006229,30482.513638507695,55464884.9035652,33924.41725490855
82,1819.564015006229,30826.70400014778,56091161.299917474,33924.41725490855
83,1819.564015006229,31136.47532562386,56654810.05663453,33924.41725490855
84,1819.564015006229,31415.269518552326,57162093.93767987,33924.41725490855
85,1819.564015006229,31666.184292187947,57618649.430620685,33924.41725490855
86,1819.564015006229,31892.00758846001,58029549.374267414,33924.41725490855
87,1819.564015006229,32095.248555104863,58399359.32354948,33924.41725490855
88,1819.564015006229,32278.16542508523,58732188.277903326,33924.41725490855
89,1819.564015006229,32442.79060806756,59031734.33682179,33924.41725490855
90,1819.564015006229,32590.95327275166,59301325.78984841,33924.41725490855
91,1819.564015006229,32724.29967096735,59543958.09757237,33924.41725490855
92,1819.564015006229,32844.31142936147,59762327.174523935,33924.41725490855
93,1819.564015006229,32952.32201191618,59958859.34378034,33924.41725490855
94,1819.564015006229,33049.531536215414,60135738.29611111,33924.41725490855
95,1819.564015006229,33137.020108084726,60294929.35320879,33924.41725490855
96,1819.564015006229,33215.75982276711,60438201.304596715,33924.41725490855
97,1819.564015006229,33286.62556598125,60567146.06084584,33924.41725490855
98,1819.564015006229,33350.404734873984,60683196.341470055,33924.41725490855
99,1819.564015006229,33407.80598687744,60787641.594031855,33924.41725490855
100,1819.564015006229,33459.467113680555,60881642.32133748,33924.41725490855
