step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,4894.07672497406
1,3700.0,82884.4076724974,306672308.3882404,4894.07672497406
2,3700.0,75085.37457774507,277815885.93765676,4894.07672497406
3,3700.0,68066.24479246797,251845105.7321315,4894.07672497406
4,3700.0,61749.02798571858,228471403.54715875,4894.07672497406
5,3700.0,56063.532859644125,207435071.5806833,4894.07672497406
6,3700.0,50946.58724617712,188502372.81085536,4894.07672497406
7,3700.0,46341.336194056814,171462943.9180102,4894.07672497406
8,3700.0,42196.610247148536,156127457.91444957,4894.07672497406
9,3700.0,38466.35689493109,142325520.511245,4894.07672497406
10,3700.0,35109.128877935385,129903776.84836093,4894.07672497406
11,3700.0,32087.623662639253,118724207.55176523,4894.07672497406
12,3700.0,29368.268968872733,108662595.18482912,4894.07672497406
13,3700.0,26920.849744482864,99607144.0545866,4894.07672497406
14,3700.0,24718.172442531984,91457238.03736834,4894.07672497406
15,3700.0,22735.76287077619,84122322.6218719,4894.07672497406
16,3700.0,20951.59425619598,77520898.74792512,4894.07672497406
17,3700.0,19345.842503073785,71579617.261373,4894.07672497406
18,3700.0,17900.665925263813,66232463.92347611,4894.07672497406
19,3700.0,16600.00700523484,61420025.9193689,4894.07672497406
20,3700.0,15429.41397720876,57088831.71567241,4894.07672497406
21,3700.0,14375.88025198529,53190756.93234558,4894.07672497406
22,3700.0,13427.699899284167,49682489.62735142,4894.07672497406
23,3700.0,12574.337581853157,46525049.05285668,4894.07672497406
24,3700.0,11806.311496165246,43683352.53581141,4894.07672497406
25,3700.0,11115.088019046128,41125825.67047068,4894.07672497406
26,3700.0,10492.986889638922,38824051.49166401,4894.07672497406
27,3700.0,9933.095873172437,36752454.73073801,4894.07672497406
28,3700.0,9429.193958352598,34888017.645904616,4894.07672497406
29,3700.0,8975.682235014745,33210024.269554555,4894.07672497406
30,3700.0,8567.521684010677,31699830.230839506,4894.07672497406
31,3700.0,8200.177188107014,30340655.595995955,4894.07672497406
32,3700.0,7869.567141793719,29117398.424636763,4894.07672497406
33,3700.0,7572.0181001117535,28016466.970413487,4894.07672497406
34,3700.0,7304.223962597984,27025628.66161254,4894.07672497406
35,3700.0,7063.209238835591,26133874.183691688,4894.07672497406
36,3700.0,6846.295987449438,25331295.15356292,4894.07672497406
37,3700.0,6651.0740612019,24608974.026447028,4894.07672497406
38,3700.0,6475.374327579116,23958885.012042727,4894.07672497406
39,3700.0,6317.24456731861,23373804.899078857,4894.07672497406
40,3700.0,6174.927783084156,22847232.797411375,4894.07672497406
41,3700.0,6046.842677273146,22373317.90591064,4894.07672497406
42,3700.0,5931.566082043238,21946794.50355998,4894.07672497406
43,3700.0,5827.81714633632,21562923.441444386,4894.07672497406
44,3700.0,5734.443104200093,21217439.485540345,4894.07672497406
45,3700.0,5650.40646627749,20906503.92522671,4894.07672497406
46,3700.0,5574.773492147147,20626661.920944445,4894.07672497406
47,3700.0,5506.703815429839,20374804.117090404,4894.07672497406
48,3700.0,5445.441106384261,20148132.093621764,4894.07672497406
49,3700.0,5390.3046682432405,19944127.27249999,4894.07672497406
50,3700.0,5340.681873916323,19760522.933490396,4894.07672497406
51,3137.0898413807263,8075.670555006577,25334104.060448583,32690.568684818863
52,2809.3657918208864,12155.461045129994,34149136.443999566,48873.57545624074
53,2809.3657918208864,15827.272486241069,44464597.90067357,48873.57545624074
54,2809.3657918208864,19131.902783241036,53748513.211680174,48873.57545624074
55,2809.3657918208864,22106.070050541006,62104036.99158612,48873.57545624074
56,2809.3657918208864,24782.82059111098,69624008.39350146,48873.57545624074
57,2809.3657918208864,27191.896077623955,76391982.65522528,48873.57545624074
58,2809.3657918208864,29360.064015485634,82483159.49077672,48873.57545624074
59,2522.2368530689073,32729.25726371408,82550938.84411287,63051.9964977701
60,2196.8862698631838,37368.11169232697,82093491.50758703,79117.80154984305
61,1877.7619443470849,43118.91593572557,80967059.42560655,94876.15412631298
62,1839.116672990583,48485.47002460603,89170436.3200381,96784.45682453016
63,1839.116672990583,53315.36870459844,98053183.51126733,96784.45682453016
64,1877.7619443470849,57471.447246769894,107917696.52653556,94876.15412631298
65,1916.4072157035866,61021.08766490249,116941252.71110025,92967.85142809579
66,1916.4072157035866,64215.76404122182,123063553.57051641,92967.85142809579
67,1916.4072157035866,67090.9727799092,128573624.34399092,92967.85142809579
68,1916.4072157035866,69678.66064472786,133532688.040118,92967.85142809579
69,1916.4072157035866,72007.57972306466,137995845.36663237,92967.85142809579
70,1916.4072157035866,74103.60689356778,142012686.96049532,92967.85142809579
71,1916.4072157035866,75990.03134702057,145627844.39497197,92967.85142809579
72,1916.4072157035866,77687.81335512809,148881486.08600095,92967.85142809579
73,1916.4072157035866,79215.81716242486,151809763.60792702,92967.85142809579
74,1916.4072157035866,80591.02058899196,154445213.3776605,92967.85142809579
75,1916.4072157035866,81828.70367290234,156817118.17042062,92967.85142809579
76,1916.4072157035866,82942.61844842168,158951832.48390472,92967.85142809579
77,1916.4072157035866,83945.1417463891,160873075.36604044,92967.85142809579
78,1916.4072157035866,84847.41271455976,162602193.95996258,92967.85142809579
79,1916.4072157035866,85659.45658591336,164158400.6944925,92967.85142809579
80,1916.4072157035866,86390.2960701316,165558986.7555694,92967.85142809579
81,1916.4072157035866,87048.05160592802,166819514.21053863,92967.85142809579
82,1916.4072157035866,87640.0315881448,167953988.92001095,92967.85142809579
83,1916.4072157035866,88172.8135721399,168975016.15853605,92967.85142809579
84,1916.4072157035866,88652.31735773549,169893940.67320862,92967.85142809579
85,1916.4072157035866,89083.87076477152,170720972.73641393,92967.85142809579
86,1916.4072157035866,89472.26883110395,171465301.59329873,92967.85142809579
87,1916.4072157035866,89821.82709080314,172135197.56449503,92967.85142809579
88,1916.4072157035866,90136.4295245324,172738103.9385717,92967.85142809579
89,1916.4072157035866,90419.57171488873,173280719.6752407,92967.85142809579
90,1916.4072157035866,90674.39968620944,173769073.8382428,92967.85142809579
91,1916.4072157035866,90903.74486039807,174208592.5849447,92967.85142809579
92,1916.4072157035866,91110.15551716785,174604159.4569764,92967.85142809579
93,1916.4072157035866,91295.92510826065,174960169.64180496,92967.85142809579
94,1916.4072157035866,91463.11774024417,175280578.80815065,92967.85142809579
95,1916.4072157035866,91613.59110902934,175568947.05786178,92967.85142809579
96,1916.4072157035866,91749.01714093599,175828478.4826018,92967.85142809579
97,1916.4072157035866,91870.90056965197,176062056.76486778,92967.85142809579
98,1916.4072157035866,91980.59565549635,176272277.21890718,92967.85142809579
99,1916.4072157035866,92079.3212327563,176461475.62754264,92967.85142809579
100,1916.4072157035866,92168.17425229025,176631754.19531456,92967.85142809579
