step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,228.74494334736664
1,3700.0,82417.87449433474,304946135.6290385,228.74494334736664
2,3700.0,74198.961539236,274536157.6951732,228.74494334736664
3,3700.0,66801.93987964714,247167177.5546944,228.74494334736664
4,3700.0,60144.62038601716,222535095.4282635,228.74494334736664
5,3700.0,54153.03284175018,200366221.51447567,228.74494334736664
6,3700.0,48760.6040519099,180414234.99206665,228.74494334736664
7,3700.0,43907.41814105364,162457447.12189847,228.74494334736664
8,3700.0,39539.55082128301,146296338.03874713,228.74494334736664
9,3700.0,35608.47023348945,131751339.86391096,228.74494334736664
10,3700.0,32070.49770447524,118660841.50655836,228.74494334736664
11,3700.0,28886.32242836245,106879392.98494108,228.74494334736664
12,3700.0,26020.56467986094,96276089.31548548,228.74494334736664
13,3700.0,23441.382706209584,86733116.01297547,228.74494334736664
14,3700.0,21120.118929923363,78144440.04071644,228.74494334736664
15,3700.0,19030.981531265763,70414631.66568333,228.74494334736664
16,3700.0,17150.75787247392,63457804.12815351,228.74494334736664
17,3700.0,15458.556579561266,57196659.34437668,228.74494334736664
18,3700.0,13935.575415939877,51561629.03897753,228.74494334736664
19,3700.0,12564.892368680625,46490101.76411831,228.74494334736664
20,3700.0,11331.277626147295,41925727.216745,228.74494334736664
21,3700.0,10221.024357867303,37817790.12410902,228.74494334736664
22,3700.0,9221.796416415307,34120646.74073664,228.74494334736664
23,3700.0,8322.491269108516,30793217.695701502,228.74494334736664
24,3700.0,7513.116636532401,27798531.555169884,228.74494334736664
25,3700.0,6784.679467213897,25103314.02869142,228.74494334736664
26,3700.0,6129.086014827244,22677618.254860803,228.74494334736664
27,3700.0,5539.051907679256,20494492.05841325,228.74494334736664
28,3700.0,5008.021211246067,18529678.481610447,228.74494334736664
29,3700.0,4530.093584456196,16761346.262487927,228.74494334736664
30,3700.0,4099.958720345314,15169847.26527766,228.74494334736664
31,3700.0,3712.837342645519,13737498.16778842,228.74494334736664
32,3700.0,3364.428102715704,12448383.980048103,228.74494334736664
33,3700.0,3050.8597867788703,11288181.21108182,228.74494334736664
34,3700.0,2768.64830243572,10243998.719012164,228.74494334736664
35,3700.0,2514.6579665268846,9304234.476149471,228.74494334736664
36,3700.0,2286.0666642089327,8458446.657573052,228.74494334736664
37,3700.0,2080.3344921227763,7697237.620854272,228.74494334736664
38,3700.0,1895.175537245235,7012149.487807371,228.74494334736664
39,3700.0,1728.5324778554484,6395570.168065159,228.74494334736664
40,3700.0,1578.5537244046402,5840648.7802971685,228.74494334736664
41,3700.0,1443.5728462989127,5341219.531305977,228.74494334736664
42,3700.0,1322.090056003758,4891733.207213905,228.74494334736664
43,3700.0,1212.755544738119,4487195.51553104,228.74494334736664
44,3700.0,1114.3544845990436,4123111.5930164615,228.74494334736664
45,3700.0,1025.793530473876,3795436.062753341,228.74494334736664
46,3700.0,946.088671761225,3500528.0855165324,228.74494334736664
47,3700.0,874.3542989198392,3235110.906003405,228.74494334736664
48,3700.0,809.7933633625919,2996235.44444159,228.74494334736664
49,3700.0,751.6885213610693,2781247.5290359566,228.74494334736664
50,3700.0,699.3941635596991,2587758.405170887,228.74494334736664
51,3331.348172456584,1357.4630932729588,4522182.194952133,7280.0834606922945
52,2990.5902462963595,2601.505295011142,7780036.360948655,13797.885110654795
53,2990.5902462963595,3721.1432765755076,11128414.787997989,13797.885110654795
54,2990.5902462963595,4728.8174599834365,14141955.372342391,13797.885110654795
55,2990.5902462963595,5635.724225050572,16854141.89825235,13797.885110654795
56,2990.5902462963595,6451.940313610995,19295109.771571316,13797.885110654795
57,2990.5902462963595,7186.534793315375,21491980.857558385,13797.885110654795
58,2990.5902462963595,7847.669825049317,23469164.834946748,13797.885110654795
59,2780.557207709555,8844.429238586905,24592441.467429947,17815.263960425196
60,2476.5393138085865,10323.018870528891,25565362.07005271,23630.32555800677
61,2128.909611968414,12318.673601282057,26225342.63647093,30279.566178060537
62,2080.449466954907,14207.454353090534,29557890.835673377,31206.48111936683
63,2080.449466954907,15907.357029718163,33094452.45313855,31206.48111936683
64,2080.449466954907,17437.26943868303,36277357.908857204,31206.48111936683
65,2080.449466954907,18814.19060675141,39141972.81900399,31206.48111936683
66,2080.449466954907,20053.41965801295,41720126.2381361,31206.48111936683
67,1995.3529328367588,21331.49306145949,42563857.24197016,32834.15369247834
68,1892.5121411176083,22678.466473236622,42919273.142528936,34801.2271792308
69,1724.0593860755903,24212.94829767589,41744560.777171105,38023.284717629314
70,1724.0593860755903,25593.981939671234,44125544.79013933,38023.284717629314
71,1892.5121411176083,26514.70646362719,50179403.90058398,34801.2271792308
72,2060.9648961596263,27021.1527813477,55689647.33612366,31579.169640832297
73,2060.9648961596263,27476.95446729616,56629038.61047381,31579.169640832297
74,1892.5121411176083,28209.381738489625,53386597.433512956,34801.2271792308
75,1724.0593860755903,29190.772036403592,50326624.51615448,38023.284717629314
76,1724.0593860755903,30074.023304526163,51849402.15522437,38023.284717629314
77,1892.5121411176083,30546.743691996628,57810083.308711335,34801.2271792308
78,2060.9648961596263,30649.986286880194,63168545.80503401,31579.169640832297
79,2060.9648961596263,30742.904622275404,63360047.232493125,31579.169640832297
80,1892.5121411176083,31148.736877970943,58949362.72203779,34801.2271792308
81,1724.0593860755903,31836.19166193678,54887485.051663555,38023.284717629314
82,1724.0593860755903,32454.900967506033,55954176.637182534,38023.284717629314
83,1892.5121411176083,32689.53358867851,61865339.204045944,34801.2271792308
84,2060.9648961596263,32578.49719389389,67143139.0862502,31579.169640832297
85,2060.9648961596263,32478.56443858773,66937181.1855877,31579.169640832297
86,1892.5121411176083,32710.830712652038,61905644.26973673,34801.2271792308
87,1724.0593860755903,33242.076113149764,57311313.33551503,38023.284717629314
88,1724.0593860755903,33720.19697359772,58135622.09264886,38023.284717629314
89,1892.5121411176083,33828.299994161025,64020468.45231846,34801.2271792308
90,2060.9648961596263,33603.38695882815,69255400.914213,31579.169640832297
91,2060.9648961596263,33400.965227028566,68838216.83075422,31579.169640832297
92,1892.5121411176083,33540.991422248786,63476733.49172738,34801.2271792308
93,1724.0593860755903,33989.22075178684,58599435.06251333,38023.284717629314
94,1724.0593860755903,34392.62714837109,59294931.64694734,38023.284717629314
95,1892.5121411176083,34433.48715145706,65165792.49514966,34801.2271792308
96,2060.9648961596263,34148.05540039459,70377943.4523274,31579.169640832297
97,2060.9648961596263,33891.16682443836,69848505.11505719,31579.169640832297
98,1892.5121411176083,33982.172859917606,64311674.718951344,34801.2271792308
99,1724.0593860755903,34386.28404568878,59283995.76123106,38023.284717629314
100,1724.0593860755903,34749.984112882834,59911036.27579329,38023.284717629314
