step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,761.4879474493209
1,3700.0,82471.14879474494,305143250.54055625,761.4879474493209
2,3700.0,74300.18271001538,274910676.0270569,761.4879474493209
3,3700.0,66946.31323375877,247701358.96490747,761.4879474493209
4,3700.0,60327.830705127824,223212973.60897297,761.4879474493209
5,3700.0,54371.196429359974,201173426.78863192,761.4879474493209
6,3700.0,49010.22558116891,181337834.65032497,761.4879474493209
7,3700.0,44185.35181779695,163485801.72584873,761.4879474493209
8,3700.0,39842.96543076219,147418972.0938201,761.4879474493209
9,3700.0,35934.817682430905,132958825.42499436,761.4879474493209
10,3700.0,32417.484708932745,119944693.42305116,761.4879474493209
11,3700.0,29251.8850327844,108231974.62130228,761.4879474493209
12,3700.0,26402.84532425089,97690527.6997283,761.4879474493209
13,3700.0,23838.709586570734,88203225.47031172,761.4879474493209
14,3700.0,21530.987422658593,79664653.46383679,761.4879474493209
15,3700.0,19454.037475137666,71979938.65800937,761.4879474493209
16,3700.0,17584.78252236883,65063695.33276467,761.4879474493209
17,3700.0,15902.45306487688,58839076.340044454,761.4879474493209
18,3700.0,14388.356553134125,53236919.246596254,761.4879474493209
19,3700.0,13025.669692565643,48194977.86249288,761.4879474493209
20,3700.0,11799.25151805401,43657230.61679984,761.4879474493209
21,3700.0,10695.47516099354,39573258.0956761,761.4879474493209
22,3700.0,9702.07643963912,35897682.82666474,761.4879474493209
23,3700.0,8808.017590420139,32589665.084554512,761.4879474493209
24,3700.0,8003.364626123057,29612449.116655312,761.4879474493209
25,3700.0,7279.1769582556835,26932954.745546028,761.4879474493209
26,3700.0,6627.408057175047,24521409.81154767,761.4879474493209
27,3700.0,6040.816046202474,22351019.370949157,761.4879474493209
28,3700.0,5512.8832363271595,20397667.97441049,761.4879474493209
29,3700.0,5037.743707439376,18639651.71752569,761.4879474493209
30,3700.0,4610.11813144037,17057437.08632937,761.4879474493209
31,3700.0,4225.255113041265,15633443.91825268,761.4879474493209
32,3700.0,3878.8783964820705,14351850.06698366,761.4879474493209
33,3700.0,3567.1393515787954,13198415.600841545,761.4879474493209
34,3700.0,3286.574211165848,12160324.581313636,761.4879474493209
35,3700.0,3034.0655847941953,11226042.663738525,761.4879474493209
36,3700.0,2806.8078210597077,10385188.93792092,761.4879474493209
37,3700.0,2602.275833698669,9628420.584685076,761.4879474493209
38,3700.0,2418.197045073734,8947329.066772815,761.4879474493209
39,3700.0,2252.526135311293,8334346.700651784,761.4879474493209
40,3700.0,2103.4223165250955,7782662.571142853,761.4879474493209
41,3700.0,1969.228879617518,7286146.854584817,761.4879474493209
42,3700.0,1848.4547864006984,6839282.709682584,761.4879474493209
43,3700.0,1739.7581025055606,6437104.979270575,761.4879474493209
44,3700.0,1641.9310869999367,6075145.021899766,761.4879474493209
45,3700.0,1553.886773044875,5749381.0602660375,761.4879474493209
46,3700.0,1474.6468904853198,5456193.494795683,761.4879474493209
47,3700.0,1403.33099618172,5192324.685872364,761.4879474493209
48,3700.0,1339.14669130848,4954842.757841377,761.4879474493209
49,3700.0,1281.3808169225642,4741109.022613488,761.4879474493209
50,3700.0,1229.3915299752398,4548748.660908387,761.4879474493209
