step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,2219.504245885764
1,3700.0,82616.95042458858,305682716.57097775,2219.504245885764
2,3700.0,74577.2058067183,275935661.4848577,2219.504245885764
3,3700.0,67341.43565063505,249163311.90734968,2219.504245885764
4,3700.0,60829.24251016012,225068197.28759244,2219.504245885764
5,3700.0,54968.26868373269,203382594.12981093,2219.504245885764
6,3700.0,49693.39223994799,183865551.2878076,2219.504245885764
7,3700.0,44946.00344054177,166300212.73000455,2219.504245885764
8,3700.0,40673.35352107617,150491408.02798182,2219.504245885764
9,3700.0,36827.96859355713,136263483.79616138,2219.504245885764
10,3700.0,33367.12215878999,123458351.98752296,2219.504245885764
11,3700.0,30252.36036749957,111933733.3597484,2219.504245885764
12,3700.0,27449.074755338188,101561576.5947513,2219.504245885764
13,3700.0,24926.117704392946,92226635.5062539,2219.504245885764
14,3700.0,22655.45635854223,83825188.52660625,2219.504245885764
15,3700.0,20611.861147276584,76263886.24492337,2219.504245885764
16,3700.0,18772.625457137503,69458714.19140877,2219.504245885764
17,3700.0,17117.31333601233,63334059.34324562,2219.504245885764
18,3700.0,15627.53242699967,57821869.97989878,2219.504245885764
19,3700.0,14286.72960888828,52860899.552886635,2219.504245885764
20,3700.0,13080.007072588029,48396026.168575704,2219.504245885764
21,3700.0,11993.956789917802,44377640.12269586,2219.504245885764
22,3700.0,11016.511535514595,40761092.68140401,2219.504245885764
23,3700.0,10136.810806551714,37506199.98424134,2219.504245885764
24,3700.0,9345.08015048512,34576796.55679494,2219.504245885764
25,3700.0,8632.522560025183,31940333.47209318,2219.504245885764
26,3700.0,7991.220728611242,29567516.695861593,2219.504245885764
27,3700.0,7414.049080338694,27431981.597253166,2219.504245885764
28,3700.0,6894.594596893401,25510000.008505583,2219.504245885764
29,3700.0,6427.085561792637,23780216.578632757,2219.504245885764
30,3700.0,6006.32743020195,22223411.491747215,2219.504245885764
31,3700.0,5627.645111770331,20822286.913550224,2219.504245885764
32,3700.0,5286.831025181874,19561274.793172933,2219.504245885764
33,3700.0,4980.098347252263,18426363.884833373,2219.504245885764
34,3700.0,4704.038937115613,17404944.06732777,2219.504245885764
35,3700.0,4455.585467992629,16485666.231572729,2219.504245885764
36,3700.0,4231.977345781942,15658316.179393183,2219.504245885764
37,3700.0,4030.730035792324,14913701.132431598,2219.504245885764
38,3700.0,3849.607456801668,14243547.590166172,2219.504245885764
39,3700.0,3686.5971357100775,13640409.402127286,2219.504245885764
40,3700.0,3539.8878467276463,13097585.03289229,2219.504245885764
41,3700.0,3407.849486643458,12609043.100580797,2219.504245885764
42,3700.0,3289.0149625676886,12169355.361500448,2219.504245885764
43,3700.0,3182.063890899496,11773636.396328136,2219.504245885764
44,3700.0,3085.807926398123,11417489.327673055,2219.504245885764
45,3700.0,2999.177558346887,11096956.965883482,2219.504245885764
46,3700.0,2921.210227100775,10808477.840272866,2219.504245885764
