step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,42132.27035124332
1,3700.0,86608.22703512434,320450440.02996004,42132.27035124332
2,3700.0,82160.63136673623,303994336.05692405,42132.27035124332
3,3700.0,78157.79526518694,289183842.4811917,42132.27035124332
4,3700.0,74555.24277379258,275854398.26303256,42132.27035124332
5,3700.0,71312.94553153765,263857898.46668932,42132.27035124332
6,3700.0,68394.87801350822,253061048.64998043,42132.27035124332
7,3700.0,65768.61724728173,243343883.8149424,42132.27035124332
8,3700.0,63404.98255767789,234598435.4634082,42132.27035124332
9,3700.0,61277.71133703443,226727531.9470274,42132.27035124332
10,3700.0,59363.16723845532,219643718.78228468,42132.27035124332
11,3700.0,57640.07754973412,213268286.93401623,42132.27035124332
12,3700.0,56089.29682988504,207530398.27057463,42132.27035124332
13,3700.0,54693.59418202087,202366298.4734772,42132.27035124332
14,3700.0,53437.46179894311,197718608.6560895,42132.27035124332
15,3700.0,52306.94265417314,193535687.82044065,42132.27035124332
16,3700.0,51289.475423880154,189771059.06835657,42132.27035124332
17,3700.0,50373.75491661647,186382893.19148093,42132.27035124332
18,3700.0,49549.60646007915,183333543.90229285,42132.27035124332
19,3700.0,48807.87284919557,180589129.5420236,42132.27035124332
20,3700.0,48140.31259940034,178119156.61778125,42132.27035124332
21,3700.0,47539.50837458464,175896180.98596317,42132.27035124332
22,3700.0,46998.78457225051,173895502.91732687,42132.27035124332
23,3700.0,46512.13315014979,172094892.65555423,42132.27035124332
24,3700.0,46074.146870259145,170474343.41995883,42132.27035124332
25,3700.0,45679.95921835756,169015849.10792297,42132.27035124332
26,3700.0,45325.19033164613,167703204.2270907,42132.27035124332
27,3700.0,45005.89833360585,166521823.83434165,42132.27035124332
28,3700.0,44718.5355353696,165458581.4808675,42132.27035124332
29,3700.0,44459.90901695697,164501663.36274078,42132.27035124332
30,3700.0,44227.1451503856,163640437.05642673,42132.27035124332
31,3700.0,44017.65767047137,162865333.38074407,42132.27035124332
32,3700.0,43829.11893854857,162167740.07262972,42132.27035124332
33,3700.0,43659.43407981805,161539906.09532678,42132.27035124332
34,3700.0,43506.717706960575,160974855.51575413,42132.27035124332
35,3700.0,43369.27297138885,160466309.99413875,42132.27035124332
36,3700.0,43245.5727093743,160008619.0246849,42132.27035124332
37,3700.0,43134.2424735612,159596697.15217644,42132.27035124332
38,3700.0,43034.04526132941,159225967.46691883,42132.27035124332
39,3700.0,42943.8677703208,158892310.75018698,42132.27035124332
40,3700.0,42862.70802841305,158592019.70512828,42132.27035124332
41,3700.0,42789.664260696074,158321757.76457548,42132.27035124332
42,3700.0,42723.9248697508,158078522.01807797,42132.27035124332
43,3700.0,42664.75941790005,157859609.84623018,42132.27035124332
44,3700.0,42611.51051123438,157662588.8915672,42132.27035124332
45,3700.0,42563.58649523527,157485270.0323705,42132.27035124332
46,3700.0,42520.45488083608,157325683.05909348,42132.27035124332
47,3700.0,42481.6364278768,157182054.78314418,42132.27035124332
48,3700.0,42446.69982021346,157052789.33478978,42132.27035124332
49,3700.0,42415.256873316444,156936450.43127084,42132.27035124332
50,3700.0,42386.95822110913,156831745.41810378,42132.27035124332
51,3330.023388864192,46992.8739477148,156487369.35583702,88446.11548716581
52,2930.400616974092,56140.69464145127,164514726.2146629,138471.08088507951
53,2930.400616974092,64373.733265814095,188640827.67906725,138471.08088507951
54,2930.400616974092,71783.46802774063,210354318.99703115,138471.08088507951
55,2930.400616974092,78452.22931347451,229896461.18319866,138471.08088507951
56,2930.400616974092,84454.11447063502,247484389.15074944,138471.08088507951
57,2930.400616974092,89855.81111207946,263313524.32154512,138471.08088507951
58,2930.400616974092,94717.33808937947,277559745.9752613,138471.08088507951
59,2736.7610173449198,101516.70192922888,277826952.4493374,162710.97648787347
60,2366.8390915714217,112266.8293447638,265717520.3799646,209017.97608457808
61,1988.2888480739998,126680.65366303401,251877730.94493523,256405.0725274659
62,1988.2888480739998,139653.0955494772,277670692.4800383,256405.0725274659
63,1988.2888480739998,151328.29324727607,300884357.861631,256405.0725274659
64,1988.2888480739998,161835.97117529507,321776656.7050645,256405.0725274659
65,2040.2187077133738,170642.82089996763,348148675.5370966,249904.46842202064
66,2040.2187077133738,178568.98565217294,364319785.1449643,249904.46842202064
67,2040.2187077133738,185702.5339291577,378873783.7920451,249904.46842202064
68,2040.2187077133738,192122.727378444,391972382.5744178,249904.46842202064
69,2040.2187077133738,197900.90148280165,403761121.4785533,249904.46842202064
70,2040.2187077133738,203101.25817672355,414370986.49227524,249904.46842202064
71,2040.2187077133738,207781.57920125325,423919865.0046249,249904.46842202064
72,2040.2187077133738,211993.86812333,432513855.6657397,249904.46842202064
73,2040.2187077133738,215784.92815319906,440248447.26074296,249904.46842202064
74,2040.2187077133738,219196.88218008121,447209579.69624597,249904.46842202064
75,2040.2187077133738,222267.64080427517,453474598.8881986,249904.46842202064
76,2040.2187077133738,225031.32356604972,459113116.160956,249904.46842202064
77,2040.2187077133738,227518.63805164682,464187781.7064377,249904.46842202064
78,2040.2187077133738,229757.2210886842,468754980.6973712,249904.46842202064
79,2040.2187077133738,231771.94582201785,472865459.78921133,249904.46842202064
80,2040.2187077133738,233585.19808201812,476564890.97186744,249904.46842202064
81,2040.2187077133738,235217.12511601837,479894379.036258,249904.46842202064
82,2040.2187077133738,236685.8594466186,482890918.2942094,249904.46842202064
83,2040.2187077133738,238007.7203441588,485587803.6263657,249904.46842202064
84,2040.2187077133738,239197.39515194498,488015000.4253064,249904.46842202064
85,2040.2187077133738,240268.10247895255,490199477.544353,249904.46842202064
86,2040.2187077133738,241231.73907325935,492165506.95149493,249904.46842202064
87,2040.2187077133738,242099.01200813547,493934933.4179227,249904.46842202064
88,2040.2187077133738,242879.55764952398,495527417.2377077,249904.46842202064
89,2040.2187077133738,243582.04872677365,496960652.67551416,249904.46842202064
90,2040.2187077133738,244214.29069629835,498250564.56954,249904.46842202064
91,2040.2187077133738,244783.3084688706,499411485.2741633,249904.46842202064
92,2040.2187077133738,245295.4244641856,500456313.90832424,249904.46842202064
93,2040.2187077133738,245756.3288599691,501396659.67906904,249904.46842202064
94,2040.2187077133738,246171.14281617425,502242970.8727394,249904.46842202064
95,2040.2187077133738,246544.4753767589,503004650.94704276,249904.46842202064
96,2040.2187077133738,246880.47468128506,503690163.0139157,249904.46842202064
97,2040.2187077133738,247182.8740553586,504307123.87410134,249904.46842202064
98,2040.2187077133738,247455.0334920248,504862388.64826846,249904.46842202064
99,2040.2187077133738,247699.9769850244,505362126.9450189,249904.46842202064
100,2040.2187077133738,247920.42612872404,505811891.4120943,249904.46842202064
