step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,421.0721986764838
1,3700.0,82437.10721986764,305017296.7135103,421.0721986764838
2,3700.0,74235.50371774852,274671363.75566953,421.0721986764838
3,3700.0,66854.06056584131,247360024.09361285,421.0721986764838
4,3700.0,60210.76172912483,222779818.39776188,421.0721986764838
5,3700.0,54231.792776079994,200657633.27149597,421.0721986764838
6,3700.0,48850.72071833964,180747666.65785667,421.0721986764838
7,3700.0,44007.75586637332,162828696.70558128,421.0721986764838
8,3700.0,39649.08749960364,146701623.74853346,421.0721986764838
9,3700.0,35726.28596951092,132187258.0871904,421.0721986764838
10,3700.0,32195.764592427477,119124328.99198169,421.0721986764838
11,3700.0,29018.295353052377,107367692.8062938,421.0721986764838
12,3700.0,26158.573037614788,96786720.23917472,421.0721986764838
13,3700.0,23584.822953720955,87263844.92876753,421.0721986764838
14,3700.0,21268.44787821651,78693257.14940108,421.0721986764838
15,3700.0,19183.710310262508,70979728.14797127,421.0721986764838
16,3700.0,17307.446499103906,64037552.04668445,421.0721986764838
17,3700.0,15618.809069061164,57789593.55552631,421.0721986764838
18,3700.0,14099.035382022696,52166430.91348397,421.0721986764838
19,3700.0,12731.239063688074,47105584.53564587,421.0721986764838
20,3700.0,11500.222377186914,42550822.79559158,421.0721986764838
21,3700.0,10392.307359335871,38451537.229542725,421.0721986764838
22,3700.0,9395.183843269931,34762180.220098756,421.0721986764838
23,3700.0,8497.772678810588,31441758.911599174,421.0721986764838
24,3700.0,7690.102630797178,28453379.733949557,421.0721986764838
25,3700.0,6963.199587585108,25763838.4740649,421.0721986764838
26,3700.0,6308.986848694245,23343251.340168707,421.0721986764838
27,3700.0,5720.195383692469,21164722.919662133,421.0721986764838
28,3700.0,5190.28306519087,19204047.34120622,421.0721986764838
29,3700.0,4713.361978539431,17439439.320595894,421.0721986764838
30,3700.0,4284.133000553136,15851292.102046603,421.0721986764838
31,3700.0,3897.826920365471,14421959.605352242,421.0721986764838
32,3700.0,3550.1514481965723,13135560.358327318,421.0721986764838
33,3700.0,3237.243523244563,11977801.036004884,421.0721986764838
34,3700.0,2955.626390787755,10935817.645914694,421.0721986764838
35,3700.0,2702.170971576628,9998032.594833525,421.0721986764838
36,3700.0,2474.0610942866133,9154026.04886047,421.0721986764838
37,3700.0,2268.7622047256004,8394420.157484721,421.0721986764838
38,3700.0,2083.993204120689,7710774.855246549,421.0721986764838
39,3700.0,1917.7011035762685,7095494.083232193,421.0721986764838
40,3700.0,1768.03821308629,6541741.388419272,421.0721986764838
41,3700.0,1633.3416116453093,6043363.963087644,421.0721986764838
42,3700.0,1512.114670348427,5594824.280289179,421.0721986764838
43,3700.0,1403.0104231812325,5191138.56577056,421.0721986764838
44,3700.0,1304.8166007307575,4827821.422703803,421.0721986764838
45,3700.0,1216.44216052533,4500835.993943721,421.0721986764838
46,3700.0,1136.9051643404457,4206549.108059648,421.0721986764838
47,3700.0,1065.3218677740492,3941690.910763982,421.0721986764838
48,3700.0,1000.8969008642928,3703318.533197883,421.0721986764838
49,3700.0,942.9144306455116,3488783.3933883933,421.0721986764838
50,3700.0,890.730207448609,3295701.7675598534,421.0721986764838
51,3360.0803697334336,1583.1256871788446,5319429.544310388,7814.685004750965
52,3020.891515487177,2944.0533841224933,8893665.889236951,15192.402656615333
53,3003.39204395611,4206.951519639617,12635124.723394692,15573.034739293726
54,3003.39204395611,5343.559841605028,16048805.11467991,15573.034739293726
55,3003.39204395611,6366.507331373898,19121117.46683661,15573.034739293726
56,3003.39204395611,7287.160072165881,21886198.583777636,15573.034739293726
57,3003.39204395611,8115.747538878665,24374771.589024562,15573.034739293726
58,3003.39204395611,8861.476258920171,26614487.29374679,15573.034739293726
59,2810.5713316406964,9952.037625471903,27970911.641560882,19767.08992443749
60,2416.3885606903864,11790.93222736402,28491473.754078034,28340.98364439306
61,2087.2610120063646,14161.824726579573,29559424.610657237,35499.85721951955
62,2087.2610120063646,16295.62797587357,34013228.940201096,35499.85721951955
63,2087.2610120063646,18216.05090023817,38021652.83679057,35499.85721951955
64,2087.2610120063646,19944.43153216631,41629234.3437211,35499.85721951955
65,2087.2610120063646,21499.974100901632,44876057.69995857,35499.85721951955
66,2039.7704586449042,23003.259407769423,46921368.992513545,36532.82716957952
67,2029.6785290844434,24378.167202071305,49479842.54847471,36752.33735078826
68,1990.6982323701675,25700.370500319823,51161682.12624507,37600.200184556474
69,1822.891791541442,27255.35029133949,49683554.32166941,41250.16841051649
70,1822.891791541442,28654.83210325719,52234658.22902573,41250.16841051649
71,1822.891791541442,29914.365733983122,54530651.74564642,41250.16841051649
72,1822.891791541442,31047.94600163646,56597045.910605036,41250.16841051649
73,1822.891791541442,32068.168242524465,58456800.659067795,41250.16841051649
74,1822.891791541442,32986.368259323666,60130579.93268427,41250.16841051649
75,1822.891791541442,33812.74827444295,61636981.27893911,41250.16841051649
76,1822.891791541442,34556.49028805031,62992742.49056847,41250.16841051649
77,1822.891791541442,35225.85810029692,64212927.58103488,41250.16841051649
78,1822.891791541442,35828.28913131888,65311094.16245465,41250.16841051649
79,1822.891791541442,36370.47705923864,66299444.085732445,41250.16841051649
80,1822.891791541442,36858.44619436643,67188959.01668246,41250.16841051649
81,1822.891791541442,37297.61841598144,67989522.45453748,41250.16841051649
82,1822.891791541442,37692.873415434944,68710029.54860699,41250.16841051649
83,1822.891791541442,38048.6029149431,69358485.93326956,41250.16841051649
84,1822.891791541442,38368.759464500436,69942096.67946586,41250.16841051649
85,1822.891791541442,38656.900359102045,70467346.35104254,41250.16841051649
86,1822.891791541442,38916.227164243486,70940071.05546154,41250.16841051649
87,1822.891791541442,39149.62128887079,71365523.28943865,41250.16841051649
88,1822.891791541442,39359.67600103536,71748430.30001804,41250.16841051649
89,1822.891791541442,39548.72524198348,72093046.60953951,41250.16841051649
90,1822.891791541442,39718.86955883678,72403201.28810881,41250.16841051649
91,1822.891791541442,39871.999444004745,72682340.49882118,41250.16841051649
92,1822.891791541442,40009.81634065592,72933565.78846233,41250.16841051649
93,1822.891791541442,40133.85154764198,73159668.54913937,41250.16841051649
94,1822.891791541442,40245.48323392943,73363161.03374869,41250.16841051649
95,1822.891791541442,40345.95175158814,73546304.26989707,41250.16841051649
96,1822.891791541442,40436.37341748097,73711133.18243062,41250.16841051649
97,1822.891791541442,40517.75291678452,73859479.20371082,41250.16841051649
98,1822.891791541442,40590.99446615772,73992990.622863,41250.16841051649
99,1822.891791541442,40656.911860593595,74113150.90009996,41250.16841051649
100,1822.891791541442,40716.23751558588,74221295.14961322,41250.16841051649
