step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1876.0458075136848
1,3700.0,82582.60458075137,305555636.94878006,1876.0458075136848
2,3700.0,74511.94870342761,275694210.20268214,1876.0458075136848
3,3700.0,67248.35841383622,248818926.13119403,1876.0458075136848
4,3700.0,60711.12715320397,224631170.4668547,1876.0458075136848
5,3700.0,54827.61901863494,202862190.3689493,1876.0458075136848
6,3700.0,49532.46169752281,183270108.2808344,1876.0458075136848
7,3700.0,44766.8201085219,165637234.401531,1876.0458075136848
8,3700.0,40477.74267842108,149767647.91015798,1876.0458075136848
9,3700.0,36617.57299133034,135485020.06792223,1876.0458075136848
10,3700.0,33143.42027294867,122630655.00991008,1876.0458075136848
11,3700.0,30016.682826405173,111061726.45769912,1876.0458075136848
12,3700.0,27202.619124516023,100649690.76070929,1876.0458075136848
13,3700.0,24669.96179281579,91278858.63341844,1876.0458075136848
14,3700.0,22390.570194285578,82845109.71885663,1876.0458075136848
15,3700.0,20339.11775560839,75254735.69575104,1876.0458075136848
16,3700.0,18492.81056079892,68423399.074956,1876.0458075136848
17,3700.0,16831.134085470396,62275196.116240464,1876.0458075136848
18,3700.0,15335.625257674725,56741813.45339648,1876.0458075136848
19,3700.0,13989.66731265862,51761769.056836896,1876.0458075136848
20,3700.0,12778.305162144128,47279729.099933274,1876.0458075136848
21,3700.0,11688.079226681084,43245893.13872001,1876.0458075136848
22,3700.0,10706.875884764344,39615440.77362807,1876.0458075136848
23,3700.0,9823.792877039275,36348033.645045325,1876.0458075136848
24,3700.0,9029.018170086718,33407367.229320858,1876.0458075136848
25,3700.0,8313.720933829414,30760767.455168832,1876.0458075136848
26,3700.0,7669.953421197841,28378827.65843201,1876.0458075136848
27,3700.0,7090.562659829425,26235081.841368873,1876.0458075136848
28,3700.0,6569.110974597851,24305710.60601205,1876.0458075136848
29,3700.0,6099.804457889434,22569276.494190905,1876.0458075136848
30,3700.0,5677.428592851859,21006485.79355188,1876.0458075136848
31,3700.0,5297.290314318042,19599974.162976757,1876.0458075136848
32,3700.0,4955.165863637606,18334113.695459142,1876.0458075136848
33,3700.0,4647.253858025214,17194839.27469329,1876.0458075136848
34,3700.0,4370.133052974061,16169492.296004023,1876.0458075136848
35,3700.0,4120.724328428023,15246680.015183683,1876.0458075136848
36,3700.0,3896.256476336589,14416148.96244538,1876.0458075136848
37,3700.0,3694.2354094542984,13668671.014980905,1876.0458075136848
38,3700.0,3512.416449260237,12995940.862262877,1876.0458075136848
39,3700.0,3348.779385085582,12390483.724816654,1876.0458075136848
40,3700.0,3201.506027328392,11845572.30111505,1876.0458075136848
41,3700.0,3068.960005346921,11355152.019783609,1876.0458075136848
42,3700.0,2949.6685855635974,10913773.76658531,1876.0458075136848
43,3700.0,2842.306307758606,10516533.338706844,1876.0458075136848
44,3700.0,2745.680257734114,10159016.953616222,1876.0458075136848
45,3700.0,2658.7168127120713,9837252.207034664,1876.0458075136848
46,3700.0,2580.4497121922327,9547663.935111262,1876.0458075136848
47,3700.0,2510.009321724378,9287034.490380198,1876.0458075136848
48,3700.0,2446.6129703033084,9052467.990122242,1876.0458075136848
49,3700.0,2389.556254024346,8841358.13989008,1876.0458075136848
50,3700.0,2338.20520937328,8651359.274681136,1876.0458075136848
51,3350.5006810483014,3487.125372467046,11683615.93535165,13827.406840310941
52,2985.504800738918,5769.281141973344,17224216.546173926,26308.68306753003
53,2951.359030341637,7939.985061275303,23433746.611372564,27476.32033499294
54,2951.359030341637,9893.618588647067,29199620.564359404,27476.32033499294
55,2951.359030341637,11651.888763281655,34388907.122047566,27476.32033499294
56,2951.359030341637,13234.331920452783,39059265.0239669,27476.32033499294
57,2951.359030341637,14658.530761906799,43262587.13569431,27476.32033499294
58,2951.359030341637,15940.309719215413,47045577.036248975,27476.32033499294
59,2843.9932510345666,17461.055184655015,49659123.10110099,31147.76437361144
60,2532.963314204021,19893.313603011193,50389033.554383166,41783.6393682168
61,2179.359327981489,23291.51846480473,50760588.02912528,53875.36222094657
62,2155.424706052183,26431.748867678318,56971644.533560656,54693.82249354063
63,2155.424706052183,29257.95623026455,63063321.7073056,54693.82249354063
64,2155.424706052183,31801.542856592157,68545831.16367605,54693.82249354063
65,2083.2139521860836,34337.70028283726,71532776.3151906,57163.117119043134
66,2083.2139521860836,36620.24196645785,76287798.99695534,57163.117119043134
67,2036.1747902830843,38835.38301592902,79075627.86802253,58771.65246116962
68,1984.0028745489815,41007.41528684432,81358829.80692297,60555.70572508202
69,1857.6966341574173,43394.15689752018,80613179.21062212,64874.83139360296
70,1857.6966341574173,45542.22434712846,84603636.88170253,64874.83139360296
71,1857.6966341574173,47475.48505177591,88195048.78567488,64874.83139360296
72,1857.6966341574173,49215.419685958615,91427319.49925001,64874.83139360296
73,1857.6966341574173,50781.36085672305,94336363.14146763,64874.83139360296
74,1857.6966341574173,52190.70791041104,96954502.41946349,64874.83139360296
75,1857.6966341574173,53459.12025873023,99310827.76965976,64874.83139360296
76,1857.6966341574173,54600.69137221751,101431520.5848364,64874.83139360296
77,1857.6966341574173,55628.105374356055,103340144.11849537,64874.83139360296
78,1857.6966341574173,56552.77797628075,105057905.29878846,64874.83139360296
79,1857.6966341574173,57384.98331801297,106603890.36105224,64874.83139360296
80,1857.6966341574173,58133.96812557197,107995276.91708963,64874.83139360296
81,1857.6966341574173,58808.05445237507,109247524.81752329,64874.83139360296
82,1857.6966341574173,59414.73214649786,110374547.92791358,64874.83139360296
83,1857.6966341574173,59960.74207120837,111388868.72726484,64874.83139360296
84,1857.6966341574173,60452.15100344783,112301757.44668096,64874.83139360296
85,1857.6966341574173,60894.41904246334,113123357.2941555,64874.83139360296
86,1857.6966341574173,61292.4602775773,113862797.15688255,64874.83139360296
87,1857.6966341574173,61650.69738917987,114528293.03333692,64874.83139360296
88,1857.6966341574173,61973.11078962218,115127239.32214585,64874.83139360296
89,1857.6966341574173,62263.28285002026,115666290.98207387,64874.83139360296
90,1857.6966341574173,62524.43770437853,116151437.4760091,64874.83139360296
91,1857.6966341574173,62759.47707330097,116588069.32055081,64874.83139360296
92,1857.6966341574173,62971.01250533117,116981037.98063836,64874.83139360296
93,1857.6966341574173,63161.39439415835,117334709.77471714,64874.83139360296
94,1857.6966341574173,63332.73809410281,117653014.38938804,64874.83139360296
95,1857.6966341574173,63486.94742405282,117939488.54259184,64874.83139360296
96,1857.6966341574173,63625.73582100784,118197315.28047527,64874.83139360296
97,1857.6966341574173,63750.64537826735,118429359.34457037,64874.83139360296
98,1857.6966341574173,63863.06397980091,118638199.00225595,64874.83139360296
99,1857.6966341574173,63964.240721181115,118826154.69417296,64874.83139360296
