step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,3993.930101447797
1,3700.0,82794.39301014478,306339254.1375357,3993.930101447797
2,3700.0,74914.34671927508,277183082.8613178,3993.930101447797
3,3700.0,67822.30505749235,250942528.7127217,3993.930101447797
4,3700.0,61439.4675618879,227326029.9789852,3993.930101447797
5,3700.0,55694.91381584389,206071181.1186224,3993.930101447797
6,3700.0,50524.815444404274,186941817.1442958,3993.930101447797
7,3700.0,45871.72691010863,169725389.56740192,3993.930101447797
8,3700.0,41683.94722924254,154230604.7481974,3993.930101447797
9,3700.0,37914.94551646306,140285298.41091335,3993.930101447797
10,3700.0,34522.843974961535,127734522.70735767,3993.930101447797
11,3700.0,31469.95258761016,116438824.5741576,3993.930101447797
12,3700.0,28722.350338993925,106272696.25427753,3993.930101447797
13,3700.0,26249.508315239313,97123180.76638544,3993.930101447797
14,3700.0,24023.95049386016,88888616.8272826,3993.930101447797
15,3700.0,22020.948454618923,81477509.28209002,3993.930101447797
16,3700.0,20218.24661930181,74807512.49141671,3993.930101447797
17,3700.0,18595.81496751641,68804515.37981072,3993.930101447797
18,3700.0,17135.62648090955,63401817.97936533,3993.930101447797
19,3700.0,15821.456842963373,58539390.31896448,3993.930101447797
20,3700.0,14638.704168811815,54163205.424603716,3993.930101447797
21,3700.0,13574.226762075414,50224639.01967903,3993.930101447797
22,3700.0,12616.197096012653,46679929.25524682,3993.930101447797
23,3700.0,11753.970396556168,43489690.46725782,3993.930101447797
24,3700.0,10977.96636704533,40618475.55806773,3993.930101447797
25,3700.0,10279.562740485577,38034382.13979664,3993.930101447797
26,3700.0,9650.9994765818,35708698.06335266,3993.930101447797
27,3700.0,9085.2925390684,33615582.39455308,3993.930101447797
28,3700.0,8576.156295306339,31731778.29263345,3993.930101447797
29,3700.0,8117.933675920484,30036354.60090579,3993.930101447797
30,3700.0,7705.533318473215,28510473.278350897,3993.930101447797
31,3700.0,7334.372996770673,27137180.08805149,3993.930101447797
32,3700.0,7000.3287072383855,25901216.216782022,3993.930101447797
33,3700.0,6699.688846659326,24788848.732639503,3993.930101447797
34,3700.0,6429.112972138173,23787717.99691124,3993.930101447797
35,3700.0,6185.594685069135,22886700.3347558,3993.930101447797
36,3700.0,5966.428226707001,22075784.438815903,3993.930101447797
37,3700.0,5769.17841418108,21345960.132469997,3993.930101447797
38,3700.0,5591.653582907752,20689118.25675868,3993.930101447797
39,3700.0,5431.881234761757,20097960.5686185,3993.930101447797
40,3700.0,5288.08612143036,19565918.649292335,3993.930101447797
41,3700.0,5158.670519432104,19087080.921898782,3993.930101447797
42,3700.0,5042.196477633674,18656126.96724459,3993.930101447797
43,3700.0,4937.369840015086,18268268.40805582,3993.930101447797
44,3700.0,4843.0258661583575,17919195.704785924,3993.930101447797
45,3700.0,4758.116289687301,17605030.271843012,3993.930101447797
46,3700.0,4681.697670863351,17322281.3821944,3993.930101447797
47,3700.0,4612.920913921796,17067807.381510645,3993.930101447797
48,3700.0,4551.021832674396,16838780.780895267,3993.930101447797
49,3700.0,4495.312659551736,16632656.840341425,3993.930101447797
50,3700.0,4445.174403741342,16447145.293842966,3993.930101447797
51,3299.429004733347,6223.255028328437,20533188.144319493,22225.98064961229
52,2935.476557419706,9480.062760241963,27828501.99555783,38791.3323474637
53,2935.476557419706,12411.189718964137,36432756.46970769,38791.3323474637
54,2935.476557419706,15049.203981814093,44176585.496442564,38791.3323474637
55,2935.476557419706,17423.416818379053,51146031.62050395,38791.3323474637
56,2935.476557419706,19560.208371287517,57418533.132159196,38791.3323474637
57,2935.476557419706,21483.320768905134,63063784.492648914,38791.3323474637
58,2935.476557419706,23214.121926760992,68144510.71708967,38791.3323474637
59,2719.703462260659,25753.937534928056,70043073.08058858,48612.27800843163
60,2299.365154542501,29952.947864187154,68872764.59474017,67744.04082751901
61,1972.57831267838,35219.43250465267,69473088.74351786,82617.79426884232
62,1972.57831267838,39959.26868107164,78822786.79077032,82617.79426884232
63,1972.57831267838,44225.12123984871,87237515.03329755,82617.79426884232
64,1972.57831267838,48064.38854274807,94810770.45157205,82617.79426884232
65,1972.57831267838,51519.7291153575,101626700.3280191,82617.79426884232
66,1969.5727335945185,54643.215570200104,107623787.46299358,82754.59366378353
67,1884.4136531065528,57841.956246076086,108998172.07249764,86630.62232895994
68,1782.2467084433474,61185.83727664213,109048257.0896457,91280.76655173651
69,1782.2467084433474,64195.33020415157,114411915.95378295,91280.76655173651
70,1884.4136531065528,66438.8594166324,125198293.78152896,86630.62232895994
71,1986.5805977697582,67993.0212855875,135073616.86969432,81980.47810618338
72,1986.5805977697582,69391.76696764708,137852337.90288812,81980.47810618338
73,1884.4136531065528,71115.65250377837,134011306.52770117,86630.62232895994
74,1782.2467084433474,73132.16390857419,130339558.40739572,91280.76655173651
75,1782.2467084433474,74947.02417289042,133574087.13975795,91280.76655173651
76,1884.4136531065528,76115.38398849737,143432868.79937235,86630.62232895994
77,1986.5805977697582,76701.89340026597,152374493.24117264,81980.47810618338
78,1986.5805977697582,77229.75187085771,153423126.63721862,81980.47810618338
79,1884.4136531065528,78169.83891666794,147304311.715709,86630.62232895994
80,1782.2467084433474,79480.93168017479,141654628.8710021,91280.76655173651
81,1782.2467084433474,80660.91516733097,143757650.5570037,91280.76655173651
82,1884.4136531065528,81257.88588349387,153123469.58143008,86630.62232895994
83,1986.5805977697582,81330.14510576283,161568888.2809075,81980.47810618338
84,1986.5805977697582,81395.17840580488,161698082.17297998,81980.47810618338
85,1884.4136531065528,81918.72279812039,154368759.6858291,86630.62232895994
86,1782.2467084433474,82854.927173482,147667921.23325157,91280.76655173651
87,1782.2467084433474,83697.51111130745,149169613.6830282,91280.76655173651
88,1884.4136531065528,83990.8222330727,158273452.1516476,86630.62232895994
