step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1102.8522990125784
1,3700.0,82505.28522990126,305269555.35063463,1102.8522990125784
2,3700.0,74365.0419368124,275150655.1662059,1102.8522990125784
3,3700.0,67038.82297303242,248043645.00021997,1102.8522990125784
4,3700.0,60445.22590563044,223647335.8508326,1102.8522990125784
5,3700.0,54510.988544968655,201690657.61638403,1102.8522990125784
6,3700.0,49170.17492037304,181929647.20538023,1102.8522990125784
7,3700.0,44363.442658237,164144737.8354769,1102.8522990125784
8,3700.0,40037.383622314555,148138319.40256384,1102.8522990125784
9,3700.0,36143.930489984356,133732542.81294212,1102.8522990125784
10,3700.0,32639.822670887177,120767343.88228256,1102.8522990125784
11,3700.0,29486.12563369972,109098664.84468897,1102.8522990125784
12,3700.0,26647.798300231003,98596853.71085472,1102.8522990125784
13,3700.0,24093.30370010916,89145223.6904039,1102.8522990125784
14,3700.0,21794.258559999504,80638756.67199816,1102.8522990125784
15,3700.0,19725.117933900812,72982936.355433,1102.8522990125784
16,3700.0,17862.891370411988,66092698.07052436,1102.8522990125784
17,3700.0,16186.887463272047,59891483.61410657,1102.8522990125784
18,3700.0,14678.4839468461,54310390.60333057,1102.8522990125784
19,3700.0,13320.920782062747,49287406.893632166,1102.8522990125784
20,3700.0,12099.11393375773,44766721.5549036,1102.8522990125784
21,3700.0,10999.487770283216,40698104.75004789,1102.8522990125784
22,3700.0,10009.82422315615,37036349.62567776,1102.8522990125784
23,3700.0,9119.127030741794,33740770.01374464,1102.8522990125784
24,3700.0,8317.499557568874,30774748.363004833,1102.8522990125784
25,3700.0,7596.034831713244,28105328.877339,1102.8522990125784
26,3700.0,6946.716578443177,25702851.340239756,1102.8522990125784
27,3700.0,6362.330150500117,23540621.556850433,1102.8522990125784
28,3700.0,5836.382365351364,21594614.751800045,1102.8522990125784
29,3700.0,5363.029358717486,19843208.6272547,1102.8522990125784
30,3700.0,4937.0116527469945,18266943.11516388,1102.8522990125784
31,3700.0,4553.595717373553,16848304.15428215,1102.8522990125784
32,3700.0,4208.521375537456,15571529.089488588,1102.8522990125784
33,3700.0,3897.954467884968,14422431.531174382,1102.8522990125784
34,3700.0,3618.44425099773,13388243.728691598,1102.8522990125784
35,3700.0,3366.885055799214,12457474.706457091,1102.8522990125784
36,3700.0,3140.4817801205504,11619782.586446036,1102.8522990125784
37,3700.0,2936.718832009753,10865859.678436086,1102.8522990125784
38,3700.0,2753.3321787100354,10187329.061227132,1102.8522990125784
39,3700.0,2588.28419074029,9576651.505739072,1102.8522990125784
40,3700.0,2439.7410015675187,9027041.70579982,1102.8522990125784
41,3700.0,2306.052131312025,8532392.885854492,1102.8522990125784
42,3700.0,2185.73214808208,8087208.947903696,1102.8522990125784
43,3700.0,2077.44416317513,7686543.403747981,1102.8522990125784
44,3700.0,1979.984976758875,7325944.414007838,1102.8522990125784
45,3700.0,1892.2717089842456,7001405.323241708,1102.8522990125784
46,3700.0,1813.3297679870784,6709320.141552191,1102.8522990125784
47,3700.0,1742.2820210896286,6446443.478031626,1102.8522990125784
48,3700.0,1678.3390488819236,6209854.480863118,1102.8522990125784
49,3700.0,1620.7903738949892,5996924.383411461,1102.8522990125784
50,3700.0,1568.996566406748,5805287.295704968,1102.8522990125784
51,3304.2146470281186,2651.9444200905527,8762593.595967695,12398.475103244797
52,2949.787856644305,4638.123383901828,13681480.035451604,22513.734058203307
53,2949.787856644305,6425.684451331976,18954405.965167187,22513.734058203307
54,2949.787856644305,8034.489412019109,23700039.301911213,22513.734058203307
55,2949.787856644305,9482.413876637529,27971109.304980833,22513.734058203307
56,2949.787856644305,10785.545894794108,31815072.307743493,22513.734058203307
57,2949.787856644305,11958.364711135027,35274639.010229886,22513.734058203307
58,2949.787856644305,13013.901645841855,38388249.04246764,22513.734058203307
59,2764.732887497014,14492.027506263084,40066585.053076886,27795.16025005415
60,2410.543322478194,16833.189640410863,40577132.88370152,37903.64884774087
61,2016.8378336398719,20063.861957239802,40465555.88428896,49139.91280870026
62,2016.8378336398719,22971.467042385848,46329723.82529519,49139.91280870026
63,2016.8378336398719,25588.311619017288,51607474.97220079,49139.91280870026
64,2016.8378336398719,27943.471737985587,56357451.00441583,49139.91280870026
65,1990.6148101288236,30137.955750107394,59993061.06317092,49888.31185920367
66,1781.333344386746,32710.275843423653,58267905.06397884,55861.156683269975
67,1759.3900507455796,35087.98958199403,61733459.77122484,56487.41322912737
68,1842.5521598018645,36990.589203108924,68157090.02853188,54113.98579314301
69,1864.4954534430308,38640.303207526595,72044669.6500935,53487.729247285606
70,1864.4954534430308,40125.045811502496,74812965.48473974,53487.729247285606
71,1864.4954534430308,41461.31415508081,77304431.73592134,53487.729247285606
72,1864.4954534430308,42663.955664301284,79546751.36198479,53487.729247285606
73,1864.4954534430308,43746.33302259972,81564839.0254419,53487.729247285606
74,1864.4954534430308,44720.47264506831,83381117.92255329,53487.729247285606
75,1864.4954534430308,45597.19830529004,85015768.92995355,53487.729247285606
76,1864.4954534430308,46386.2513994896,86486954.83661379,53487.729247285606
77,1864.4954534430308,47096.3991842692,87811022.15260798,53487.729247285606
78,1864.4954534430308,47735.53219057084,89002682.73700278,53487.729247285606
79,1864.4954534430308,48310.75189624232,90075177.26295808,53487.729247285606
80,1864.4954534430308,48828.44963134665,91040422.33631787,53487.729247285606
81,1864.4954534430308,49294.377592940546,91909142.90234166,53487.729247285606
82,1864.4954534430308,49713.712758375055,92690991.41176309,53487.729247285606
83,1864.4954534430308,50091.11440726611,93394655.07024236,53487.729247285606
84,1864.4954534430308,50430.77589126806,94027952.3628737,53487.729247285606
85,1864.4954534430308,50736.47122686981,94597919.92624192,53487.729247285606
86,1864.4954534430308,51011.59702891139,95110890.7332733,53487.729247285606
87,1864.4954534430308,51259.21025074881,95572564.45960155,53487.729247285606
88,1864.4954534430308,51482.06215040249,95988070.81329699,53487.729247285606
89,1864.4954534430308,51682.6288600908,96362026.53162287,53487.729247285606
90,1864.4954534430308,51863.138898810284,96698586.67811617,53487.729247285606
91,1864.4954534430308,52025.59793365782,97001490.80996014,53487.729247285606
92,1864.4954534430308,52171.81106502059,97274104.5286197,53487.729247285606
93,1864.4954534430308,52303.402883247094,97519456.87541331,53487.729247285606
94,1864.4954534430308,52421.835519650944,97740273.98752756,53487.729247285606
95,1864.4954534430308,52528.42489241441,97939009.3884304,53487.729247285606
96,1864.4954534430308,52624.35532790153,98117871.24924295,53487.729247285606
97,1864.4954534430308,52710.69271983994,98278846.92397423,53487.729247285606
98,1864.4954534430308,52788.39637258451,98423725.0312324,53487.729247285606
99,1864.4954534430308,52858.32966005462,98554115.32776473,53487.729247285606
100,1864.4954534430308,52921.26961877772,98671466.59464385,53487.729247285606
