step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,3276.8556861146644
1,3700.0,82722.68556861147,306073936.60386246,3276.8556861146644
2,3700.0,74778.1025803618,276678979.54733866,3276.8556861146644
3,3700.0,67627.97789093708,250223518.1964672,3276.8556861146644
4,3700.0,61192.865670454834,226413602.98068288,3276.8556861146644
5,3700.0,55401.264672020814,204984679.286477,3276.8556861146644
6,3700.0,50188.823773430195,185698647.9616917,3276.8556861146644
7,3700.0,45497.62696469864,168341219.76938498,3276.8556861146644
8,3700.0,41275.54983684024,152719534.3963089,3276.8556861146644
9,3700.0,37475.68042176768,138660017.56054044,3276.8556861146644
10,3700.0,34055.79794820238,126006452.4083488,3276.8556861146644
11,3700.0,30977.903721993607,114618243.77137634,3276.8556861146644
12,3700.0,28207.79891840571,104368855.99810112,3276.8556861146644
13,3700.0,25714.704595176605,95144407.00215344,3276.8556861146644
14,3700.0,23470.91970427041,86842402.90580052,3276.8556861146644
15,3700.0,21451.51330245484,79370599.2190829,3276.8556861146644
16,3700.0,19634.047540820826,72645975.90103704,3276.8556861146644
17,3700.0,17998.328355350208,66593814.91479577,3276.8556861146644
18,3700.0,16526.181088426652,61146870.027178615,3276.8556861146644
19,3700.0,15201.248548195454,56244619.628323175,3276.8556861146644
20,3700.0,14008.809261987377,51832594.269353285,3276.8556861146644
21,3700.0,12935.613904400105,47861771.44628039,3276.8556861146644
22,3700.0,11969.73808257156,44288030.90551478,3276.8556861146644
23,3700.0,11100.449842925873,41071664.41882572,3276.8556861146644
24,3700.0,10318.09042724475,38176934.58080558,3276.8556861146644
25,3700.0,9613.96695313174,35571677.726587445,3276.8556861146644
26,3700.0,8980.255826430033,33226946.55779112,3276.8556861146644
27,3700.0,8409.915812398496,31116688.505874436,3276.8556861146644
28,3700.0,7896.609799770113,29217456.259149417,3276.8556861146644
29,3700.0,7434.634388404568,27508147.237096906,3276.8556861146644
30,3700.0,7018.856518175578,25969769.11724964,3276.8556861146644
31,3700.0,6644.656434969486,24585228.8093871,3276.8556861146644
32,3700.0,6307.876360084004,23339142.532310817,3276.8556861146644
33,3700.0,6004.77429268707,22217664.88294216,3276.8556861146644
34,3700.0,5731.982432029829,21208334.99851037,3276.8556861146644
35,3700.0,5486.469757438313,20299938.10252176,3276.8556861146644
36,3700.0,5265.508350305948,19482380.896132007,3276.8556861146644
37,3700.0,5066.643083886819,18746579.41038123,3276.8556861146644
38,3700.0,4887.664344109604,18084358.073205534,3276.8556861146644
39,3700.0,4726.58347831011,17488358.869747408,3276.8556861146644
40,3700.0,4581.6106990905655,16951959.586635094,3276.8556861146644
41,3700.0,4451.135197792975,16469200.23183401,3276.8556861146644
42,3700.0,4333.707246625144,16034716.812513033,3276.8556861146644
43,3700.0,4228.022090574096,15643681.735124156,3276.8556861146644
44,3700.0,4132.9054501281535,15291750.165474167,3276.8556861146644
45,3700.0,4047.3004737268047,14975011.752789175,3276.8556861146644
46,3700.0,3970.2559949655906,14689947.181372683,3276.8556861146644
47,3700.0,3900.915964080498,14433389.067097845,3276.8556861146644
48,3700.0,3838.5099362839146,14202486.764250483,3276.8556861146644
49,3700.0,3782.3445112669897,13994674.69168786,3276.8556861146644
50,3700.0,3731.795628751757,13807643.826381505,3276.8556861146644
51,3253.486047826228,5566.766715778238,18111397.84128793,22081.50649901657
52,2836.342654507935,8975.013536713428,25456213.718966417,39649.234925130135
53,2777.9383491439376,12288.401689157432,34136422.30199557,42108.89506115347
54,2777.9383491439376,15270.451026357036,42420371.51484161,42108.89506115347
55,2777.9383491439376,17954.29542983668,49875925.80640305,42108.89506115347
56,2777.9383491439376,20369.755392968356,56585924.66880833,42108.89506115347
57,2777.9383491439376,22543.66935978687,62624923.6449731,42108.89506115347
58,2777.9383491439376,24500.19192992353,68060022.7235214,42108.89506115347
59,2541.0304275226786,27258.784871692256,69265401.77626489,52086.121347610795
60,2200.3075476216386,31176.451235118227,68597780.96068859,66435.44850595198
61,1956.1006846859468,35730.812617489966,69893067.0254574,76720.06505883562
62,1956.1006846859468,39829.73786162453,77910977.50198554,76720.06505883562
63,1956.1006846859468,43518.77058134564,85127096.93086085,76720.06505883562
64,1879.0978348838837,47163.192628480785,88624253.15438978,79962.99105269706
65,1802.5703128086918,50765.46325782962,91508316.9845441,83185.89892196914
66,1802.5703128086918,54007.506824243574,97352328.4701943,83185.89892196914
67,1879.0978348838837,56603.05524708892,106362678.56261764,79962.99105269706
68,1955.6253569590756,58616.75804072253,114632418.36717176,76740.08318342498
69,1955.6253569590756,60429.09055499278,118176661.78732005,76740.08318342498
70,1879.0978348838837,62382.48060476321,117222784.23909642,79962.99105269706
71,1802.5703128086918,64462.8224364838,116198770.00386377,83185.89892196914
72,1802.5703128086918,66335.13008503233,119573736.18758199,83185.89892196914
73,1879.0978348838837,67697.9161817988,127211007.72336878,79962.99105269706
74,1955.6253569590756,68602.13288196143,134160070.60543975,76740.08318342498
75,1955.6253569590756,69415.92791210779,135751548.80176124,76740.08318342498
76,1879.0978348838837,70470.63422616672,132421216.19728398,79962.99105269706
77,1802.5703128086918,71742.16069574696,129320289.04690404,83185.89892196914
78,1802.5703128086918,72886.53451836918,131383103.32631825,83185.89892196914
79,1879.0978348838837,73594.18017180197,138290664.62088752,79962.99105269706
80,1955.6253569590756,73908.77047296427,144537865.63859713,76740.08318342498
81,1955.6253569590756,74191.90174401035,145091564.3316029,76740.08318342498
82,1879.0978348838837,74769.01067487901,140498286.07557514,79962.99105269706
83,1802.5703128086918,75610.69949958802,136293602.2486564,83185.89892196914
84,1802.5703128086918,76368.21944182614,137659085.20789537,83185.89892196914
85,1879.0978348838837,76727.69660291323,144178848.56216177,79962.99105269706
86,1955.6253569590756,76728.93526096441,150053051.40881333,76740.08318342498
87,1955.6253569590756,76730.05005321046,150055231.52479744,76740.08318342498
88,1879.0978348838837,77053.34415315912,144790772.16876405,79962.99105269706
89,1802.5703128086918,77666.59963004013,139999506.78990886,83185.89892196914
90,1802.5703128086918,78218.52955923304,140994399.2950226,83185.89892196914
91,1879.0978348838837,78392.97570857944,147308070.92409652,79962.99105269706
92,1955.6253569590756,78227.686456064,152984047.24972278,76740.08318342498
93,1955.6253569590756,78078.9261288001,152693127.781616,76740.08318342498
94,1879.0978348838837,78267.3326211898,147071975.2706145,79962.99105269706
95,1802.5703128086918,78759.18925126773,141968976.40521663,83185.89892196914
96,1802.5703128086918,79201.86021833787,142766921.94879958,83185.89892196914
97,1879.0978348838837,79277.97330177379,148971067.98534545,79962.99105269706
98,1955.6253569590756,79024.18428993892,154541698.61041155,76740.08318342498
99,1955.6253569590756,78795.77417928752,154095014.00623587,76740.08318342498
100,1879.0978348838837,78912.49586662847,148284300.12826496,79962.99105269706
