step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,2621.5380892017856
1,3700.0,82657.15380892018,305831469.09300464,2621.5380892017856
2,3700.0,74653.59223694835,276218291.2767089,2621.5380892017856
3,3700.0,67450.38682217369,249566431.24204263,2621.5380892017856
4,3700.0,60967.5019488765,225579757.21084303,2621.5380892017856
5,3700.0,55132.90556290903,203991750.5827634,2621.5380892017856
6,3700.0,49881.76881553831,184562544.61749175,2621.5380892017856
7,3700.0,45155.745742904655,167076259.24874723,2621.5380892017856
8,3700.0,40902.32497753437,151338602.41687718,2621.5380892017856
9,3700.0,37074.24628870111,137174711.2681941,2621.5380892017856
10,3700.0,33628.97546875118,124427209.23437937,2621.5380892017856
11,3700.0,30528.23173079624,112954457.40394609,2621.5380892017856
12,3700.0,27737.562366636794,102628980.75655614,2621.5380892017856
13,3700.0,25225.95993889329,93336051.77390516,2621.5380892017856
14,3700.0,22965.51775392414,84972415.68951932,2621.5380892017856
15,3700.0,20931.119787451906,77445143.21357206,2621.5380892017856
16,3700.0,19100.161617626894,70670597.98521951,2621.5380892017856
17,3700.0,17452.299264784382,64573507.27970222,2621.5380892017856
18,3700.0,15969.223147226125,59086125.644736655,2621.5380892017856
19,3700.0,14634.454641423688,54147482.17326765,2621.5380892017856
20,3700.0,13433.162986201498,49702703.04894554,2621.5380892017856
21,3700.0,12352.000496501529,45702401.837055646,2621.5380892017856
22,3700.0,11378.954255771552,42102130.746354744,2621.5380892017856
23,3700.0,10503.212639114576,38861886.76472393,2621.5380892017856
24,3700.0,9715.045184123295,35945667.1812562,2621.5380892017856
25,3700.0,9005.694474631146,33321069.556135237,2621.5380892017856
26,3700.0,8367.27883608821,30958931.693526376,2621.5380892017856
27,3700.0,7792.704761399567,28833007.6171784,2621.5380892017856
28,3700.0,7275.58809417979,26919675.94846522,2621.5380892017856
29,3700.0,6810.183093681989,25197677.44662336,2621.5380892017856
30,3700.0,6391.318593233968,23647878.794965684,2621.5380892017856
31,3700.0,6014.340542830751,22253060.008473776,2621.5380892017856
32,3700.0,5675.060297467854,20997723.10063106,2621.5380892017856
33,3700.0,5369.708076641247,19867919.883572616,2621.5380892017856
34,3700.0,5094.891077897301,18851096.988220017,2621.5380892017856
35,3700.0,4847.55577902775,17935956.382402673,2621.5380892017856
36,3700.0,4624.954010045153,17112329.837167066,2621.5380892017856
37,3700.0,4424.612417960816,16371065.94645502,2621.5380892017856
38,3700.0,4244.304985084913,15703928.444814175,2621.5380892017856
39,3700.0,4082.0282954966,15103504.69333742,2621.5380892017856
40,3700.0,3935.979274867119,14563123.31700834,2621.5380892017856
41,3700.0,3804.5351563005856,14076780.078312166,2621.5380892017856
42,3700.0,3686.2354495907057,13639071.16348561,2621.5380892017856
43,3700.0,3579.765713551814,13245133.14014171,2621.5380892017856
44,3700.0,3483.942951116811,12890588.9191322,2621.5380892017856
45,3700.0,3397.7024649253085,12571499.12022364,2621.5380892017856
46,3700.0,3320.086027352956,12284318.301205937,2621.5380892017856
47,3700.0,3250.231233537839,12025855.564090004,2621.5380892017856
48,3700.0,3187.361919104234,11793239.100685664,2621.5380892017856
49,3700.0,3130.7795361139893,11583884.28362176,2621.5380892017856
50,3700.0,3079.8553914227687,11395464.948264243,2621.5380892017856
51,3359.465584869016,4350.865292136738,14616582.213334449,15789.954398562462
52,2958.534401915502,7045.169256537842,20843375.612784665,31293.904936147766
53,2943.3256005521025,9528.855038190242,28046522.977855224,31882.027073061836
54,2943.3256005521025,11764.172241677403,34625789.32823352,31882.027073061836
55,2943.3256005521025,13775.957724815846,40547129.043573976,31882.027073061836
56,2943.3256005521025,15586.564659640444,45876334.78738039,31882.027073061836
57,2943.3256005521025,17216.11090098258,50672619.95680615,31882.027073061836
58,2927.534743109878,18743.765534273916,54873024.81829237,32492.657233895923
59,2838.4340249724505,20463.205885486135,58083459.84538035,35938.16904639611
60,2530.04001291087,23203.257361260137,58705169.553856835,47863.720643226145
61,2131.5416733737775,27210.29097310469,57999869.15379896,63273.593479705654
62,2131.5416733737775,30816.621223764785,65686912.37102946,63273.593479705654
63,2131.5416733737775,34062.31844935887,72605251.2665369,63273.593479705654
64,2131.5416733737775,36983.44595239355,78831756.2724936,63273.593479705654
65,2130.273016905145,39617.36658123895,84395807.02885298,63322.65224084757
66,1990.8610253716809,42526.999290997905,84665345.41445683,68713.69367882847
67,1890.9921547200245,45531.860200202784,86100390.42839238,72575.6083830467
68,1795.604505685152,48605.09767008708,87275532.37567525,76264.23489904577
69,1795.604505685152,51371.01139298295,92242019.51884346,76264.23489904577
70,1890.9921547200245,53491.471091989326,101151952.1793848,72575.6083830467
71,1986.379803754897,55031.022169495154,109312511.01747318,68886.98186704761
72,1986.379803754897,56416.6181392504,112064830.86795917,68886.98186704761
73,1890.9921547200245,58032.51716363003,109739034.67507955,72575.6083830467
74,1795.604505685152,59855.6889371716,107477144.74647424,76264.23489904577
75,1795.604505685152,61496.54353335902,110423470.65256256,76264.23489904577
76,1890.9921547200245,62604.450018327785,118384523.83521974,72575.6083830467
77,1986.379803754897,63232.703203199766,125604164.5796636,68886.98186704761
78,1986.379803754897,63798.13106958455,126727319.07393056,68886.98186704761
79,1890.9921547200245,64675.87880093077,122301579.41218323,72575.6083830467
